series,condition,n,positive,win_rate,mean_next,median_next,worst_next,best_next
compound,previous_negative,137,78,0.5693430656934306,0.010210505762334428,0.0057475130215329795,-0.17655701840366145,0.1818345289618024
compound,previous_two_positive,99,54,0.5454545454545454,0.009759668099493609,0.00843606598094726,-0.1529202609889544,0.17801322338276515
compound,previous_two_negative,59,36,0.6101694915254238,0.021450839420767906,0.02340381326583163,-0.1418005812354982,0.1818345289618024
compound,previous_ge_2pct,128,74,0.578125,0.011623225047693185,0.010907686867821731,-0.1529202609889544,0.19660395002138897
compound,previous_le_minus_2pct,85,50,0.5882352941176471,0.01682687025258276,0.014370059146071368,-0.17655701840366145,0.1818345289618024
compound,previous_ge_5pct,75,43,0.5733333333333334,0.011776619177683805,0.010896729203027533,-0.1529202609889544,0.19660395002138897
compound,previous_le_minus_5pct,41,23,0.5609756097560976,0.01221637798123144,0.00260081482554142,-0.17655701840366145,0.1818345289618024
compound,previous_ge_10pct,24,16,0.6666666666666666,0.019184473376075793,0.02239074948615105,-0.1529202609889544,0.15061836892166158
compound,previous_le_minus_10pct,15,8,0.5333333333333333,0.022263702028034953,0.07437374478259895,-0.17655701840366145,0.1818345289618024
compound,previous_ge_15pct,8,4,0.5,0.0006587079116666811,0.001090207113846109,-0.1529202609889544,0.09284440117846193
compound,previous_le_minus_15pct,2,0,0.0,-0.09969501913422113,-0.09969501913422113,-0.17655701840366145,-0.022833019864780812
compound,previous_ge_20pct,0,0,,,,,
compound,previous_le_minus_20pct,0,0,,,,,
compound,prior4_return_quintile_1,63,40,0.6349206349206349,0.0263908263252282,0.028898519086075547,-0.1418005812354982,0.1818345289618024
compound,prior4_return_quintile_2,62,34,0.5483870967741935,0.00019319380245319003,0.004952242219350755,-0.12092577163551987,0.13981716967484936
compound,prior4_return_quintile_3,63,35,0.5555555555555556,0.0018720853852474146,0.004197171534360944,-0.13684722472060895,0.11130618605929499
compound,prior4_return_quintile_4,62,30,0.4838709677419355,0.002507839895006489,-0.0016196421062517619,-0.17655701840366145,0.1602305311815606
compound,prior4_return_quintile_5,62,38,0.6129032258064516,0.021622793658688636,0.02460903520928237,-0.1529202609889544,0.19660395002138897
compound,prior4_vol_quintile_1,63,38,0.6031746031746031,0.011302857083366837,0.0057475130215329795,-0.11977048436619198,0.1602305311815606
compound,prior4_vol_quintile_2,62,33,0.532258064516129,0.012332386653901883,0.004637675851398404,-0.13684722472060895,0.17690741256104192
compound,prior4_vol_quintile_3,63,30,0.47619047619047616,0.0026267382448674735,-0.00058870339215078,-0.14037738907695374,0.13308202704918926
compound,prior4_vol_quintile_4,61,41,0.6721311475409836,0.014393698852101835,0.01731916138220857,-0.1529202609889544,0.15061836892166158
compound,prior4_vol_quintile_5,63,35,0.5555555555555556,0.01219766072448046,0.00843606598094726,-0.17655701840366145,0.19660395002138897
compound,previous_week_rebalanced,172,85,0.4941860465116279,0.0023577410560364984,-0.0005444808218438291,-0.1418005812354982,0.1818345289618024
compound,previous_week_not_rebalanced,143,93,0.6503496503496503,0.020306580086026153,0.018684554296954925,-0.17655701840366145,0.19660395002138897
compound,previous_10_to_15pct,16,12,0.75,0.02844735610828035,0.027265750385475296,-0.11820866207257563,0.15061836892166158
compound,previous_rebalanced_and_ge_10pct,12,7,0.5833333333333334,0.018317146513330385,0.017613345975014627,-0.06614977075249295,0.1502572465439691
