series,condition,n,positive,win_rate,mean_next,median_next,worst_next,best_next
fixed,unconditional,315,185,0.5873015873015873,0.011018118238329287,0.01121513245608581,-0.28643881180839253,0.296185188251711
fixed,previous_positive,185,109,0.5891891891891892,0.007900877437074775,0.01121513245608581,-0.17416343531614015,0.1821946448675267
fixed,previous_negative,130,76,0.5846153846153846,0.0154541916862684,0.010990316909414714,-0.28643881180839253,0.296185188251711
fixed,previous_two_positive,108,57,0.5277777777777778,0.000815536259779822,0.007987925980032097,-0.17416343531614015,0.15942672700700644
fixed,previous_two_negative,54,35,0.6481481481481481,0.024301718122231034,0.030326024129207978,-0.28643881180839253,0.296185188251711
fixed,previous_ge_2pct,130,77,0.5923076923076923,0.00865754056060017,0.012525202284103861,-0.17416343531614015,0.15942672700700644
fixed,previous_le_minus_2pct,83,43,0.5180722891566265,0.015616361751233893,0.007353494329456184,-0.28643881180839253,0.296185188251711
fixed,previous_ge_5pct,71,43,0.6056338028169014,0.01260513191153834,0.01664632269798194,-0.17416343531614015,0.15942672700700644
fixed,previous_le_minus_5pct,43,22,0.5116279069767442,0.017808055565531465,0.007353494329456184,-0.28643881180839253,0.296185188251711
fixed,previous_ge_10pct,30,17,0.5666666666666667,0.015942800975710783,0.014415583012511444,-0.17416343531614015,0.15709889536461874
fixed,previous_le_minus_10pct,16,11,0.6875,0.061041391932026956,0.06511453780791654,-0.1492385190143133,0.296185188251711
fixed,previous_ge_15pct,10,6,0.6,0.02661340015616457,0.014415583012511444,-0.04910545552608824,0.1426541558258707
fixed,previous_le_minus_15pct,6,2,0.3333333333333333,-0.0018905362780800017,-0.03514820701918081,-0.1492385190143133,0.1685852961620559
fixed,previous_ge_20pct,1,0,0.0,-0.02671157888594329,-0.02671157888594329,-0.02671157888594329,-0.02671157888594329
fixed,previous_le_minus_20pct,1,1,1.0,0.10847884949939747,0.10847884949939747,0.10847884949939747,0.10847884949939747
fixed,prior4_return_quintile_1,63,40,0.6349206349206349,0.02836430562228971,0.024608549436366395,-0.28643881180839253,0.296185188251711
fixed,prior4_return_quintile_2,62,40,0.6451612903225806,0.008995112297173142,0.016647878618376973,-0.1616474052122177,0.1821946448675267
fixed,prior4_return_quintile_3,63,35,0.5555555555555556,-0.0002743646013637822,0.0065325368753581005,-0.16250104789218298,0.11548603639423402
fixed,prior4_return_quintile_4,62,29,0.46774193548387094,0.0007295331407547313,-0.0025586083196876223,-0.14928606249801282,0.15942672700700644
fixed,prior4_return_quintile_5,62,39,0.6290322580645161,0.017138449315216905,0.023425587277166107,-0.17416343531614015,0.15876619849186574
fixed,prior4_vol_quintile_1,63,36,0.5714285714285714,0.004895342958929251,0.00667226611210921,-0.1032907439478143,0.13059438991023306
fixed,prior4_vol_quintile_2,62,39,0.6290322580645161,0.01337808120724625,0.01507176340306779,-0.16250104789218298,0.15942672700700644
fixed,prior4_vol_quintile_3,62,36,0.5806451612903226,0.011763862817183932,0.012140601267647445,-0.15099949858320413,0.16491795340901758
fixed,prior4_vol_quintile_4,62,36,0.5806451612903226,0.00218446258720916,0.010410494865235261,-0.28643881180839253,0.18093277574530897
fixed,prior4_vol_quintile_5,63,36,0.5714285714285714,0.022738640359986146,0.018325658344652346,-0.17416343531614015,0.296185188251711
compound,unconditional,315,178,0.5650793650793651,0.010505944171238152,0.007389126631710319,-0.17655701840366145,0.19660395002138897
compound,previous_positive,178,100,0.5617977528089888,0.010733332160113488,0.007994709472871842,-0.1529202609889544,0.19660395002138897
