period,previous_week_rebalanced,n,mean_return,win_rate
2020,True,13,0.02467882235824331,0.6923076923076923
2020,False,23,0.024022480983052933,0.5217391304347826
2021,True,34,0.005978953249140103,0.5588235294117647
2021,False,19,0.008687010829972294,0.631578947368421
2022,True,41,-0.0076503892997231565,0.36585365853658536
2022,False,11,0.016959111015673985,0.5454545454545454
2023,True,23,0.004274833076398967,0.43478260869565216
2023,False,29,0.012797802533962515,0.6896551724137931
2024,True,37,0.0010730171847181346,0.4594594594594595
2024,False,15,0.018324645036232975,0.6666666666666666
2025,True,18,-0.004375155337938776,0.5555555555555556
2025,False,34,0.023646900668010108,0.6764705882352942
2026,True,6,0.022636386881691895,0.8333333333333334
2026,False,12,0.04580999091740697,0.8333333333333334
2020_2022,True,88,0.0023913993163554217,0.48863636363636365
2020_2022,False,53,0.01705887716136047,0.5660377358490566
2023_2026,True,84,0.0023224800214166736,0.5
2023_2026,False,90,0.02221911625277372,0.7
