model,target_horizon_s,feature,coefficient
base,1,intercept,-0.7679250336423517
base,1,spread_bps,0.14889184441224346
base,1,side_size_imbalance,-0.030039167975399825
base,1,quote_rate_1s,0.23782867516995013
base,1,side_mid_return_1s,0.011965350721253189
base,1,side_mid_return_5s,-0.022295511133829396
base,1,side_trade_imbalance_1s,-0.2974369216109358
base,5,intercept,-0.42683515359154217
base,5,spread_bps,0.07010363434483809
base,5,side_size_imbalance,-0.06319528107883438
base,5,quote_rate_1s,0.16515577105270327
base,5,side_mid_return_1s,0.0019373802458678476
base,5,side_mid_return_5s,-0.01797171897131349
base,5,side_trade_imbalance_1s,-0.2306847898534079
base,15,intercept,-0.26761711855973297
base,15,spread_bps,0.006881933049457369
base,15,side_size_imbalance,-0.08280683216821344
base,15,quote_rate_1s,0.11225523678969779
base,15,side_mid_return_1s,0.005856100635839511
base,15,side_mid_return_5s,-0.004372300651620074
base,15,side_trade_imbalance_1s,-0.1738578365996954
without_trade_flow,1,intercept,-0.7527640483742923
without_trade_flow,1,spread_bps,0.13759439603799836
without_trade_flow,1,side_size_imbalance,-0.04162373093962063
without_trade_flow,1,quote_rate_1s,0.23954694752290442
without_trade_flow,1,side_mid_return_1s,-0.0763393089432064
without_trade_flow,1,side_mid_return_5s,-0.039032258572579276
without_trade_flow,5,intercept,-0.42136567901105776
without_trade_flow,5,spread_bps,0.0623251261555383
without_trade_flow,5,side_size_imbalance,-0.0718576092368065
without_trade_flow,5,quote_rate_1s,0.16898929467305093
without_trade_flow,5,side_mid_return_1s,-0.0677029274396954
without_trade_flow,5,side_mid_return_5s,-0.031059915836756147
without_trade_flow,15,intercept,-0.2656088276462359
without_trade_flow,15,spread_bps,0.0013875097350294812
without_trade_flow,15,side_size_imbalance,-0.08929127579268671
without_trade_flow,15,quote_rate_1s,0.11591518364622685
without_trade_flow,15,side_mid_return_1s,-0.04652728245521144
without_trade_flow,15,side_mid_return_5s,-0.014168415478217311
without_local_returns,1,intercept,-0.7678845681886962
without_local_returns,1,spread_bps,0.14787544441838102
without_local_returns,1,side_size_imbalance,-0.02944308252172472
without_local_returns,1,quote_rate_1s,0.23793314093002896
without_local_returns,1,side_trade_imbalance_1s,-0.2981076749523281
without_local_returns,5,intercept,-0.4268501019993072
without_local_returns,5,spread_bps,0.06899495125212006
without_local_returns,5,side_size_imbalance,-0.06243018879907236
without_local_returns,5,quote_rate_1s,0.16539913622300836
without_local_returns,5,side_trade_imbalance_1s,-0.2337922571960139
without_local_returns,15,intercept,-0.2676113605134601
without_local_returns,15,spread_bps,0.006816451257420799
without_local_returns,15,side_size_imbalance,-0.08282904121088483
without_local_returns,15,quote_rate_1s,0.11219548321832809
without_local_returns,15,side_trade_imbalance_1s,-0.17282203845617658
