strategy,cost_bps_per_side,net,trades,positive_trade_fraction,max_drawdown,recovery_days,unresolved,top1_positive_contribution_fraction,top5_positive_contribution_fraction,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_trades,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_trades,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_trades
positive_morning_long,2.0,-0.09208659392286533,208,0.3605769230769231,0.09399362357425989,36,True,0.06575879798218559,0.2338522726826326,-0.09208659392286533,-0.00511592188460363,-0.0038073886452233974,14,0,208,-0.058821741063703414,-0.003921449404246894,-0.001927153255319669,11,0,170,-0.06735213191258449,-0.005612677659382041,-0.003207064166584783,10,0,145
positive_morning_long,5.0,-0.2167939422327424,208,0.2644230769230769,0.21502181060831682,3,True,0.09320431144269074,0.3190805042953205,-0.2167939422327424,-0.012044107901819022,-0.00950339597943628,17,0,208,-0.160755877971398,-0.010717058531426535,-0.008241765550213165,14,0,170,-0.1542856492715724,-0.0128571374392977,-0.010261855365740646,12,0,145
positive_morning_long,10.0,-0.4244734123951628,208,0.11057692307692307,0.42259407183375663,3,True,0.16270349256398867,0.5105372309911174,-0.4244734123951628,-0.02358185624417571,-0.021460316365667753,18,0,208,-0.33051032974476513,-0.02203402198298434,-0.01782291659234303,15,0,170,-0.2990590493089831,-0.024921587442415256,-0.022745358000808347,12,0,145
always_long,2.0,-0.12384420403462004,373,0.3967828418230563,0.1305379463007048,34,True,0.03897051968506084,0.16135944540627337,-0.12384420403462004,-0.0068802335574788915,-0.0067846667954106765,12,0,373,-0.08895932746007307,-0.005930621830671538,-0.006379584945067407,9,0,312,-0.10082754737126232,-0.00840229561427186,-0.007681227988631079,8,0,251
always_long,5.0,-0.3475028222925629,373,0.28418230563002683,0.3460264408575672,0,True,0.05363173763709986,0.21887616022267198,-0.3475028222925629,-0.019305712349586827,-0.019076909551729193,17,0,373,-0.27604984341784555,-0.018403322894523035,-0.01897198073460149,14,0,312,-0.2513219175811996,-0.020943493131766633,-0.020572753083460737,12,0,251
always_long,10.0,-0.719969272478402,373,0.1447721179624665,0.7190548523351701,0,True,0.08971647102410028,0.3553871664993891,-0.719969272478402,-0.03999829291546678,-0.03954760752853831,18,0,373,-0.5876181651976974,-0.03917454434651316,-0.03994253396252989,15,0,312,-0.5019454092295398,-0.04182878410246165,-0.042041456712914205,12,0,251
