campaign_id,run_id,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__momentum,sp500,1,-1.0,1.437407548677617,1.3976408820109505,-0.03976666666666666,598,1193,1107,603,504,0.8820717131474104,1.0,397.66666666666663,77,72,0.535763891597774,0.055690687497531435,SNDK,0.49814025121371674,0.9392672974639003,0,1,0.023956792477960277,0.010403281344740192,31,22,7,0.7364968748858811,2021-05-03,2022-08-04,452.0,0.0,12,0.11582872239506063,0.06046505452862572,10,2,0,15,0.08776076348423306,0.04959331118839945,11,4,0,18,0.0839003106739719,0.047890137096997104,12,6,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__momentum,sp500,1,0.0,1.3976408820109505,1.3976408820109505,0.0,598,1193,1107,602,505,0.8820717131474104,1.0,397.66666666666663,75,73,0.5390535096957728,0.055783050106789585,SNDK,0.4979735845470501,0.8996672974639004,0,1,0.023294014700182507,0.00970328134474019,31,22,7,0.7433302082192138,2021-05-03,2022-08-04,454.0,0.0,12,0.11530650017283843,0.059998387861959046,10,2,0,15,0.08716076348423307,0.0486599778550661,11,4,0,18,0.08335586622952745,0.04732347043033043,12,6,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__momentum,sp500,1,1.0,1.3578742153442833,1.3976408820109505,0.03976666666666666,598,1193,1107,602,505,0.8820717131474104,1.0,397.66666666666663,75,74,0.5423732440754286,0.05587552106404643,SNDK,0.49780691788038345,0.8600672974638999,0,1,0.022631236922404718,0.009003281344740193,31,22,7,0.7501635415525469,2021-05-03,2022-08-04,466.0,0.0,12,0.11478427795061619,0.059531721195292375,10,2,0,15,0.08656076348423308,0.04772664452173277,11,4,0,18,0.082811421785083,0.04675680376366376,12,6,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__momentum,sp500,1,2.0,1.318107548677617,1.3976408820109505,0.07953333333333332,598,1193,1107,601,506,0.8820717131474104,1.0,397.66666666666663,74,75,0.5456865240809445,0.05596823868446138,SNDK,0.4976402512137168,0.8204672974639002,0,1,0.021968459144626952,0.008303281344740194,31,22,7,0.7569968748858807,2021-05-03,2022-08-04,569.0,0.0,12,0.11426205572839399,0.05906505452862572,10,2,0,15,0.08596076348423308,0.046793311188399446,11,4,0,18,0.08226697734063856,0.0461901370969971,12,6,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__momentum,sp500,1,5.0,1.1988075486776169,1.3976408820109505,0.19883333333333333,598,1193,1107,599,508,0.8820717131474104,1.0,397.66666666666663,72,77,0.5556322213752444,0.056246857074540496,SNDK,0.49714025121371686,0.7016672974639,0,1,0.01998012581129361,0.006203281344740184,31,22,7,0.7774968748858807,2021-05-03,2022-08-04,580.0,0.0,12,0.11269538906172731,0.05816188043722337,10,2,0,15,0.08416076348423308,0.04498696300559475,11,4,0,18,0.08063364400730522,0.04449013709699709,12,6,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__momentum,sp500,1,10.0,0.9999742153442834,1.3976408820109505,0.39766666666666667,598,1193,1107,594,513,0.8820717131474104,1.0,397.66666666666663,68,81,0.5724640295564722,0.05670780758586913,SNDK,0.4963069178803834,0.5036672974639,0,1,0.01666623692240472,0.002703281344740192,31,22,7,0.8116635415525476,2021-05-03,2022-08-04,784.0,0.0,12,0.11008427795061619,0.05766188043722337,10,2,0,15,0.08116076348423308,0.04398696300559475,11,4,0,18,0.077911421785083,0.0417462887929824,12,6,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__risk_adjusted,sp500,1,-1.0,0.038385169881897774,-0.010448938609185943,-0.04883410849108353,628,3944,1107,575,532,0.8808081420059047,1.0000000000000002,488.3410849108353,83,86,0.23137477316603458,0.06633013844500132,WDC,0.10841476769826557,-0.07002959781636779,2,1,0.0006397528313649605,0.003921986889301014,32,21,7,0.3913500839441024,2021-05-03,2022-10-12,521.0,0.13274123738883478,12,0.008009737429214526,0.02000428245202258,9,3,0,15,0.0008314733239146629,0.01809631658461685,11,4,0,18,0.006028162549690614,0.02000428245202258,13,5,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__risk_adjusted,sp500,1,0.0,-0.010448938609185943,-0.010448938609185943,0.0,628,3944,1107,573,534,0.8808081420059047,1.0000000000000002,488.3410849108353,83,86,0.23337442926821417,0.06656350222830196,WDC,0.10789692668651746,-0.1183458652957034,2,1,-0.00017414897681976524,0.0027299096226761277,32,21,7,0.3994968971002917,2021-05-03,2022-10-12,522.0,0.14064544854010344,12,0.007219047040723888,0.01968992433741957,9,3,0,15,-6.06800038411857e-05,0.017666256376621645,11,4,0,18,0.005111330337590406,0.01968992433741957,13,5,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__risk_adjusted,sp500,1,1.0,-0.05928304710026927,-0.010448938609185943,0.04883410849108353,628,3944,1107,571,536,0.8808081420059047,1.0000000000000002,488.3410849108353,83,86,0.23543868618659305,0.06679498264027604,WDC,0.10737908567476936,-0.16666213277503863,2,1,-0.0009880507850044868,0.001537832356051245,32,21,7,0.40764371025648016,2021-05-03,2022-10-12,532.0,0.1492046734566073,12,0.006428356652233254,0.01937556622281658,9,3,0,15,-0.0009528333315970306,0.017236196168626476,11,4,0,18,0.004194498125490197,0.01937556622281658,13,5,0,open_to_next_open
CAM-0611,RUN-0024,sp500__ma10_30__daily__top3__risk_adjusted,sp500,1,2.0,-0.10811715559135288,-0.010448938609185943,0.09766821698216706,628,3944,1107,570,537,0.8808081420059047,1.0000000000000002,488.3410849108353,83,86,0.2375707258054636,0.0670270972056283,WDC,0.10686124466302126,-0.21497840025437415,2,1,-0.0018019525931892155,0.00034575508942636356,31,22,7,0.4157905234126693,2021-05-03,2022-10-12,580.0,0.15850385204442594,12,0.005637666263742613,0.018852741226543804,8,4,0,15,-0.0018449866593528818,0.016806135960631283,10,5,0,18,0.0032776659133899816,0.018852741226543804,12,6,0,open_to_next_open
