symbol,events,net_contribution,mean_event_net
SMCI,3,0.08058909629083577,0.026863032096945256
CSGP,1,0.050754510309278356,0.050754510309278356
FTNT,1,0.04130254041570436,0.04130254041570436
ZM,1,0.024997693664360554,0.024997693664360554
INSM,1,0.024201001200269356,0.024201001200269356
SIRI,1,0.02335278641473315,0.02335278641473315
INCY,1,0.01905568445475625,0.01905568445475625
APP,2,0.016920511741164268,0.008460255870582134
VRSN,1,0.014266507093233627,0.028533014186467254
MTCH,1,0.01042444593687031,0.01042444593687031
SNDK,1,-0.002121373953149706,-0.002121373953149706
CSX,1,-0.0024573082489145453,-0.0024573082489145453
WBD,1,-0.0026240249609983373,-0.0026240249609983373
RIVN,1,-0.003559089491736776,-0.003559089491736776
EXPE,1,-0.00530771970892052,-0.00530771970892052
AMGN,1,-0.005681392235609149,-0.005681392235609149
MRNA,1,-0.005690036900368843,-0.005690036900368843
TTD,2,-0.00997306931474051,-0.004986534657370255
GFS,1,-0.026358226371061888,-0.026358226371061888
ODFL,2,-0.03165721594608417,-0.015828607973042086
WBA,2,-0.034234243143904886,-0.017117121571952443
CHTR,1,-0.03605823027974547,-0.07211646055949095
