anchor,volume_threshold,asset_class,hold,parent_events,filtered_events,attrition,portfolio_events,portfolio_clusters,net,net_ex_20250407,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_events,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_events,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_events
abrupt_residual15,5.0,stocks,60,59,32,27,28,27,0.14014284696597118,0.14014284696597118,0.04507536601636212,286,True,0.14014284696597118,0.007785713720331732,-0.0013120124804991687,9,3,28,0.17779571899454433,0.011853047932969622,0.0,7,3,24,0.1314540179462021,0.010954501495516841,-0.0013120124804991687,6,2,18
episode_control45,10.0,all,60,59,22,37,21,21,0.16168429438398557,0.004079464526685728,0.17857680181394206,386,True,0.16168429438398557,0.00898246079911031,0.0,6,6,21,0.12134007295897575,0.00808933819726505,0.0,5,5,19,0.1567556545387495,0.01306297121156246,0.0,3,5,14
episode_control45,2.0,unlevered_etfs,60,59,2,57,2,2,0.12025119150337593,0.12025119150337593,0.0,0,False,0.12025119150337593,0.006680621750187552,0.0,0,16,2,0.12025119150337593,0.008016746100225063,0.0,0,13,2,0.12025119150337593,0.010020932625281328,0.0,0,10,2
episode_control45,0.0,unlevered_etfs,60,59,2,57,2,2,0.12025119150337593,0.12025119150337593,0.0,0,False,0.12025119150337593,0.006680621750187552,0.0,0,16,2,0.12025119150337593,0.008016746100225063,0.0,0,13,2,0.12025119150337593,0.010020932625281328,0.0,0,10,2
episode_control45,5.0,unlevered_etfs,60,59,2,57,2,2,0.12025119150337593,0.12025119150337593,0.0,0,False,0.12025119150337593,0.006680621750187552,0.0,0,16,2,0.12025119150337593,0.008016746100225063,0.0,0,13,2,0.12025119150337593,0.010020932625281328,0.0,0,10,2
episode_control45,10.0,unlevered_etfs,60,59,2,57,2,2,0.12025119150337593,0.12025119150337593,0.0,0,False,0.12025119150337593,0.006680621750187552,0.0,0,16,2,0.12025119150337593,0.008016746100225063,0.0,0,13,2,0.12025119150337593,0.010020932625281328,0.0,0,10,2
episode_control45,0.0,all,30,59,59,0,50,48,0.10624538621213109,-0.06001702422416243,0.17716978648998266,386,True,0.1062453862121311,0.0059025214562295055,0.0023586305973554173,7,0,50,0.10130684150147562,0.006753789433431708,0.0011220730565095777,6,0,46,0.07178195677219613,0.005981829731016345,0.0038302116367932033,4,0,35
source60,10.0,stocks,5,301,53,248,47,45,0.07598773316447892,0.07151892382718249,0.02660893634886227,273,False,0.07598773316447893,0.004221540731359941,0.0041622252778462125,6,2,47,0.09207171665628233,0.006138114443752156,0.00555314283620879,4,2,40,0.03044755596505677,0.0025372963304213974,0.002776571418104395,4,2,33
slow_residual120,2.0,unlevered_etfs,60,64,3,61,3,3,0.08171940685603996,0.08171940685603996,0.016481205539694455,260,False,0.08171940685603996,0.004539967047557775,0.0,1,16,3,0.08171940685603996,0.00544796045706933,0.0,1,13,3,0.08171940685603996,0.006809950571336663,0.0,1,10,3
slow_residual120,0.0,unlevered_etfs,60,64,3,61,3,3,0.08171940685603996,0.08171940685603996,0.016481205539694455,260,False,0.08171940685603996,0.004539967047557775,0.0,1,16,3,0.08171940685603996,0.00544796045706933,0.0,1,13,3,0.08171940685603996,0.006809950571336663,0.0,1,10,3
slow_residual120,5.0,unlevered_etfs,60,64,3,61,3,3,0.08171940685603996,0.08171940685603996,0.016481205539694455,260,False,0.08171940685603996,0.004539967047557775,0.0,1,16,3,0.08171940685603996,0.00544796045706933,0.0,1,13,3,0.08171940685603996,0.006809950571336663,0.0,1,10,3
