date,net_pnl
2019-06,0.0
2019-07,0.0
2019-08,0.0
2019-09,0.0
2019-10,0.0
2019-11,0.0
2019-12,-0.0010210040069639171
2020-01,-0.028164781354290607
2020-02,-0.007929305558442384
2020-03,0.03478629991219821
2020-04,0.039320662912061974
2020-05,0.03442954625912582
2020-06,0.006866859660860831
2020-07,0.005944318947843491
2020-08,0.0074817484787875164
2020-09,-0.013845102258401179
2020-10,0.00305773940805182
2020-11,-0.005375466536569926
2020-12,-0.010565396930566136
2021-01,0.00823651526255677
2021-02,-0.01643372037469918
2021-03,-0.010157152854719862
2021-04,-0.00883853360490283
2021-05,0.001115676125543528
2021-06,-0.019669678897059815
2021-07,-0.010651482700524415
2021-08,-0.023662963442620866
2021-09,-0.019933912522929836
2021-10,-0.03667939807503428
2021-11,-0.034651820262254156
2021-12,0.007553221122888891
2022-01,0.0015642973881287523
2022-02,-0.007381609297686856
2022-03,-0.023876129131607606
2022-04,-0.03255580889878377
2022-05,-0.003147092930349497
2022-06,-0.026548130771792012
2022-07,-0.025012899800648067
2022-08,0.0005756721336065288
2022-09,-0.023316422053034566
2022-10,-0.017987036128547573
2022-11,-0.023314643820853617
2022-12,-0.021448383893533013
2023-01,-0.017803069013651744
2023-02,-0.00373229253034044
2023-03,0.004699173603292767
2023-04,-0.0011844921920266876
2023-05,-0.018469990418071798
2023-06,0.007968063421110717
2023-07,-0.002653744850490556
2023-08,-0.013289611568122887
2023-09,-0.005312352223343376
2023-10,0.0035730572893463135
2023-11,-0.0040815595303088596
2023-12,-0.013965723558737172
2024-01,-0.008552887354719069
2024-02,-0.003133051128342814
2024-03,-0.0037310770664251104
2024-04,-0.020178083164533706
2024-05,0.0012804825463722672
2024-06,-0.0033610899491603244
2024-07,-0.006678160998159058
2024-08,-0.020509161585167024
2024-09,-0.006118452220076655
2024-10,-0.018056613956143112
2024-11,-0.015278588988415456
2024-12,-0.008699775769049702
2025-01,0.002946168562659739
2025-02,0.00048774825749531823
2025-03,-0.006894861068822738
2025-04,-0.011982665134093897
2025-05,-0.008991698506461199
2025-06,-0.007053016401378106
2025-07,-0.003429710189484824
2025-08,0.0008631945184436225
2025-09,-0.013932023316102313
2025-10,-0.0020626669790354286
2025-11,-0.025810426278725464
2025-12,-0.019557867479758913
2026-01,-0.02449173661341385
2026-02,-0.046025815502578414
2026-03,0.003910542124516633
2026-04,-0.013882041831900489
