campaign_id,run_id,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding,metadata_json
CAM-0613,RUN-0020,etf__pivot__trend0__volume1,etf,0,-1.0,-0.40044046307778575,-0.46068130603638546,-0.060240842958599855,4496,7471,1381,832,549,0.16441278100054546,0.6666666666666666,602.4084295859985,9,11,0.8746276066224139,0.0841136760675912,TLT,0.03029222215138089,-0.43073268522916663,0,0,-0.004550459807702111,-0.0017327867478544913,40,47,1,0.4227832315897262,2020-06-11,2026-03-30,,0.41340031913237313,12,-0.007998437112548855,-0.0038571985574404975,5,7,0,15,-0.017871955295715777,-0.004920923612602937,6,9,0,18,-0.015067386405241892,-0.004684390966247709,7,11,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 27356, ""long_target_hits"": 11123, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,sp500__pivot__trend1__volume0,sp500,0,0.0,0.26800144737436316,0.26800144737436316,0.0,63463,92843,1148,739,409,0.20153145769268707,0.49999999999999994,505.8439588086445,224,73,0.10322350276202363,0.055622188074609426,VLO,0.008192105485642842,0.2598093418887203,0,0,0.004466690789572719,0.00402250509247227,46,10,4,0.0164014934208597,2022-02-10,2022-02-24,29.0,0.0,12,0.005532569760402786,0.004934614681034132,10,2,0,15,0.0047933208215940075,0.0037035073019349904,12,3,0,18,0.004102188055320679,0.0037188533246282057,14,4,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 330842, ""long_target_hits"": 165559, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": false}"
CAM-0613,RUN-0020,sp500__pivot__trend1__volume1,sp500,0,0.0,0.19342505639015203,0.19342505639015203,0.0,30672,50265,1135,777,358,0.10124688759935899,0.4358974358974359,254.12968787439104,213,79,0.1374500021843387,0.07751597684521487,ETSY,0.00836378259530466,0.18506127379484738,0,0,0.003223750939835867,0.0033358024347716116,47,9,4,0.0143346223670243,2022-02-10,2022-02-24,30.0,0.0,12,0.0036919914696275954,0.0035466478031489453,10,2,0,15,0.0029983800098317996,0.0022945003536014646,11,4,0,18,0.002547275511305607,0.002754400507822324,13,5,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 330842, ""long_target_hits"": 165559, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,qqq__pivot__trend1__volume0,qqq,0,0.0,0.1762012844227905,0.1762012844227905,0.0,21009,30441,1556,936,620,0.22154249995897196,1.0,763.8785398585353,49,28,0.28261095057490193,0.04864345343163158,MRNA,0.01822424662244016,0.15797703780035036,0,0,0.00212290704123844,0.0019461457476674933,45,33,5,0.046873220260143206,2020-01-23,2020-03-11,405.0,0.0,12,0.0037631963637369224,0.0015832034433012209,6,6,0,15,0.00308474178047941,0.0004470775796854981,8,7,0,18,0.0016467460712274388,-0.0003461470394375858,9,9,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 92880, ""long_target_hits"": 44130, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": false}"
CAM-0613,RUN-0020,qqq__pivot__trend1__volume1,qqq,0,0.0,0.13562119650494464,0.13562119650494464,0.0,10124,16478,1452,901,551,0.11169107993120282,1.0,385.1108436027873,42,34,0.3491190523719218,0.06414560269455241,NFLX,0.021651355001629527,0.11396984150331511,0,0,0.0016339903193366828,0.0007020179948640315,43,35,5,0.04757806452300273,2020-01-23,2020-03-06,27.0,0.02031129229264495,12,0.0008494288052057949,-0.0004164275443359832,6,6,0,15,0.00035041073899989513,-0.0020668463301046253,7,8,0,18,-9.517070312762261e-05,-0.0018070418966926309,8,10,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 92880, ""long_target_hits"": 44130, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,sp500__pivot__trend0__volume0,sp500,0,0.0,0.06701975653529496,0.06701975653529496,0.0,113120,166639,1222,678,544,0.3526517977213734,1.0,885.1560122806472,167,155,0.16436972507114117,0.07799031051742707,NVDA,0.008550208543526592,0.05846954799176837,0,0,0.001116995942254916,0.0017515345667551902,35,24,1,0.04589158776415216,2023-07-26,2025-03-04,280.0,0.0,12,0.0019988737746905218,0.0019322890309547644,7,5,0,15,0.002945960686222466,0.002223798606584123,9,6,0,18,0.0019060821490770865,0.0019322890309547644,11,7,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 330842, ""long_target_hits"": 165559, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": false}"
CAM-0613,RUN-0020,sp500__pivot__trend0__volume1,sp500,0,0.0,0.058475919384140526,0.058475919384140526,0.0,53955,89368,1218,705,513,0.17593995168374688,1.0,441.6092787262047,162,158,0.19845741127607008,0.11427912095342965,NVDA,0.00904915010291922,0.049426769281221306,0,0,0.0009745986564023419,0.0016298884687074191,31,28,1,0.03824126199657401,2024-03-13,2025-04-08,,0.005392561172038092,12,0.0005876796082110605,0.0007046754822489087,6,6,0,15,0.0013402790124631303,-0.00015876931519989723,7,8,0,18,0.0007132281369637686,0.0008698429096739058,9,9,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 330842, ""long_target_hits"": 165559, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,etf__pivot__trend1__volume0,etf,0,0.0,-0.0004458905606931282,-0.0004458905606931282,0.0,6719,9310,1533,963,570,0.2293768933777516,0.6428571428571428,840.4369373360819,11,8,0.8712695204908945,0.05982141787157023,SOXL,0.05305917594055943,-0.05350506650125256,0,0,-5.06693818969456e-06,0.0009973893309753751,50,34,4,0.12121725424790351,2024-03-12,2026-03-09,,0.07795461258263263,12,0.0026811666021940156,0.00381058060154345,7,5,0,15,-0.0034783966772279715,0.004757239547497115,9,6,0,18,-0.0029772504939073767,0.00381058060154345,10,8,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 27356, ""long_target_hits"": 11123, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": true, ""volume_confirmation"": false}"
CAM-0613,RUN-0020,qqq__pivot__trend0__volume1,qqq,0,0.0,-0.14327583213765016,-0.14327583213765016,0.0,15861,26023,1614,937,677,0.17445030876682655,1.0,601.504664628018,30,54,0.4394296757207694,0.059936726008938596,NVDA,0.023796529310535997,-0.16707236144818616,0,0,-0.0017262148450319296,0.0001895092529101976,42,39,2,0.1795353037396467,2020-01-23,2026-03-30,,0.1547782673685201,12,-0.003027803181129794,-0.004278482249540636,5,7,0,15,-0.00333249249293852,-0.0026841721104784297,6,9,0,18,-0.0034533650444969837,-0.0033622269749896275,7,11,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 92880, ""long_target_hits"": 44130, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": true}"
CAM-0613,RUN-0020,qqq__pivot__trend0__volume0,qqq,0,0.0,-0.1697026564498886,-0.1697026564498886,0.0,33055,48234,1665,929,736,0.3468389088639529,1.0,1195.9005577629098,31,54,0.4917293360462761,0.04260357251884973,MRNA,0.025210465975324222,-0.19491312242521283,0,0,-0.0020446103186733565,-0.0007349031451500398,37,44,2,0.2217172785354857,2019-08-13,2026-02-05,,0.1798790854183691,12,-0.0004101217389202953,-0.002154226182174925,6,6,0,15,-0.00039384498102812323,0.0014996713262884838,8,7,0,18,-0.0015543914015182475,-0.002154226182174925,9,9,0,return_override,"{""liquidity"": ""top35pct"", ""long_entries"": 92880, ""long_target_hits"": 44130, ""short_entries"": 0, ""short_target_hits"": 0, ""trend"": false, ""volume_confirmation"": false}"
