variant,model,direction,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,short_stop_count,average_month_18m,median_month_18m,negative_months_18m,zero_months_18m,average_capital_utilization,maximum_gross_exposure,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
residual_long_low_0bps,residual,long_low,0.0,-0.2164742603688158,0.36840698161305646,329,True,4404,367,447,-0.012026347798267549,-0.015306651406449982,12,0,1.0,1.0,-0.006043172058514217,9,-0.015528414514366302,7
raw_return_half_long_half_short_0bps,raw_return,half_long_half_short,0.0,-0.2531488577273222,0.26905780574531907,372,True,4404,367,447,-0.014063825429295676,-0.023746149503286105,10,0,1.0,1.0,-0.010644741049782748,8,-0.022279652618552682,7
residual_half_long_half_short_0bps,residual,half_long_half_short,0.0,-0.2829746704870194,0.3110106524996876,541,True,4404,367,447,-0.015720815027056637,-0.017793151423676445,14,0,1.0,1.0,-0.01226451369228994,12,-0.01822147701522063,10
residual_protected_short_high_0bps,residual,protected_short_high,0.0,-0.3494750806052231,0.42290223603047583,541,True,4404,367,447,-0.019415282255845726,-0.02062963147644393,10,0,1.0,1.0,-0.01848585532606567,8,-0.02091453951607496,6
residual_long_low_5bps,residual,long_low,5.0,-4.620474260368818,4.681338102724947,542,True,4404,367,447,-0.2566930144649343,-0.25504295672612054,18,0,1.0,1.0,-0.25244317205851424,15,-0.26252841451436637,12
raw_return_half_long_half_short_5bps,raw_return,half_long_half_short,5.0,-4.657148857727323,4.6889089766764185,541,True,4404,367,447,-0.25873049209596244,-0.25174614950328617,18,0,1.0,1.0,-0.2570447410497828,15,-0.26927965261855275,12
residual_half_long_half_short_5bps,residual,half_long_half_short,5.0,-4.68697467048702,4.7509168259814,541,True,4404,367,447,-0.2603874816937234,-0.265129918392618,18,0,1.0,1.0,-0.25866451369229,15,-0.26522147701522064,12
residual_protected_short_high_5bps,residual,protected_short_high,5.0,-4.753475080605224,4.754895936102302,541,True,4404,367,447,-0.2640819489225124,-0.2624461703995806,18,0,1.0,1.0,-0.2648858553260656,15,-0.26791453951607497,12
residual_long_low_10bps,residual,long_low,10.0,-9.024474260368816,9.26016209250294,542,True,4404,367,447,-0.5013596811316009,-0.501531063966947,18,0,1.0,1.0,-0.49884317205851425,15,-0.5095284145143663,12
raw_return_half_long_half_short_10bps,raw_return,half_long_half_short,10.0,-9.061148857727323,9.252392336409494,542,True,4404,367,447,-0.503397158762629,-0.49388249396154715,18,0,1.0,1.0,-0.5034447410497828,15,-0.5162796526185527,12
residual_half_long_half_short_10bps,residual,half_long_half_short,10.0,-9.090974670487022,9.347663219703065,542,True,4404,367,447,-0.5050541483603901,-0.517129918392618,18,0,1.0,1.0,-0.50506451369229,15,-0.5122214770152207,12
residual_protected_short_high_10bps,residual,protected_short_high,10.0,-9.157475080605224,9.3613104578731,541,True,4404,367,447,-0.508748615589179,-0.5119997019937428,18,0,1.0,1.0,-0.5112858553260656,15,-0.5149145395160749,12
