variant,symbols,top_symbol,top_symbol_contribution,top_symbol_share_of_positive,top5_contribution,leave_top_symbol_out_return
raw_return_half_long_half_short_0bps,109,WBD,0.038201390371379845,0.11798838786193133,0.12783193347727392,-0.291350248098702
raw_return_half_long_half_short_10bps,109,BIIB,-0.00020177014120992994,,-0.007661649808345416,-9.060947087586113
raw_return_half_long_half_short_5bps,109,MAR,0.00120787090819331,0.6637469892200042,0.0006513647342030018,-4.658356728635517
residual_half_long_half_short_0bps,110,ON,0.034811025569167015,0.09961826995638039,0.12264421453266935,-0.31778569605618645
residual_half_long_half_short_10bps,110,CDW,0.002357245688887221,1.0,-0.0031334593345991933,-9.09333191617591
residual_half_long_half_short_5bps,110,CDW,0.0024911742603157924,1.0,0.0017754438291430934,-4.689465844747335
residual_long_low_0bps,110,DASH,0.036030874723348046,0.08037325491371518,0.13812633010272335,-0.2525051350921639
residual_long_low_10bps,110,CDW,0.0012140119250425854,0.6818070201137647,-0.0023442754745319357,-9.02568827229386
residual_long_low_5bps,110,NXPI,0.005487115495979045,0.5992311038450459,0.008748000063980877,-4.625961375864797
residual_protected_short_high_0bps,110,ON,0.03706463333297006,0.06960538384041544,0.164715172396761,-0.38653971393819314
residual_protected_short_high_10bps,110,CDW,0.0035004794527318567,0.4567447335540392,0.0056652616751919835,-9.160975560057956
residual_protected_short_high_5bps,110,VRTX,0.004553644534565429,0.2521937420217989,0.017951127934199295,-4.7580287251397895
