symbol,component,morning,hold,state,cost,signal_days,net,positive_fraction,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_trades,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_trades,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_trades
EEM,open_session,30,60,high_opening_volume,5.0,72,-0.028659581304932957,0.3472222222222222,0.03333593764811171,59,True,-0.028659581304932957,-0.0015921989613851644,-0.0010423050020860747,13,1,72,-0.019656357508668232,-0.0013104238339112155,-0.0009995002498750516,10,1,64,-0.030910975162259047,-0.0025759145968549204,-0.0010423050020860747,8,1,51
EEM,open_session,15,60,high_opening_volume,5.0,60,-0.02652612336330218,0.3,0.039934711644251,59,True,-0.02652612336330218,-0.0014736735201834545,-0.0018124403873451267,13,2,60,-0.020031854033098484,-0.0013354569355398989,-0.0018989804256860365,10,2,55,-0.02786336977871484,-0.00232194748155957,-0.002357336817996769,10,2,42
EFA,open_session,30,60,high_opening_volume,5.0,73,-0.03754705702639627,0.3013698630136986,0.041631888104116554,59,True,-0.03754705702639627,-0.0020859476125775706,-0.0012508433572912536,11,1,73,-0.020180910921842266,-0.0013453940614561511,-0.00020484076143745256,9,1,58,-0.03991073595039929,-0.003325894662533274,-0.0026724212723274743,9,1,45
EFA,combined_previous_close,60,60,high_opening_volatility,5.0,62,-0.031084370081423285,0.3387096774193548,0.04940552797137476,36,True,-0.031084370081423285,-0.0017269094489679602,-0.0010799893762183932,12,2,62,-0.02593121077656313,-0.0017287473851042086,-0.0009995002498750516,9,2,55,-0.027189053965519405,-0.0022657544971266172,-0.0010799893762183932,8,2,43
VWO,open_session,30,60,high_opening_volume,5.0,58,-0.041475114887606024,0.22413793103448276,0.04014762907511982,2,True,-0.041475114887606024,-0.0023041730493114456,-0.002311089801896149,15,1,58,-0.027299346840400696,-0.001819956456026713,-0.0020933611885410874,12,1,50,-0.03493277918111892,-0.00291106493175991,-0.0022940987697201987,10,1,40
EEM,combined_previous_close,60,60,high_opening_volume,5.0,73,-0.04275997194494907,0.2465753424657534,0.04967252233919772,38,True,-0.04275997194494907,-0.002375553996941615,-0.0031069627938405397,14,0,73,-0.027632807190833053,-0.001842187146055537,-0.002807171598748881,11,0,66,-0.029719203972626507,-0.002476600331052209,-0.0031069627938405397,9,0,54
EFA,combined_previous_close,30,60,high_opening_volume,5.0,73,-0.05087917187573188,0.2876712328767123,0.05812658539117199,38,True,-0.05087917187573188,-0.002826620659762882,-0.003227471978675789,13,1,73,-0.02793919933965694,-0.0018626132893104627,-0.0010271849854200932,10,1,53,-0.03791587907994909,-0.0031596565899957574,-0.0015541354094034676,9,1,43
IYR,open_session,60,60,high_opening_volume,5.0,52,-0.03595445858759916,0.4230769230769231,0.048946898291607366,29,True,-0.03595445858759916,-0.0019974699215332867,-0.0012136615456878053,10,0,52,-0.028674138737261767,-0.0019116092491507845,-0.001052142948918533,8,0,44,-0.04526481463593923,-0.0037720678863282695,-0.0012136615456878053,7,0,36
EFA,combined_previous_close,30,15,high_opening_volatility,5.0,64,-0.04106283429208368,0.234375,0.04314043994060501,36,True,-0.04106283429208368,-0.002281268571782427,-0.0026099561294473106,13,2,64,-0.029149083378688267,-0.0019432722252458845,-0.0019743434951992045,10,2,53,-0.03461457155747549,-0.0028845476297896244,-0.0026099561294473106,10,2,41
EFA,combined_previous_close,30,60,high_opening_volatility,5.0,64,-0.04429481316996298,0.296875,0.05716822197791238,31,True,-0.04429481316996298,-0.002460822953886832,-0.0015028256623456637,13,2,64,-0.02985759587032455,-0.00199050639135497,-0.0009995002498750516,10,2,53,-0.0364196580816345,-0.003034971506802875,-0.0014642488750348792,9,2,41
EFA,combined_previous_close,60,60,high_opening_volume,5.0,71,-0.051032233059973287,0.29577464788732394,0.053131905392347134,38,True,-0.051032233059973287,-0.002835124058887405,-0.002264637821987825,12,1,71,-0.030203019976780543,-0.0020135346651187027,-0.00018529851281490206,9,1,56,-0.03749783869047385,-0.003124819890872821,-0.0008114061834010311,8,1,44
FXI,combined_previous_close,60,60,high_opening_volatility,5.0,59,-0.04723037683265596,0.3389830508474576,0.04794831153250634,55,True,-0.04723037683265596,-0.002623909824036442,-0.0005504793632133409,10,6,59,-0.030820687127119273,-0.002054712475141285,-0.0005012085785323084,8,5,54,-0.02369845111541613,-0.0019748709262846775,-0.0002506042892661542,6,5,33
EFA,combined_previous_close,60,30,high_opening_volatility,5.0,62,-0.03793145169604728,0.25806451612903225,0.04533907877731136,36,True,-0.03793145169604728,-0.0021073028720026265,-0.002045428904734581,12,2,62,-0.03112879633935195,-0.00207525308929013,-0.0019043661643484144,10,2,55,-0.022587032543499697,-0.0018822527119583081,-0.002045428904734581,8,2,43
EFA,combined_previous_close,60,15,high_opening_volatility,5.0,62,-0.03611041378171165,0.24193548387096775,0.0443390701694556,29,True,-0.03611041378171165,-0.0020061340989839804,-0.0022514662204312086,13,2,62,-0.03180654427151086,-0.002120436284767391,-0.0024471271423486263,11,2,55,-0.033537480553272436,-0.002794790046106036,-0.0025910037653794626,10,2,43
EFA,open_session,60,60,high_opening_volatility,5.0,71,-0.04059396123054615,0.352112676056338,0.053170427456279756,35,True,-0.04059396123054615,-0.002255220068363675,-0.00023525391019985076,10,2,71,-0.03193557790932833,-0.002129038527288555,-0.00020484076143745256,8,2,64,-0.03609095996624223,-0.0030075799971868524,-0.00023525391019985076,7,2,49
EFA,combined_previous_close,15,60,high_opening_volume,5.0,70,-0.05298007185338793,0.2571428571428571,0.059515548234957416,38,True,-0.05298007185338793,-0.0029433373251882187,-0.002918851739532602,13,1,70,-0.03261799244157093,-0.002174532829438062,-0.002081085833386842,10,1,54,-0.04004565373619928,-0.0033371378113499404,-0.0017053196344022914,8,1,42
EEM,open_session,30,30,high_opening_volume,5.0,72,-0.0431626066276124,0.25,0.0431626066276124,37,True,-0.0431626066276124,-0.002397922590422911,-0.00212475760287284,14,1,72,-0.033517104278621535,-0.002234473618574769,-0.0017105547697572332,11,1,64,-0.032896052383726726,-0.002741337698643894,-0.0018811677819475792,9,1,51
EFA,combined_previous_close,15,15,high_opening_volatility,5.0,58,-0.044315087678873044,0.1896551724137931,0.044893222344816186,36,True,-0.044315087678873044,-0.002461949315492947,-0.0026100732767601054,15,2,58,-0.03359892581452295,-0.0022399283876348634,-0.0019609047727565665,12,2,50,-0.0315369217278787,-0.002628076810656558,-0.002223085468933239,10,2,37
FXI,combined_previous_close,30,30,high_opening_volatility,5.0,55,-0.05079642295900477,0.23636363636363636,0.05079642295900477,38,True,-0.05079642295900477,-0.0028220234977224872,-0.0012967262228117393,12,4,55,-0.03372978589907938,-0.0022486523932719587,-0.0005866901260113133,9,4,47,-0.025283205798735442,-0.002106933816561287,-0.0014475198947786483,7,4,32
EFA,combined_previous_close,30,15,high_opening_volume,5.0,73,-0.04755457220386905,0.2191780821917808,0.04905404318644724,29,True,-0.04755457220386905,-0.002641920677992725,-0.0028832289637520936,13,1,73,-0.03400087646326555,-0.0022667250975510365,-0.0020874123707941283,10,1,53,-0.04331805793627863,-0.0036098381613565524,-0.0028832289637520936,10,1,43
FXI,combined_previous_close,60,60,high_opening_volume,5.0,59,-0.05227262209763861,0.2711864406779661,0.053752031276423695,38,True,-0.05227262209763861,-0.002904034560979923,-0.002653462172746923,13,1,59,-0.034406399022138046,-0.002293759934809203,-0.0019221818039389937,10,1,52,-0.03865882777461771,-0.0032215689812181425,-0.002266422593314832,9,1,30
EFA,combined_previous_close,30,30,high_opening_volatility,5.0,64,-0.05314783238883847,0.234375,0.06268927049582373,36,True,-0.05314783238883847,-0.0029526573549354704,-0.003044339295430687,13,2,64,-0.03491510116045837,-0.0023276734106972246,-0.0015795051847043995,10,2,53,-0.028452621567349068,-0.002371051797279089,-0.002309213638595098,9,2,41
EEM,combined_previous_close,30,60,high_opening_volume,5.0,78,-0.045156753943616845,0.2564102564102564,0.05334423604889271,38,True,-0.045156753943616845,-0.002508708552423158,-0.0028295999804792693,14,0,78,-0.03516976141356265,-0.0023446507609041767,-0.0022608959089081004,11,0,69,-0.031166465232738028,-0.0025972054360615024,-0.0027900814837103494,9,0,57
FXI,combined_previous_close,60,15,high_opening_volume,5.0,59,-0.03844135692433115,0.15254237288135594,0.0411854818431906,22,True,-0.03844135692433115,-0.002135630940240619,-0.002561617368018132,15,1,59,-0.035218840593427836,-0.0023479227062285224,-0.002662523679711648,13,1,52,-0.037552814191152306,-0.0031294011825960255,-0.002561617368018132,11,1,30
FXI,open_session,15,30,high_opening_volume,5.0,68,-0.04363630520641115,0.29411764705882354,0.04363630520641115,3,True,-0.04363630520641115,-0.002424239178133953,-0.001552814058504104,14,1,68,-0.03612116214513095,-0.0024080774763420632,-0.0016134430900084373,12,1,64,-0.030465035910815064,-0.002538752992567922,-0.0017148937875828274,10,1,47
EFA,combined_previous_close,30,30,high_opening_volume,5.0,73,-0.06293062655238313,0.1780821917808219,0.0669909734442401,29,True,-0.06293062655238313,-0.0034961459195768404,-0.0023650180409057753,14,1,73,-0.03623801727627196,-0.002415867818418131,-0.001521932634170664,11,1,53,-0.03582167805177461,-0.002985139837647884,-0.0017126139841718846,9,1,43
EFA,combined_previous_close,15,60,high_opening_volatility,5.0,58,-0.04934043951125189,0.29310344827586204,0.057066107136135025,31,True,-0.04934043951125189,-0.0027411355284028827,-0.0015664164050576135,14,2,58,-0.036868947448183476,-0.0024579298298788984,-0.0014851002011450065,11,2,50,-0.03751106859879705,-0.0031259223832330874,-0.001323616429422636,9,2,37
EEM,open_session,15,30,high_opening_volume,5.0,60,-0.042748227199450484,0.26666666666666666,0.042748227199450484,35,True,-0.042748227199450484,-0.0023749015110805824,-0.002090284149563748,15,2,60,-0.03694614868048496,-0.0024630765786989974,-0.00208957122470399,12,2,55,-0.02787511792309305,-0.0023229264935910876,-0.0017974530161192215,10,2,42
FXI,combined_previous_close,60,15,high_opening_volatility,5.0,59,-0.03458994523311976,0.22033898305084745,0.04349954288367708,38,True,-0.03458994523311976,-0.0019216636240622087,-0.0007105893998758384,10,6,59,-0.03715614513884824,-0.0024770763425898826,-0.0029524843335244633,9,5,54,-0.036145005416903575,-0.0030120837847419646,-0.0017088175080107182,7,5,33
EFA,open_session,60,60,high_opening_volume,5.0,88,-0.05957267788478715,0.3181818181818182,0.061672350217161,38,True,-0.05957267788478715,-0.0033095932158215082,-0.0027469133463017825,14,0,88,-0.03722207511498765,-0.0024814716743325103,-0.001838244652441312,11,0,73,-0.04412325764081082,-0.003676938136734235,-0.0022648626985788956,9,0,56
EEM,open_session,60,30,high_opening_volume,5.0,75,-0.05334732362755046,0.29333333333333333,0.054363893495981364,80,True,-0.05334732362755046,-0.002963740201530581,-0.002858376599563839,12,3,75,-0.03726753897503765,-0.0024845025983358435,-0.0028102333734262297,9,3,66,-0.03385419406729728,-0.0028211828389414404,-0.002858376599563839,8,3,53
EEM,combined_previous_close,60,30,high_opening_volume,5.0,73,-0.053529782727490094,0.2328767123287671,0.05843169153679306,38,True,-0.053529782727490094,-0.002973876818193894,-0.0019890697873717333,15,0,73,-0.03743560479288488,-0.002495706986192325,-0.0015150085066434338,12,0,66,-0.03139396681886519,-0.0026161639015720994,-0.0019659387897810743,10,0,54
IYR,open_session,30,60,high_opening_volume,5.0,58,-0.06787793063263459,0.41379310344827586,0.07255209464392665,29,True,-0.06787793063263459,-0.003770996146257477,-0.0033028126202357955,12,0,58,-0.037795840706022155,-0.0025197227137348103,-0.0013751801424570775,9,0,48,-0.05418140690461948,-0.0045151172420516235,-0.002901604482565767,8,0,40
EFA,open_session,15,60,high_opening_volatility,5.0,66,-0.04714134781096635,0.3484848484848485,0.04714134781096635,34,True,-0.04714134781096635,-0.0026189637672759084,-0.0028370092939701275,13,1,66,-0.03780921273665494,-0.0025206141824436626,-0.002810277822749563,11,1,61,-0.04238653686883087,-0.0035322114057359058,-0.0024133778866856637,9,1,46
EFA,combined_previous_close,60,30,high_opening_volume,5.0,71,-0.060039192547711395,0.18309859154929578,0.060039192547711395,29,True,-0.060039192547711395,-0.0033355106970950777,-0.002061516469346769,14,1,71,-0.03805766368084951,-0.0025371775787233005,-0.0012020550957284604,11,1,56,-0.035410854160749294,-0.0029509045133957745,-0.0012723931815716294,9,1,44
EFA,open_session,60,30,high_opening_volatility,5.0,71,-0.04897544227129391,0.3380281690140845,0.052046475716672314,35,True,-0.04897544227129391,-0.0027208579039607727,-0.0014793542542672622,12,2,71,-0.0381300295752135,-0.0025420019716808997,-0.0012020550957284604,9,2,64,-0.02574152436590116,-0.0021451270304917633,-0.001023868457792454,7,2,49
FXI,combined_previous_close,15,30,high_opening_volume,5.0,64,-0.053963426025970374,0.1875,0.05502882966148215,38,True,-0.053963426025970374,-0.0029979681125539095,-0.0028296404336430325,14,0,64,-0.0381806072077554,-0.00254537381385036,-0.0023848395340706485,12,0,55,-0.038414472301263713,-0.0032012060251053096,-0.0028296404336430325,11,0,38
EFA,combined_previous_close,15,30,high_opening_volatility,5.0,58,-0.05433125463173405,0.22413793103448276,0.05981234584686235,36,True,-0.05433125463173405,-0.0030184030350963362,-0.0029944140795009067,16,2,58,-0.03826443785264755,-0.0025509625235098365,-0.002309743441201162,13,2,50,-0.02749904439751405,-0.002291587033126171,-0.0018588706416786671,10,2,37
EFA,combined_previous_close,60,15,high_opening_volume,5.0,71,-0.04898416257656946,0.19718309859154928,0.04898416257656946,29,True,-0.04898416257656946,-0.00272134236536497,-0.0023270840173145735,14,1,71,-0.03833643552966026,-0.0025557623686440173,-0.0017013817208956228,11,1,56,-0.04516681532864708,-0.003763901277387257,-0.002814405629880501,11,1,44
EEM,open_session,15,60,high_opening_volatility,5.0,77,-0.047999639140645756,0.2987012987012987,0.05547000656464174,34,True,-0.047999639140645756,-0.0026666466189247643,-0.001506092011521909,12,4,77,-0.03861665277395654,-0.002574443518263769,-0.0013418249465099175,10,3,71,-0.03298332939639004,-0.0027486107830325033,-0.002297689588765195,9,3,52
FXI,open_session,15,30,high_opening_volatility,5.0,61,-0.047984637742459535,0.3114754098360656,0.0485672189279206,29,True,-0.047984637742459535,-0.0026658132079144187,-0.0015085219894463986,12,2,61,-0.038882212901853785,-0.0025921475267902524,-0.001588790986950861,10,1,57,-0.030324694789953144,-0.002527057899162762,-0.0018031478963709824,9,1,42
VWO,combined_previous_close,60,60,high_opening_volume,5.0,66,-0.06240167007207542,0.16666666666666666,0.06629984501165986,38,True,-0.06240167007207542,-0.0034667594484486344,-0.0028152441612780965,15,0,66,-0.03958985026643447,-0.002639323351095631,-0.0021815345351171578,12,0,52,-0.03282543600104615,-0.002735453000087179,-0.0024215610382816166,11,0,40
EFA,open_session,30,30,high_opening_volatility,5.0,67,-0.052188003211972256,0.31343283582089554,0.05552083463499813,35,True,-0.052188003211972256,-0.0028993335117762364,-0.0022066139124420903,14,3,67,-0.039669980119933834,-0.002644665341328922,-0.0021034843836830186,11,3,58,-0.03327296586527462,-0.0027727471554395513,-0.0016998203888303198,9,3,46
EEM,combined_previous_close,30,60,high_opening_volatility,5.0,62,-0.04860165968507446,0.2903225806451613,0.06484563611695182,36,True,-0.04860165968507446,-0.002700092204726359,-0.0014616358378005678,12,2,62,-0.03982357700159489,-0.0026549051334396594,-0.0014464658835617872,9,2,57,-0.023419883366161187,-0.0019516569471800989,-0.0015422453454163043,8,2,42
FXI,combined_previous_close,15,30,high_opening_volatility,5.0,54,-0.05585800378133332,0.18518518518518517,0.05585800378133332,24,True,-0.05585800378133332,-0.0031032224322962956,-0.0014134827502371716,13,2,54,-0.04053491624693417,-0.0027023277497956115,-0.001187652942475359,10,2,46,-0.03194695183863083,-0.0026622459865525694,-0.002437469314250651,8,2,31
FXI,combined_previous_close,30,15,high_opening_volatility,5.0,55,-0.04199162255323441,0.23636363636363636,0.044244365888107096,38,True,-0.04199162255323441,-0.002332867919624134,-0.0019417383831141222,12,4,55,-0.04057963219842564,-0.002705308813228376,-0.002292000837061936,10,4,47,-0.031181217608541756,-0.002598434800711813,-0.0022416879204852913,8,4,32
EFA,combined_previous_close,15,30,high_opening_volume,5.0,70,-0.06273248908353446,0.18571428571428572,0.06585916197436648,29,True,-0.06273248908353446,-0.003485138282418581,-0.002846810253406218,14,1,70,-0.04058341010610533,-0.0027055606737403557,-0.002352315272628691,11,1,54,-0.03596743202926911,-0.0029972860024390924,-0.002013726175929209,9,1,42
FXI,open_session,60,30,high_opening_volume,5.0,59,-0.048392064287288816,0.3050847457627119,0.048392064287288816,38,True,-0.048392064287288816,-0.00268844801596049,-0.002212891560888164,12,2,59,-0.040870359911263976,-0.002724690660750932,-0.0026094386366191102,10,2,55,-0.03263805745845272,-0.0027198381215377265,-0.002212891560888164,8,2,37
EEM,combined_previous_close,15,60,high_opening_volume,5.0,73,-0.04994543177646049,0.2465753424657534,0.05813291388173636,36,True,-0.04994543177646049,-0.0027747462098033607,-0.0030495028344477704,14,0,73,-0.040911645309703926,-0.0027274430206469286,-0.002588873082663201,11,0,67,-0.03407797393073719,-0.002839831160894766,-0.0030495028344477704,10,0,54
FXI,combined_previous_close,30,30,high_opening_volume,5.0,60,-0.05645215178890506,0.21666666666666667,0.05751755542441683,38,True,-0.05645215178890506,-0.00313623065493917,-0.0029373666931458153,14,0,60,-0.04276440011673466,-0.0028509600077823104,-0.0022564056137784894,12,0,52,-0.04000180164402767,-0.003333483470335639,-0.0029373666931458153,11,0,34
EFA,combined_previous_close,15,15,high_opening_volume,5.0,70,-0.059806582584084444,0.15714285714285714,0.06036342245673865,29,True,-0.059806582584084444,-0.0033225879213380246,-0.0031687355226256986,15,1,70,-0.043047300638645036,-0.0028698200425763356,-0.0020874123707941283,12,1,54,-0.04400590452986031,-0.003667158710821692,-0.0022626480537143445,11,1,42
EEM,open_session,30,60,high_opening_volatility,5.0,71,-0.04923428909570071,0.352112676056338,0.06264466613656117,35,True,-0.04923428909570071,-0.002735238283094484,-0.0022925385500975892,11,4,71,-0.043144945259420364,-0.0028763296839613576,-0.0018736014491118613,9,3,65,-0.0424982781602008,-0.0035415231800167333,-0.002327808234282358,8,3,48
FXI,open_session,30,30,high_opening_volume,5.0,65,-0.046877004513338316,0.3230769230769231,0.046877004513338316,29,True,-0.046877004513338316,-0.002604278028518795,-0.0021118005911467397,13,1,65,-0.04333511214061958,-0.002889007476041305,-0.002416245607881451,11,1,62,-0.03633243472947045,-0.003027702894122538,-0.002269109164692862,9,1,42
EFA,open_session,15,60,high_opening_volume,5.0,78,-0.061371887899992594,0.23076923076923078,0.06066081772343912,37,True,-0.061371887899992594,-0.0034095493277773664,-0.002478194841164294,13,1,78,-0.04355531314401495,-0.00290368754293433,-0.001838244652441312,10,1,67,-0.0564393972899665,-0.004703283107497208,-0.0029342800821542947,9,1,51
FXI,combined_previous_close,15,15,high_opening_volume,5.0,64,-0.04885130408059901,0.15625,0.050619522772066716,22,True,-0.04885130408059901,-0.002713961337811056,-0.002226293182774397,16,0,64,-0.04362978724994604,-0.002908652483329736,-0.002267094228356692,14,0,55,-0.03835279508721212,-0.003196066257267677,-0.002424007908451875,12,0,38
EEM,combined_previous_close,30,30,high_opening_volatility,5.0,62,-0.053737399639706473,0.24193548387096775,0.06441960474166519,77,True,-0.053737399639706473,-0.002985411091094804,-0.0024713997478771343,13,2,62,-0.04424878412064215,-0.0029499189413761434,-0.0025127496042324227,10,2,57,-0.020208310819634034,-0.0016840259016361696,-0.0013283790483338276,7,2,42
EEM,combined_previous_close,60,15,high_opening_volume,5.0,73,-0.050715505540443906,0.2328767123287671,0.05245026891267701,38,True,-0.050715505540443906,-0.002817528085580217,-0.00296132462815224,16,0,73,-0.044586365583274556,-0.002972424372218304,-0.003341387965012821,13,0,66,-0.04477657301170057,-0.003731381084308381,-0.003980396914134154,11,0,54
EFA,open_session,30,15,high_opening_volatility,5.0,67,-0.05233963145000142,0.23880597014925373,0.054378875774320656,35,True,-0.05233963145000142,-0.002907757302777857,-0.0019179157040958295,13,3,67,-0.044807200038684436,-0.002987146669245629,-0.0019550986481527977,10,3,58,-0.03760034210723384,-0.0031333618422694867,-0.001630273734658516,8,3,46
EEM,open_session,60,60,high_opening_volume,5.0,75,-0.061457453203456636,0.30666666666666664,0.061457453203456636,38,True,-0.061457453203456636,-0.003414302955747591,-0.0031591324811447996,13,3,75,-0.04484363649069312,-0.0029895757660462078,-0.002758072569400638,10,3,66,-0.045786847329562175,-0.003815570610796848,-0.0027826220840747595,8,3,53
FXI,open_session,30,30,high_opening_volatility,5.0,63,-0.05648510276030139,0.2857142857142857,0.05731475835503941,35,True,-0.05648510276030139,-0.0031380612644611883,-0.0027278144970319107,13,2,63,-0.04528104945890643,-0.003018736630593762,-0.0033540005332746148,10,2,58,-0.03485284921932108,-0.00290440410161009,-0.001970345329642964,7,2,43
EEM,open_session,30,30,high_opening_volatility,5.0,71,-0.052581495334508954,0.2676056338028169,0.05970867822945625,35,True,-0.052581495334508954,-0.0029211941852504975,-0.00214251087821965,12,4,71,-0.04531300804314686,-0.0030208672028764574,-0.00208957122470399,10,3,65,-0.032395673665596036,-0.002699639472133003,-0.0015282648820565403,8,3,48
FXI,open_session,60,15,high_opening_volume,5.0,59,-0.046429891680581425,0.22033898305084745,0.04682387249496078,38,True,-0.046429891680581425,-0.002579438426698968,-0.0029879930268398303,15,2,59,-0.04567944390600853,-0.003045296260400569,-0.0029979118803828975,13,2,55,-0.03058377896633324,-0.002548648247194437,-0.0022983626195463014,10,2,37
VWO,open_session,30,30,high_opening_volume,5.0,58,-0.06044174796140722,0.08620689655172414,0.05879533686668059,2,True,-0.06044174796140722,-0.003357874886744846,-0.002286784977981793,17,1,58,-0.04568606605818337,-0.0030457377372122246,-0.0021991861107309996,14,1,50,-0.039433961910061766,-0.0032861634925051473,-0.0020403970685545225,11,1,40
IYR,open_session,30,60,high_opening_volatility,5.0,57,-0.0631319259167118,0.38596491228070173,0.07393441552212865,3,True,-0.0631319259167118,-0.0035073292175951,-0.0030758541615233392,11,2,57,-0.04569276534913802,-0.0030461843566092013,-0.003147665936171884,10,2,46,-0.05764179362693056,-0.004803482802244213,-0.0035436606927433667,9,2,30
IYR,open_session,30,30,high_opening_volatility,5.0,57,-0.07102019272553095,0.3508771929824561,0.07743057589649016,3,True,-0.07102019272553095,-0.0039455662625294975,-0.00258604524672984,13,2,57,-0.045809714621272035,-0.003053980974751469,-0.0029056270225953362,11,2,46,-0.03596117039019042,-0.0029967641991825353,-0.0027702997820854836,8,2,30
VWO,open_session,15,60,high_opening_volatility,5.0,65,-0.05740000192669292,0.24615384615384617,0.06717035907171687,59,True,-0.05740000192669292,-0.003188888995927385,-0.0028297212863216403,13,2,65,-0.045869009093423285,-0.0030579339395615524,-0.002767273157801675,10,2,59,-0.03335331332026048,-0.0027794427766883734,-0.0028297212863216403,9,2,42
EEM,open_session,30,15,high_opening_volume,5.0,72,-0.05532883758908569,0.2222222222222222,0.05532883758908569,37,True,-0.05532883758908569,-0.0030738243105047605,-0.00293160423647576,16,1,72,-0.04635611905020387,-0.003090407936680258,-0.002912464113831059,13,1,64,-0.03900863828381629,-0.0032507198569846907,-0.0027408132131432894,10,1,51
IYR,open_session,30,15,high_opening_volume,5.0,58,-0.07536078671705171,0.25862068965517243,0.07673978369011725,29,True,-0.07536078671705171,-0.004186710373169539,-0.0023813792755957297,16,0,58,-0.046509068687553445,-0.00310060457917023,-0.0022559998604051446,13,0,48,-0.0500711446726273,-0.004172595389385608,-0.0022275528813262002,11,0,40
EFA,open_session,60,30,high_opening_volume,5.0,88,-0.07138810819054353,0.22727272727272727,0.07138810819054353,29,True,-0.07138810819054353,-0.003966006010585752,-0.003669534145713582,17,0,88,-0.04653543795799009,-0.0031023625305326725,-0.0024735551741322803,14,0,73,-0.03805903556838475,-0.0031715862973653954,-0.002163320462849616,11,0,56
