symbol,component,morning,hold,state,cost,signal_days,net,positive_fraction,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_trades,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_trades,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_trades
FXI,combined_previous_close,30,60,high_opening_volatility,5.0,55,-0.017370077830710984,0.38181818181818183,0.02449350708193354,55,True,-0.017370077830710984,-0.000965004323928388,-0.0002269806738691149,9,4,55,0.0028095938127330466,0.0001873062541822031,0.0,7,4,47,-0.014517261618286481,-0.0012097718015238734,-0.0006234810969886206,6,4,32
FXI,open_session,15,60,high_opening_volume,5.0,68,-0.019530142031113584,0.36764705882352944,0.03039834715153389,29,True,-0.019530142031113584,-0.0010850078906174214,-0.0018323403187353038,14,1,68,-0.0070150074729372625,-0.0004676671648624842,-0.001601406447428122,11,1,64,-0.029080694240260607,-0.002423391186688384,-0.0018410066010400294,10,1,47
FXI,combined_previous_close,15,60,high_opening_volume,5.0,64,-0.03208245122205022,0.3125,0.03947713412215481,38,True,-0.03208245122205022,-0.0017823584012250124,-0.0018269511632793,13,0,64,-0.010334067278913617,-0.0006889378185942411,-0.0016802965560970273,10,0,55,-0.03665161150473817,-0.003054300958728181,-0.0018269511632793,10,0,38
FXI,combined_previous_close,30,60,high_opening_volume,5.0,60,-0.030732321861508205,0.31666666666666665,0.04259561973696191,38,True,-0.030732321861508205,-0.0017073512145282337,-0.0018269511632793,13,0,60,-0.011550922298815491,-0.0007700614865876994,-0.0016802965560970273,10,0,52,-0.03555647668982731,-0.0029630397241522757,-0.0018269511632793,10,0,34
FXI,open_session,30,60,high_opening_volatility,5.0,63,-0.027429852613624073,0.38095238095238093,0.03751136874315997,35,True,-0.027429852613624073,-0.0015238807007568929,-0.0007387228485969954,10,2,63,-0.012559342793223793,-0.0008372895195482529,0.0,7,2,58,-0.030141090852589203,-0.0025117575710491002,-0.0006372587966168575,6,2,43
FXI,open_session,15,60,high_opening_volatility,5.0,61,-0.027952319570395123,0.3770491803278688,0.034027549073429975,29,True,-0.027952319570395123,-0.001552906642799729,-0.0016145464394543563,11,2,61,-0.01486879265772112,-0.0009912528438480747,-0.001274517593233715,9,1,57,-0.03224267962832372,-0.0026868899690269767,-0.0016145464394543563,8,1,42
EFA,open_session,30,60,high_opening_volatility,5.0,67,-0.02806421513927626,0.3582089552238806,0.04770853029521949,35,True,-0.02806421513927626,-0.0015591230632931257,-0.000670754615766489,10,3,67,-0.01736982652486374,-0.001157988434990916,-0.0005464576664629961,8,3,58,-0.039787636000778726,-0.0033156363333982273,-0.0010551125147639229,8,3,46
FXI,open_session,30,60,high_opening_volume,5.0,65,-0.02508868859633151,0.36923076923076925,0.03893002197101891,29,True,-0.02508868859633151,-0.0013938160331295284,-0.0017658651426362137,12,1,65,-0.0185205191089306,-0.0012347012739287067,-0.001131984695264432,9,1,62,-0.03346897163508766,-0.0027890809695906385,-0.0017431094966907645,8,1,42
VWO,open_session,15,60,high_opening_volume,5.0,60,-0.033079273831353895,0.18333333333333332,0.04325670393150305,59,True,-0.033079273831353895,-0.0018377374350752164,-0.0019254881658749556,15,0,60,-0.018828642925775463,-0.0012552428617183641,-0.0013322170344008955,12,0,50,-0.02197170645321256,-0.0018309755377677133,-0.0011525769370422378,10,0,40
FXI,combined_previous_close,15,60,high_opening_volatility,5.0,54,-0.03716265693408416,0.35185185185185186,0.04200406089766995,24,True,-0.03716265693408416,-0.0020645920518935646,-0.0008671976857231312,11,2,54,-0.01886775985109912,-0.0012578506567399413,-0.0004539613477382298,9,2,46,-0.03320218234264427,-0.0027668485285536892,-0.0015779572167028966,8,2,31
