variant,block,net_pnl,mean_exposure
fixed_1_slip2,block_1,0.644084935238315,1.0
fixed_1_slip2,block_2,0.35301643122638243,1.0
fixed_1_slip2,block_3,0.14887880155261243,1.0
fixed_1_slip5,block_1,0.6230849352383149,1.0
fixed_1_slip5,block_2,0.3356164312263824,1.0
fixed_1_slip5,block_3,0.12247880155261237,1.0
fixed_1_slip10,block_1,0.5880849352383148,1.0
fixed_1_slip10,block_2,0.3066164312263824,1.0
fixed_1_slip10,block_3,0.07847880155261233,1.0
high_volume_only_slip2,block_1,0.3447029261541296,0.5428571428571428
high_volume_only_slip2,block_2,0.19127423743828964,0.6896551724137931
high_volume_only_slip2,block_3,0.48176489415734786,0.6590909090909091
high_volume_only_slip5,block_1,0.3333029261541296,0.5428571428571428
high_volume_only_slip5,block_2,0.17927423743828963,0.6896551724137931
high_volume_only_slip5,block_3,0.46436489415734783,0.6590909090909091
high_volume_only_slip10,block_1,0.3143029261541296,0.5428571428571428
high_volume_only_slip10,block_2,0.1592742374382896,0.6896551724137931
high_volume_only_slip10,block_3,0.4353648941573478,0.6590909090909091
low_volume_025_slip2,block_1,0.4195484284251759,0.6571428571428571
low_volume_025_slip2,block_2,0.23170978588531282,0.7672413793103449
low_volume_025_slip2,block_3,0.398543371006164,0.7443181818181818
low_volume_025_slip5,block_1,0.4057484284251759,0.6571428571428571
low_volume_025_slip5,block_2,0.21835978588531282,0.7672413793103449
low_volume_025_slip5,block_3,0.37889337100616394,0.7443181818181818
low_volume_025_slip10,block_1,0.3827484284251759,0.6571428571428571
low_volume_025_slip10,block_2,0.1961097858853128,0.7672413793103449
low_volume_025_slip10,block_3,0.34614337100616394,0.7443181818181818
low_volume_050_slip2,block_1,0.4943939306962223,0.7714285714285715
low_volume_050_slip2,block_2,0.27214533433233606,0.8448275862068966
low_volume_050_slip2,block_3,0.3153218478549802,0.8295454545454546
low_volume_050_slip5,block_1,0.47819393069622224,0.7714285714285715
low_volume_050_slip5,block_2,0.257445334332336,0.8448275862068966
low_volume_050_slip5,block_3,0.2934218478549801,0.8295454545454546
low_volume_050_slip10,block_1,0.4511939306962222,0.7714285714285715
low_volume_050_slip10,block_2,0.232945334332336,0.8448275862068966
low_volume_050_slip10,block_3,0.25692184785498007,0.8295454545454546
soxs_050_slip2,block_1,0.4396542782545299,0.7
soxs_050_slip2,block_2,0.31233516041733783,0.6724137931034483
soxs_050_slip2,block_3,0.24558972688408176,0.7386363636363636
soxs_050_slip5,block_1,0.4249542782545298,0.7
soxs_050_slip5,block_2,0.30063516041733773,0.6724137931034483
soxs_050_slip5,block_3,0.2260897268840817,0.7386363636363636
soxs_050_slip10,block_1,0.4004542782545298,0.7
soxs_050_slip10,block_2,0.2811351604173377,0.6724137931034483
soxs_050_slip10,block_3,0.19358972688408166,0.7386363636363636
soxs_075_slip2,block_1,0.5418696067464225,0.85
soxs_075_slip2,block_2,0.33267579582186,0.8362068965517241
soxs_075_slip2,block_3,0.1972342642183471,0.8693181818181818
soxs_075_slip5,block_1,0.5240196067464222,0.85
soxs_075_slip5,block_2,0.31812579582186,0.8362068965517241
soxs_075_slip5,block_3,0.17428426421834703,0.8693181818181818
soxs_075_slip10,block_1,0.4942696067464223,0.85
soxs_075_slip10,block_2,0.29387579582186,0.8362068965517241
soxs_075_slip10,block_3,0.13603426421834697,0.8693181818181818
low_volume_025_soxs_075_slip2,block_1,0.35682578664978537,0.5660714285714286
low_volume_025_soxs_075_slip2,block_2,0.22265716930523616,0.6422413793103449
low_volume_025_soxs_075_slip2,block_3,0.3681761064683367,0.6605113636363636
low_volume_025_soxs_075_slip5,block_1,0.34493828664978526,0.5660714285714286
low_volume_025_soxs_075_slip5,block_2,0.21148216930523608,0.6422413793103449
low_volume_025_soxs_075_slip5,block_3,0.35073860646833666,0.6605113636363636
low_volume_025_soxs_075_slip10,block_1,0.3251257866497852,0.5660714285714286
low_volume_025_soxs_075_slip10,block_2,0.19285716930523608,0.6422413793103449
low_volume_025_soxs_075_slip10,block_3,0.3216761064683366,0.6605113636363636
signal_tier_q60_050_q67_075_q80_100_slip2,block_1,0.6081964692891483,0.9071428571428571
signal_tier_q60_050_q67_075_q80_100_slip2,block_2,0.31218863854516676,0.8448275862068966
signal_tier_q60_050_q67_075_q80_100_slip2,block_3,0.06942423394397901,0.8693181818181818
signal_tier_q60_050_q67_075_q80_100_slip5,block_1,0.5891464692891482,0.9071428571428571
signal_tier_q60_050_q67_075_q80_100_slip5,block_2,0.2974886385451667,0.8448275862068966
signal_tier_q60_050_q67_075_q80_100_slip5,block_3,0.0464742339439789,0.8693181818181818
signal_tier_q60_050_q67_075_q80_100_slip10,block_1,0.5573964692891483,0.9071428571428571
signal_tier_q60_050_q67_075_q80_100_slip10,block_2,0.2729886385451667,0.8448275862068966
signal_tier_q60_050_q67_075_q80_100_slip10,block_3,0.008224233943978893,0.8693181818181818
