latency_ms,entry_ttl_s,queue_model,exit_ttl_s,commission_per_share_side,forced_slippage_bp,orders,fills,portfolio_fills,fill_rate,passive_exit_rate,forced_exit_rate,stop_rate,mean_spread_edge_bps,mean_markout_5s_bps,mean_net_trade_bps,net_fixed_base_return,positive_day_fraction,max_drawdown,worst_day
500,1,conservative,15,0.004,2,1035,23,23,0.022222222222222223,0.21739130434782608,0.782608695652174,0.21739130434782608,0.18815360678141088,-0.0884338927631182,-2.2716696591136634,-0.0002612420107980713,0.16666666666666666,0.00041325741597731183,-0.00013103081811297558
500,1,conservative,5,0.004,2,1035,23,23,0.022222222222222223,0.13043478260869565,0.8695652173913043,0.21739130434782608,0.18815360678141088,-0.0884338927631182,-2.4498856916365535,-0.00028173685453820375,0.16666666666666666,0.00043375187300118964,-0.0001239705223223057
500,1,conservative,30,0.004,2,1035,23,23,0.022222222222222223,0.2608695652173913,0.7391304347826086,0.21739130434782608,0.18815360678141088,-0.0884338927631182,-2.686219236981519,-0.0003089152122528746,0.16666666666666666,0.0004609297178887507,-0.00013103081811297558
500,1,adversarial,15,0.004,2,1035,74,74,0.07149758454106281,0.36486486486486486,0.6351351351351351,0.10810810810810811,1.091209426543614,-0.16107095239719094,-1.0530282726358746,-0.0003896204608752738,0.3333333333333333,0.0006162814317989625,-0.00014001195018844217
500,1,adversarial,30,0.004,2,1035,74,74,0.07149758454106281,0.36486486486486486,0.6351351351351351,0.10810810810810811,1.091209426543614,-0.16107095239719094,-1.0530282726358746,-0.0003896204608752738,0.3333333333333333,0.0006162814317989625,-0.00014001195018844217
500,2,conservative,15,0.004,2,1035,40,40,0.03864734299516908,0.225,0.775,0.15,0.13782078314919355,0.07410579044469326,-2.4464135265205726,-0.0004892827053041145,0.25,0.0007184799088256657,-0.00019600064271564594
500,1,base,15,0.004,2,1035,30,30,0.028985507246376812,0.26666666666666666,0.7333333333333333,0.23333333333333334,0.5363645269380196,-0.31275596884466356,-3.527197376013832,-0.0005290796064020748,0.08333333333333333,0.0006003673091714573,-0.0002632143620127011
500,1,base,30,0.004,2,1035,30,30,0.028985507246376812,0.26666666666666666,0.7333333333333333,0.23333333333333334,0.5363645269380196,-0.31275596884466356,-3.527197376013832,-0.0005290796064020748,0.08333333333333333,0.0006003673091714573,-0.0002632143620127011
500,2,conservative,30,0.004,2,1035,40,40,0.03864734299516908,0.275,0.725,0.15,0.13782078314919355,0.07410579044469326,-2.6828443446028354,-0.0005365688689205671,0.25,0.0007657599792686334,-0.00019600064271564594
500,2,conservative,5,0.004,2,1035,40,40,0.03864734299516908,0.15,0.85,0.15,0.13782078314919355,0.07410579044469326,-2.8127542123190925,-0.0005625508424638185,0.25,0.0007389721116528871,-0.00018894034692497607
