config,dimension,key,trades,net_fixed_base_return
l500_e1_adversarial_x15,symbol,JPM,1,-4.0480937210980276e-05
l500_e1_adversarial_x15,symbol,LLY,1,-6.579827195769071e-05
l500_e1_adversarial_x15,symbol,META,3,2.19309865033011e-05
l500_e1_adversarial_x15,symbol,MSFT,4,-9.74783253972813e-06
l500_e1_adversarial_x15,symbol,MU,1,0.00014997225010331792
l500_e1_adversarial_x15,symbol,NVDA,10,-0.00025263513500847144
l500_e1_adversarial_x15,symbol,PLTR,6,-7.124251794095288e-05
l500_e1_adversarial_x15,symbol,TSLA,5,0.0003219321847337113
l500_e1_adversarial_x15,symbol,UBER,2,-2.7720045570572868e-05
l500_e1_adversarial_x15,symbol,UNH,1,3.305947432162279e-05
l500_e1_adversarial_x15,symbol,WFC,2,2.3211988157114344e-05
l500_e1_adversarial_x15,symbol,WMT,5,5.935982073005603e-06
l500_e1_adversarial_x15,symbol,XOM,4,-8.955394718438488e-05
l500_e1_adversarial_x15,side,short,37,-0.0004034418716490206
l500_e1_adversarial_x15,side,buy,37,1.3821410773746942e-05
l500_e1_adversarial_x30,symbol,AAPL,2,-2.1613924364322845e-05
l500_e1_adversarial_x30,symbol,AMD,2,-7.060326708811897e-05
l500_e1_adversarial_x30,symbol,AMZN,5,-1.362151701872641e-05
l500_e1_adversarial_x30,symbol,AVGO,6,0.00013283934417088916
l500_e1_adversarial_x30,symbol,BAC,5,-0.00029087895154192387
l500_e1_adversarial_x30,symbol,CVX,3,-6.959278586092915e-06
l500_e1_adversarial_x30,symbol,DIS,1,-8.98113207546658e-06
l500_e1_adversarial_x30,symbol,GOOGL,4,-0.00013206076598310876
l500_e1_adversarial_x30,symbol,JNJ,1,2.3394853132305726e-05
l500_e1_adversarial_x30,symbol,JPM,1,-4.0480937210980276e-05
l500_e1_adversarial_x30,symbol,LLY,1,-6.579827195769071e-05
l500_e1_adversarial_x30,symbol,META,3,2.19309865033011e-05
l500_e1_adversarial_x30,symbol,MSFT,4,-9.74783253972813e-06
l500_e1_adversarial_x30,symbol,MU,1,0.00014997225010331792
l500_e1_adversarial_x30,symbol,NVDA,10,-0.00025263513500847144
l500_e1_adversarial_x30,symbol,PLTR,6,-7.124251794095288e-05
l500_e1_adversarial_x30,symbol,TSLA,5,0.0003219321847337113
l500_e1_adversarial_x30,symbol,UBER,2,-2.7720045570572868e-05
l500_e1_adversarial_x30,symbol,UNH,1,3.305947432162279e-05
l500_e1_adversarial_x30,symbol,WFC,2,2.3211988157114344e-05
l500_e1_adversarial_x30,symbol,WMT,5,5.935982073005603e-06
l500_e1_adversarial_x30,symbol,XOM,4,-8.955394718438488e-05
l500_e1_adversarial_x30,side,short,37,-0.0004034418716490206
l500_e1_adversarial_x30,side,buy,37,1.3821410773746942e-05
l500_e2_conservative_x15,symbol,AAPL,1,-3.105242642759172e-05
l500_e2_conservative_x15,symbol,AMD,1,6.144015728739635e-07
l500_e2_conservative_x15,symbol,AMZN,3,2.4277753710584923e-05
l500_e2_conservative_x15,symbol,BAC,1,-0.00010194293798631665
l500_e2_conservative_x15,symbol,DIS,2,-9.045079423188477e-05
l500_e2_conservative_x15,symbol,GOOGL,3,-0.00011155963313432087
l500_e2_conservative_x15,symbol,JPM,1,-4.219333401843343e-05
l500_e2_conservative_x15,symbol,META,1,-0.00010620902548009472
l500_e2_conservative_x15,symbol,MU,1,0.00014997225010331792
l500_e2_conservative_x15,symbol,NVDA,9,-0.00014254667435367735
l500_e2_conservative_x15,symbol,PLTR,6,0.0001399744530685066
l500_e2_conservative_x15,symbol,TSLA,2,1.2795950902885326e-06
l500_e2_conservative_x15,symbol,UBER,1,-9.511795755682859e-05
l500_e2_conservative_x15,symbol,WFC,3,-0.00010237338352848729
l500_e2_conservative_x15,symbol,WMT,1,1.1265067027177627e-06
l500_e2_conservative_x15,symbol,XOM,4,1.6918501165231212e-05
l500_e2_conservative_x15,side,short,17,-0.00042624956273510734
l500_e2_conservative_x15,side,buy,23,-6.303314256900718e-05
l500_e1_base_x15,symbol,AMD,2,-8.98973774685537e-05
l500_e1_base_x15,symbol,AMZN,1,2.1327507833535404e-05
l500_e1_base_x15,symbol,BAC,1,1.3422818791941857e-05
l500_e1_base_x15,symbol,CVX,1,3.730415319575427e-06
l500_e1_base_x15,symbol,GOOGL,3,-0.00011155963313432087
l500_e1_base_x15,symbol,META,1,-0.00010620902548009472
l500_e1_base_x15,symbol,MU,1,0.00014997225010331792
l500_e1_base_x15,symbol,NVDA,6,-0.00021227600375732405
l500_e1_base_x15,symbol,PLTR,4,-6.0008611815805184e-05
l500_e1_base_x15,symbol,TSLA,1,6.198596424381278e-06
l500_e1_base_x15,symbol,UBER,2,-0.00019551606386196906
l500_e1_base_x15,symbol,WFC,2,2.3211988157114344e-05
l500_e1_base_x15,symbol,WMT,1,2.491382223724435e-05
l500_e1_base_x15,symbol,XOM,4,3.6097102488823155e-06
l500_e1_base_x15,side,short,15,-0.0005025545450756734
l500_e1_base_x15,side,buy,15,-2.652506132640135e-05
l500_e1_base_x30,symbol,AMD,2,-8.98973774685537e-05
l500_e1_base_x30,symbol,AMZN,1,2.1327507833535404e-05
l500_e1_base_x30,symbol,BAC,1,1.3422818791941857e-05
l500_e1_base_x30,symbol,CVX,1,3.730415319575427e-06
l500_e1_base_x30,symbol,GOOGL,3,-0.00011155963313432087
l500_e1_base_x30,symbol,META,1,-0.00010620902548009472
l500_e1_base_x30,symbol,MU,1,0.00014997225010331792
l500_e1_base_x30,symbol,NVDA,6,-0.00021227600375732405
l500_e1_base_x30,symbol,PLTR,4,-6.0008611815805184e-05
l500_e1_base_x30,symbol,TSLA,1,6.198596424381278e-06
l500_e1_base_x30,symbol,UBER,2,-0.00019551606386196906
l500_e1_base_x30,symbol,WFC,2,2.3211988157114344e-05
l500_e1_base_x30,symbol,WMT,1,2.491382223724435e-05
l500_e1_base_x30,symbol,XOM,4,3.6097102488823155e-06
l500_e1_base_x30,side,short,15,-0.0005025545450756734
l500_e1_base_x30,side,buy,15,-2.652506132640135e-05
l500_e2_conservative_x30,symbol,AAPL,1,-3.105242642759172e-05
l500_e2_conservative_x30,symbol,AMD,1,6.144015728739635e-07
l500_e2_conservative_x30,symbol,AMZN,3,2.4664791548935568e-05
l500_e2_conservative_x30,symbol,BAC,1,-0.00010194293798631665
l500_e2_conservative_x30,symbol,DIS,2,-9.045079423188477e-05
l500_e2_conservative_x30,symbol,GOOGL,3,-0.00011155963313432087
l500_e2_conservative_x30,symbol,JPM,1,-4.219333401843343e-05
l500_e2_conservative_x30,symbol,META,1,-0.00010620902548009472
l500_e2_conservative_x30,symbol,MU,1,0.00014997225010331792
l500_e2_conservative_x30,symbol,NVDA,9,-0.00014254667435367735
l500_e2_conservative_x30,symbol,PLTR,6,0.0001399744530685066
l500_e2_conservative_x30,symbol,TSLA,2,1.2795950902885326e-06
l500_e2_conservative_x30,symbol,UBER,1,-9.511795755682859e-05
l500_e2_conservative_x30,symbol,WFC,3,-0.00010237338352848729
l500_e2_conservative_x30,symbol,WMT,1,1.1265067027177627e-06
l500_e2_conservative_x30,symbol,XOM,4,-3.0754700289572076e-05
l500_e2_conservative_x30,side,short,17,-0.0004739227641899106
l500_e2_conservative_x30,side,buy,23,-6.264610473065654e-05
l500_e2_conservative_x5,symbol,AAPL,1,-3.105242642759172e-05
l500_e2_conservative_x5,symbol,AMD,1,6.144015728739635e-07
l500_e2_conservative_x5,symbol,AMZN,3,2.4277753710584923e-05
l500_e2_conservative_x5,symbol,BAC,1,-0.00010194293798631665
l500_e2_conservative_x5,symbol,DIS,2,-9.045079423188477e-05
l500_e2_conservative_x5,symbol,GOOGL,3,-0.00011155963313432087
l500_e2_conservative_x5,symbol,JPM,1,-4.219333401843343e-05
l500_e2_conservative_x5,symbol,META,1,-0.00010620902548009472
l500_e2_conservative_x5,symbol,MU,1,0.00014997225010331792
l500_e2_conservative_x5,symbol,NVDA,9,-0.00022287510730405123
l500_e2_conservative_x5,symbol,PLTR,6,0.00014703474885917648
l500_e2_conservative_x5,symbol,TSLA,2,1.2795950902885326e-06
l500_e2_conservative_x5,symbol,UBER,1,-9.511795755682859e-05
l500_e2_conservative_x5,symbol,WFC,3,-0.00010237338352848729
l500_e2_conservative_x5,symbol,WMT,1,1.1265067027177627e-06
l500_e2_conservative_x5,symbol,XOM,4,1.6918501165231212e-05
l500_e2_conservative_x5,side,short,17,-0.0005065779956854811
l500_e2_conservative_x5,side,buy,23,-5.597284677833731e-05
