symbol,session,window,signal_ts,status,entry_partial_shares,entry_ns,exit_ns,side,entry_price,exit_price_raw,exit_type,spread_edge_bps,markout_5s_bps,portfolio_accepted,exit_price,gross_return,net_return,fixed_base_pnl,config
XOM,2024-12-04,morning,2024-12-04 15:00:10+00:00,filled,,1.733324410657557e+18,1.733324470657557e+18,1.0,116.46,116.35,max_hold,1.2878300064391988,0.0,True,116.32673,-0.0009445303108363338,-0.0012130345182895072,-6.0651725914475366e-05,l500_e1_conservative_x15
NVDA,2024-12-04,morning,2024-12-04 15:01:54.200000+00:00,filled,,1.7333245151260047e+18,1.7333245751260047e+18,1.0,140.72,140.98,max_hold,-0.7106815436016862,-0.7106815435996664,True,140.95180399999998,0.0018476407049459274,0.0015904206935757714,7.952103467878858e-05,l500_e1_conservative_x15
NVDA,2025-01-08,morning,2025-01-08 15:00:49.800000+00:00,filled,,1.7363484505500383e+18,1.7363484901437353e+18,-1.0,143.32,143.54,stop,0.34888183372260073,0.34888183372260073,True,143.568708,-0.0015350265140943265,-0.0017911526653641746,-8.955763326820874e-05,l500_e1_conservative_x15
GOOGL,2025-03-05,morning,2025-03-05 15:00:26.800000+00:00,filled,,1.741186827930062e+18,1.7411868639080986e+18,1.0,170.89,170.62,stop,1.1702065414551654,-4.095722895092247,True,170.585876,-0.0015799637193515234,-0.0018264614664402436,-9.132307332201218e-05,l500_e1_conservative_x15
XOM,2025-03-05,midday,2025-03-05 18:00:05+00:00,filled,,1.7411976059416164e+18,1.7411976659416164e+18,1.0,104.51,104.6,max_hold,0.4784002296316751,-0.4784002296330348,True,104.57907999999999,0.000861161611328956,0.0005844416802218484,2.922208401109242e-05,l500_e1_conservative_x15
PLTR,2025-03-05,midday,2025-03-05 18:00:16.800000+00:00,filled,,1.7411976174366474e+18,1.7411976774366474e+18,-1.0,88.16,88.06,max_hold,2.26911731336465,6.240072611754801,True,88.077612,0.0011343012704173585,0.000843784029038051,4.2189201451902555e-05,l500_e1_conservative_x15
META,2025-04-02,morning,2025-04-02 14:00:08+00:00,filled,,1.7436024088096753e+18,1.743602420749743e+18,-1.0,586.34,587.46,stop,1.449881024469495,-4.0084945970612385,True,587.577492,-0.0019101545178565413,-0.0021241805096018944,-0.00010620902548009472,l500_e1_conservative_x15
WMT,2025-04-02,morning,2025-04-02 14:01:08.300000+00:00,filled,,1.7436024692109568e+18,1.7436024709467387e+18,1.0,88.77,88.78,passive,1.6008623087982428e-12,3.942773459501699,True,88.78,0.00011265067027154575,2.2530134054355252e-05,1.1265067027177627e-06,l500_e1_conservative_x15
PLTR,2025-04-02,midday,2025-04-02 17:00:05.500000+00:00,filled,,1.74361320639703e+18,1.7436132217608212e+18,1.0,87.9,87.91,passive,0.0,-6.257110352674268,True,87.91,0.00011376564277577821,2.2753128555072868e-05,1.1376564277536435e-06,l500_e1_conservative_x15
NVDA,2025-04-02,midday,2025-04-02 17:01:32.200000+00:00,filled,,1.7436132936009052e+18,1.7436133536009052e+18,-1.0,111.22,111.25,max_hold,-0.4495392222967366,-2.697235333782975,True,111.27225,-0.00026973565905413717,-0.0005417191152670454,-2.7085955763352273e-05,l500_e1_conservative_x15
