symbol,session,window,signal_ts,status,entry_partial_shares,entry_ns,exit_ns,side,entry_price,exit_price_raw,exit_type,spread_edge_bps,markout_5s_bps,portfolio_accepted,exit_price,gross_return,net_return,fixed_base_pnl,config
PLTR,2025-06-04,morning,2025-06-04 14:01:31.400000+00:00,filled,,1.749045692077932e+18,1.7490457341218332e+18,1.0,128.11,127.91,stop,-0.3903048280703682,-6.244877249134765,True,127.884418,-0.001561158379517735,-0.0018232924830225354,-9.116462415112678e-05,l500_e1_conservative_x15
NVDA,2025-07-02,morning,2025-07-02 14:01:22.700000+00:00,filled,,1.7514648837028785e+18,1.7514649437028785e+18,-1.0,154.74,154.88,max_hold,-0.32311221687262615,3.2311221687299345,True,154.910976,-0.0009047434406099674,-0.0011566240144758693,-5.7831200723793465e-05,l500_e1_conservative_x15
GOOGL,2025-07-02,midday,2025-07-02 17:00:05.300000+00:00,filled,,1.7514756066829056e+18,1.7514756666829056e+18,1.0,178.01,177.98,max_hold,-0.5617977528084778,0.8426966292127167,True,177.944404,-0.00016852985787315958,-0.0004134374473344156,-2.067187236672078e-05,l500_e1_conservative_x15
XOM,2025-09-03,morning,2025-09-03 14:00:05.300000+00:00,filled,,1.7569080067947392e+18,1.7569080667947392e+18,-1.0,112.73,112.58,max_hold,-0.4435179846538744,-0.0,True,112.602516,0.001330612969041122,0.0010599130666194422,5.299565333097211e-05,l500_e1_conservative_x15
WFC,2025-09-03,morning,2025-09-03 14:00:07.400000+00:00,filled,,1.7569080080824284e+18,1.7569080680824284e+18,-1.0,81.49,81.43,max_hold,-1.7438771278932387e-12,4.908577739602462,True,81.446286,0.0007362866609398462,0.00043826236348011116,2.191311817400556e-05,l500_e1_conservative_x15
AMZN,2025-09-03,morning,2025-09-03 14:01:05.800000+00:00,filled,,1.7569080668519355e+18,1.7569081268519355e+18,1.0,226.59,226.74,max_hold,0.0,-2.2066287126520563,True,226.69465200000002,0.0006619886137958678,0.000426550156670708,2.1327507833535404e-05,l500_e1_conservative_x15
AMD,2025-09-03,morning,2025-09-03 14:01:08.700000+00:00,filled,,1.7569080693075418e+18,1.756908070483279e+18,1.0,162.76,162.77,passive,-0.30721022395597386,7.373045374950358,True,162.77,6.14401572869214e-05,1.2288031457479269e-05,6.144015728739635e-07,l500_e1_conservative_x15
UBER,2025-09-03,morning,2025-09-03 14:01:41.600000+00:00,filled,,1.7569081023147722e+18,1.7569081170066368e+18,-1.0,92.83,92.98,stop,2.1549402004090097,-3.77114535071615,True,92.998596,-0.0016158569427987255,-0.0019023591511365717,-9.511795755682859e-05,l500_e1_conservative_x15
GOOGL,2025-09-03,midday,2025-09-03 17:00:05.100000+00:00,filled,,1.7569188059310533e+18,1.7569188087623022e+18,1.0,229.72,229.73,passive,0.0,0.870625108828584,True,229.73,4.353125544136734e-05,8.706251088241793e-06,4.353125544120897e-07,l500_e1_conservative_x15
NVDA,2025-09-03,midday,2025-09-03 17:00:07.600000+00:00,filled,,1.7569188085687186e+18,1.7569188184347584e+18,-1.0,170.93,170.94,passive,-0.5850005850000529,-2.047502047501848,True,170.94,-5.850348095706374e-05,-0.0001053062657227573,-5.265313286137865e-06,l500_e1_conservative_x15
XOM,2025-10-01,morning,2025-10-01 14:01:06.100000+00:00,filled,,1.7593272673108385e+18,1.7593273273108385e+18,1.0,112.06,112.08,max_hold,-0.44620945071576035,2.23104725358007,True,112.057584,0.0001784758165268251,-9.295020524715905e-05,-4.647510262357953e-06,l500_e1_conservative_x15
MU,2025-10-01,morning,2025-10-01 14:01:29+00:00,filled,,1.7593272897195156e+18,1.7593273497195156e+18,1.0,169.37,169.92,max_hold,-0.8857134421768684,-0.5904756281195905,True,169.88601599999998,0.0032473283344156756,0.0029994450020663583,0.00014997225010331792,l500_e1_conservative_x15
PLTR,2025-10-01,midday,2025-10-01 17:00:43+00:00,filled,,1.7593380439590464e+18,1.7593381039590464e+18,-1.0,184.26,184.26,max_hold,0.27136305663322313,1.0854522265328925,True,184.29685199999997,-0.0,-0.00024341691088669218,-1.2170845544334609e-05,l500_e1_conservative_x15
XOM,2024-12-04,morning,2024-12-04 15:00:10+00:00,filled,,1.733324410657557e+18,1.733324470657557e+18,1.0,116.46,116.35,max_hold,1.2878300064391988,0.0,True,116.32673,-0.0009445303108363338,-0.0012130345182895072,-6.0651725914475366e-05,l500_e1_conservative_x5
NVDA,2024-12-04,morning,2024-12-04 15:01:54.200000+00:00,filled,,1.7333245151260047e+18,1.7333245751260047e+18,1.0,140.72,140.98,max_hold,-0.7106815436016862,-0.7106815435996664,True,140.95180399999998,0.0018476407049459274,0.0015904206935757714,7.952103467878858e-05,l500_e1_conservative_x5
NVDA,2025-01-08,morning,2025-01-08 15:00:49.800000+00:00,filled,,1.7363484505500383e+18,1.7363484901437353e+18,-1.0,143.32,143.54,stop,0.34888183372260073,0.34888183372260073,True,143.568708,-0.0015350265140943265,-0.0017911526653641746,-8.955763326820874e-05,l500_e1_conservative_x5
GOOGL,2025-03-05,morning,2025-03-05 15:00:26.800000+00:00,filled,,1.741186827930062e+18,1.7411868639080986e+18,1.0,170.89,170.62,stop,1.1702065414551654,-4.095722895092247,True,170.585876,-0.0015799637193515234,-0.0018264614664402436,-9.132307332201218e-05,l500_e1_conservative_x5
XOM,2025-03-05,midday,2025-03-05 18:00:05+00:00,filled,,1.7411976059416164e+18,1.7411976659416164e+18,1.0,104.51,104.6,max_hold,0.4784002296316751,-0.4784002296330348,True,104.57907999999999,0.000861161611328956,0.0005844416802218484,2.922208401109242e-05,l500_e1_conservative_x5
PLTR,2025-03-05,midday,2025-03-05 18:00:16.800000+00:00,filled,,1.7411976174366474e+18,1.7411976774366474e+18,-1.0,88.16,88.06,max_hold,2.26911731336465,6.240072611754801,True,88.077612,0.0011343012704173585,0.000843784029038051,4.2189201451902555e-05,l500_e1_conservative_x5
META,2025-04-02,morning,2025-04-02 14:00:08+00:00,filled,,1.7436024088096753e+18,1.743602420749743e+18,-1.0,586.34,587.46,stop,1.449881024469495,-4.0084945970612385,True,587.577492,-0.0019101545178565413,-0.0021241805096018944,-0.00010620902548009472,l500_e1_conservative_x5
WMT,2025-04-02,morning,2025-04-02 14:01:08.300000+00:00,filled,,1.7436024692109568e+18,1.7436024709467387e+18,1.0,88.77,88.78,passive,1.6008623087982428e-12,3.942773459501699,True,88.78,0.00011265067027154575,2.2530134054355252e-05,1.1265067027177627e-06,l500_e1_conservative_x5
PLTR,2025-04-02,midday,2025-04-02 17:00:05.500000+00:00,filled,,1.74361320639703e+18,1.74361326639703e+18,1.0,87.9,87.94,max_hold,0.0,-6.257110352674268,True,87.922412,0.0004550625711034362,0.00016395904436847044,8.197952218423523e-06,l500_e1_conservative_x5
NVDA,2025-04-02,midday,2025-04-02 17:01:32.200000+00:00,filled,,1.7436132936009052e+18,1.7436133536009052e+18,-1.0,111.22,111.25,max_hold,-0.4495392222967366,-2.697235333782975,True,111.27225,-0.00026973565905413717,-0.0005417191152670454,-2.7085955763352273e-05,l500_e1_conservative_x5
PLTR,2025-06-04,morning,2025-06-04 14:01:31.400000+00:00,filled,,1.749045692077932e+18,1.7490457341218332e+18,1.0,128.11,127.91,stop,-0.3903048280703682,-6.244877249134765,True,127.884418,-0.001561158379517735,-0.0018232924830225354,-9.116462415112678e-05,l500_e1_conservative_x5
NVDA,2025-07-02,morning,2025-07-02 14:01:22.700000+00:00,filled,,1.7514648837028785e+18,1.7514649437028785e+18,-1.0,154.74,154.88,max_hold,-0.32311221687262615,3.2311221687299345,True,154.910976,-0.0009047434406099674,-0.0011566240144758693,-5.7831200723793465e-05,l500_e1_conservative_x5
GOOGL,2025-07-02,midday,2025-07-02 17:00:05.300000+00:00,filled,,1.7514756066829056e+18,1.7514756666829056e+18,1.0,178.01,177.98,max_hold,-0.5617977528084778,0.8426966292127167,True,177.944404,-0.00016852985787315958,-0.0004134374473344156,-2.067187236672078e-05,l500_e1_conservative_x5
XOM,2025-09-03,morning,2025-09-03 14:00:05.300000+00:00,filled,,1.7569080067947392e+18,1.7569080667947392e+18,-1.0,112.73,112.58,max_hold,-0.4435179846538744,-0.0,True,112.602516,0.001330612969041122,0.0010599130666194422,5.299565333097211e-05,l500_e1_conservative_x5
WFC,2025-09-03,morning,2025-09-03 14:00:07.400000+00:00,filled,,1.7569080080824284e+18,1.7569080680824284e+18,-1.0,81.49,81.43,max_hold,-1.7438771278932387e-12,4.908577739602462,True,81.446286,0.0007362866609398462,0.00043826236348011116,2.191311817400556e-05,l500_e1_conservative_x5
AMZN,2025-09-03,morning,2025-09-03 14:01:05.800000+00:00,filled,,1.7569080668519355e+18,1.7569081268519355e+18,1.0,226.59,226.74,max_hold,0.0,-2.2066287126520563,True,226.69465200000002,0.0006619886137958678,0.000426550156670708,2.1327507833535404e-05,l500_e1_conservative_x5
AMD,2025-09-03,morning,2025-09-03 14:01:08.700000+00:00,filled,,1.7569080693075418e+18,1.756908070483279e+18,1.0,162.76,162.77,passive,-0.30721022395597386,7.373045374950358,True,162.77,6.14401572869214e-05,1.2288031457479269e-05,6.144015728739635e-07,l500_e1_conservative_x5
UBER,2025-09-03,morning,2025-09-03 14:01:41.600000+00:00,filled,,1.7569081023147722e+18,1.7569081170066368e+18,-1.0,92.83,92.98,stop,2.1549402004090097,-3.77114535071615,True,92.998596,-0.0016158569427987255,-0.0019023591511365717,-9.511795755682859e-05,l500_e1_conservative_x5
GOOGL,2025-09-03,midday,2025-09-03 17:00:05.100000+00:00,filled,,1.7569188059310533e+18,1.7569188087623022e+18,1.0,229.72,229.73,passive,0.0,0.870625108828584,True,229.73,4.353125544136734e-05,8.706251088241793e-06,4.353125544120897e-07,l500_e1_conservative_x5
NVDA,2025-09-03,midday,2025-09-03 17:00:07.600000+00:00,filled,,1.7569188085687186e+18,1.7569188685687186e+18,-1.0,170.93,171.0,max_hold,-0.5850005850000529,-2.047502047501848,True,171.0342,-0.0004095243666997787,-0.0006564090563388032,-3.282045281694016e-05,l500_e1_conservative_x5
XOM,2025-10-01,morning,2025-10-01 14:01:06.100000+00:00,filled,,1.7593272673108385e+18,1.7593273273108385e+18,1.0,112.06,112.08,max_hold,-0.44620945071576035,2.23104725358007,True,112.057584,0.0001784758165268251,-9.295020524715905e-05,-4.647510262357953e-06,l500_e1_conservative_x5
MU,2025-10-01,morning,2025-10-01 14:01:29+00:00,filled,,1.7593272897195156e+18,1.7593273497195156e+18,1.0,169.37,169.92,max_hold,-0.8857134421768684,-0.5904756281195905,True,169.88601599999998,0.0032473283344156756,0.0029994450020663583,0.00014997225010331792,l500_e1_conservative_x5
PLTR,2025-10-01,midday,2025-10-01 17:00:43+00:00,filled,,1.7593380439590464e+18,1.7593381039590464e+18,-1.0,184.26,184.26,max_hold,0.27136305663322313,1.0854522265328925,True,184.29685199999997,-0.0,-0.00024341691088669218,-1.2170845544334609e-05,l500_e1_conservative_x5
XOM,2024-12-04,morning,2024-12-04 15:00:10+00:00,filled,,1.733324410657557e+18,1.733324470657557e+18,1.0,116.46,116.35,max_hold,1.2878300064391988,0.0,True,116.32673,-0.0009445303108363338,-0.0012130345182895072,-6.0651725914475366e-05,l500_e1_conservative_x30
NVDA,2024-12-04,morning,2024-12-04 15:01:54.200000+00:00,filled,,1.7333245151260047e+18,1.7333245751260047e+18,1.0,140.72,140.98,max_hold,-0.7106815436016862,-0.7106815435996664,True,140.95180399999998,0.0018476407049459274,0.0015904206935757714,7.952103467878858e-05,l500_e1_conservative_x30
NVDA,2025-01-08,morning,2025-01-08 15:00:49.800000+00:00,filled,,1.7363484505500383e+18,1.7363484901437353e+18,-1.0,143.32,143.54,stop,0.34888183372260073,0.34888183372260073,True,143.568708,-0.0015350265140943265,-0.0017911526653641746,-8.955763326820874e-05,l500_e1_conservative_x30
GOOGL,2025-03-05,morning,2025-03-05 15:00:26.800000+00:00,filled,,1.741186827930062e+18,1.7411868639080986e+18,1.0,170.89,170.62,stop,1.1702065414551654,-4.095722895092247,True,170.585876,-0.0015799637193515234,-0.0018264614664402436,-9.132307332201218e-05,l500_e1_conservative_x30
XOM,2025-03-05,midday,2025-03-05 18:00:05+00:00,filled,,1.7411976059416164e+18,1.7411976659416164e+18,1.0,104.51,104.6,max_hold,0.4784002296316751,-0.4784002296330348,True,104.57907999999999,0.000861161611328956,0.0005844416802218484,2.922208401109242e-05,l500_e1_conservative_x30
PLTR,2025-03-05,midday,2025-03-05 18:00:16.800000+00:00,filled,,1.7411976174366474e+18,1.7411976774366474e+18,-1.0,88.16,88.06,max_hold,2.26911731336465,6.240072611754801,True,88.077612,0.0011343012704173585,0.000843784029038051,4.2189201451902555e-05,l500_e1_conservative_x30
META,2025-04-02,morning,2025-04-02 14:00:08+00:00,filled,,1.7436024088096753e+18,1.743602420749743e+18,-1.0,586.34,587.46,stop,1.449881024469495,-4.0084945970612385,True,587.577492,-0.0019101545178565413,-0.0021241805096018944,-0.00010620902548009472,l500_e1_conservative_x30
WMT,2025-04-02,morning,2025-04-02 14:01:08.300000+00:00,filled,,1.7436024692109568e+18,1.7436024709467387e+18,1.0,88.77,88.78,passive,1.6008623087982428e-12,3.942773459501699,True,88.78,0.00011265067027154575,2.2530134054355252e-05,1.1265067027177627e-06,l500_e1_conservative_x30
PLTR,2025-04-02,midday,2025-04-02 17:00:05.500000+00:00,filled,,1.74361320639703e+18,1.7436132217608212e+18,1.0,87.9,87.91,passive,0.0,-6.257110352674268,True,87.91,0.00011376564277577821,2.2753128555072868e-05,1.1376564277536435e-06,l500_e1_conservative_x30
NVDA,2025-04-02,midday,2025-04-02 17:01:32.200000+00:00,filled,,1.7436132936009052e+18,1.7436133536009052e+18,-1.0,111.22,111.25,max_hold,-0.4495392222967366,-2.697235333782975,True,111.27225,-0.00026973565905413717,-0.0005417191152670454,-2.7085955763352273e-05,l500_e1_conservative_x30
PLTR,2025-06-04,morning,2025-06-04 14:01:31.400000+00:00,filled,,1.749045692077932e+18,1.7490457341218332e+18,1.0,128.11,127.91,stop,-0.3903048280703682,-6.244877249134765,True,127.884418,-0.001561158379517735,-0.0018232924830225354,-9.116462415112678e-05,l500_e1_conservative_x30
NVDA,2025-07-02,morning,2025-07-02 14:01:22.700000+00:00,filled,,1.7514648837028785e+18,1.7514649437028785e+18,-1.0,154.74,154.88,max_hold,-0.32311221687262615,3.2311221687299345,True,154.910976,-0.0009047434406099674,-0.0011566240144758693,-5.7831200723793465e-05,l500_e1_conservative_x30
GOOGL,2025-07-02,midday,2025-07-02 17:00:05.300000+00:00,filled,,1.7514756066829056e+18,1.7514756666829056e+18,1.0,178.01,177.98,max_hold,-0.5617977528084778,0.8426966292127167,True,177.944404,-0.00016852985787315958,-0.0004134374473344156,-2.067187236672078e-05,l500_e1_conservative_x30
XOM,2025-09-03,morning,2025-09-03 14:00:05.300000+00:00,filled,,1.7569080067947392e+18,1.7569080252040412e+18,-1.0,112.73,112.71,passive,-0.4435179846538744,-0.0,True,112.71,0.0001774150625389003,0.00010644903752337648,5.3224518761688245e-06,l500_e1_conservative_x30
WFC,2025-09-03,morning,2025-09-03 14:00:07.400000+00:00,filled,,1.7569080080824284e+18,1.7569080680824284e+18,-1.0,81.49,81.43,max_hold,-1.7438771278932387e-12,4.908577739602462,True,81.446286,0.0007362866609398462,0.00043826236348011116,2.191311817400556e-05,l500_e1_conservative_x30
AMZN,2025-09-03,morning,2025-09-03 14:01:05.800000+00:00,filled,,1.7569080668519355e+18,1.7569081268519355e+18,1.0,226.59,226.74,max_hold,0.0,-2.2066287126520563,True,226.69465200000002,0.0006619886137958678,0.000426550156670708,2.1327507833535404e-05,l500_e1_conservative_x30
AMD,2025-09-03,morning,2025-09-03 14:01:08.700000+00:00,filled,,1.7569080693075418e+18,1.756908070483279e+18,1.0,162.76,162.77,passive,-0.30721022395597386,7.373045374950358,True,162.77,6.14401572869214e-05,1.2288031457479269e-05,6.144015728739635e-07,l500_e1_conservative_x30
UBER,2025-09-03,morning,2025-09-03 14:01:41.600000+00:00,filled,,1.7569081023147722e+18,1.7569081170066368e+18,-1.0,92.83,92.98,stop,2.1549402004090097,-3.77114535071615,True,92.998596,-0.0016158569427987255,-0.0019023591511365717,-9.511795755682859e-05,l500_e1_conservative_x30
GOOGL,2025-09-03,midday,2025-09-03 17:00:05.100000+00:00,filled,,1.7569188059310533e+18,1.7569188087623022e+18,1.0,229.72,229.73,passive,0.0,0.870625108828584,True,229.73,4.353125544136734e-05,8.706251088241793e-06,4.353125544120897e-07,l500_e1_conservative_x30
NVDA,2025-09-03,midday,2025-09-03 17:00:07.600000+00:00,filled,,1.7569188085687186e+18,1.7569188184347584e+18,-1.0,170.93,170.94,passive,-0.5850005850000529,-2.047502047501848,True,170.94,-5.850348095706374e-05,-0.0001053062657227573,-5.265313286137865e-06,l500_e1_conservative_x30
XOM,2025-10-01,morning,2025-10-01 14:01:06.100000+00:00,filled,,1.7593272673108385e+18,1.7593273273108385e+18,1.0,112.06,112.08,max_hold,-0.44620945071576035,2.23104725358007,True,112.057584,0.0001784758165268251,-9.295020524715905e-05,-4.647510262357953e-06,l500_e1_conservative_x30
MU,2025-10-01,morning,2025-10-01 14:01:29+00:00,filled,,1.7593272897195156e+18,1.7593273497195156e+18,1.0,169.37,169.92,max_hold,-0.8857134421768684,-0.5904756281195905,True,169.88601599999998,0.0032473283344156756,0.0029994450020663583,0.00014997225010331792,l500_e1_conservative_x30
PLTR,2025-10-01,midday,2025-10-01 17:00:43+00:00,filled,,1.7593380439590464e+18,1.7593381039590464e+18,-1.0,184.26,184.26,max_hold,0.27136305663322313,1.0854522265328925,True,184.29685199999997,-0.0,-0.00024341691088669218,-1.2170845544334609e-05,l500_e1_conservative_x30
XOM,2024-12-04,morning,2024-12-04 15:00:10+00:00,filled,,1.7333244106580442e+18,1.7333244706580442e+18,1.0,116.46,116.35,max_hold,-0.429350392855219,1.7174015714220963,True,116.32673,-0.0009445303108363338,-0.0012130345182895072,-6.0651725914475366e-05,l500_e1_adversarial_x15
CVX,2024-12-04,morning,2024-12-04 15:00:10.300000+00:00,filled,,1.7333244111533996e+18,1.7333244137629885e+18,1.0,160.84,160.86,passive,0.6216972334485126,-1.7669698122725524e-12,True,160.86,0.00012434717731913848,7.460830639150853e-05,3.730415319575427e-06,l500_e1_adversarial_x15
NVDA,2024-12-04,morning,2024-12-04 15:01:54.200000+00:00,filled,,1.733324514902301e+18,1.7333245154352596e+18,1.0,140.72,140.72,passive,-0.7106815436016862,0.0,True,140.72,0.0,-5.685048322910745e-05,-2.8425241614553727e-06,l500_e1_adversarial_x15
AVGO,2024-12-04,midday,2024-12-04 18:01:21.800000+00:00,filled,,1.7333352831127764e+18,1.7333352882630246e+18,1.0,169.19,169.26,passive,2.068252326783666,0.2954646181117124,True,169.26,0.0004137360364087309,0.0003664519179620142,1.8322595898100712e-05,l500_e1_adversarial_x15
AMZN,2024-12-04,midday,2024-12-04 18:01:53.100000+00:00,filled,,1.733335314584602e+18,1.7333353227653972e+18,-1.0,217.8,217.75,passive,1.607237159324272,-0.0,True,217.75,0.00022956841138664538,0.00019283746556479045,9.641873278239523e-06,l500_e1_adversarial_x15
MSFT,2025-01-08,morning,2025-01-08 15:00:10.100000+00:00,filled,,1.7363484109769147e+18,1.7363484222818916e+18,-1.0,425.67,425.5,passive,1.99725084295686,-1.762280155548992,True,425.5,0.0003993704043038408,0.0003805765029248383,1.9028825146241917e-05,l500_e1_adversarial_x15
NVDA,2025-01-08,morning,2025-01-08 15:00:49.800000+00:00,filled,,1.7363484506157023e+18,1.7363484901437353e+18,-1.0,143.32,143.54,stop,-0.34885749171431735,1.046572475142952,True,143.568708,-0.0015350265140943265,-0.0017911526653641746,-8.955763326820874e-05,l500_e1_adversarial_x15
WMT,2025-01-08,midday,2025-01-08 18:00:06.900000+00:00,filled,,1.7363592078048975e+18,1.7363592678048975e+18,-1.0,91.26,91.34,max_hold,0.5479151827307724,-1.0958303654599875,True,91.358268,-0.0008766162612316271,-0.0011644532106069498,-5.822266053034749e-05,l500_e1_adversarial_x15
NVDA,2025-01-08,midday,2025-01-08 18:01:08.400000+00:00,filled,,1.736359269214901e+18,1.7363592708514194e+18,-1.0,139.58,139.56,passive,0.7164863509363996,-0.7164863509343631,True,139.56,0.0001432870038688224,8.597220232132275e-05,4.298610116066138e-06,l500_e1_adversarial_x15
BAC,2025-03-05,morning,2025-03-05 15:00:16.700000+00:00,filled,,1.7411868179510013e+18,1.7411868616887785e+18,1.0,42.41,42.34,stop,7.068803016022889,-11.781338360037031,True,42.331532,-0.0016505541145954536,-0.002038858759726333,-0.00010194293798631665,l500_e1_adversarial_x15
GOOGL,2025-03-05,morning,2025-03-05 15:00:26.800000+00:00,filled,,1.741186827929876e+18,1.7411868639080986e+18,1.0,170.89,170.62,stop,1.1702065414551654,-4.095722895092247,True,170.585876,-0.0015799637193515234,-0.0018264614664402436,-9.132307332201218e-05,l500_e1_adversarial_x15
UBER,2025-03-05,morning,2025-03-05 15:01:41.900000+00:00,filled,,1.741186902838304e+18,1.741186910629277e+18,-1.0,75.67,75.56,passive,7.273689082852953,0.6612444620789081,True,75.56,0.0014536804546055164,0.0013479582397251146,6.739791198625573e-05,l500_e1_adversarial_x15
PLTR,2025-03-05,midday,2025-03-05 18:00:16.800000+00:00,filled,,1.741197617829141e+18,1.741197677829141e+18,-1.0,88.16,88.06,max_hold,1.1344299489496203,7.373794668180594,True,88.077612,0.0011343012704173585,0.000843784029038051,4.2189201451902555e-05,l500_e1_adversarial_x15
AMZN,2025-03-05,midday,2025-03-05 18:00:26.400000+00:00,filled,,1.7411976269483564e+18,1.7411976869483564e+18,1.0,208.04,208.0,max_hold,2.162577792728332,-1.201432107070537,True,207.9584,-0.0001922707171697368,-0.0004306864064602017,-2.1534320323010088e-05,l500_e1_adversarial_x15
META,2025-04-02,morning,2025-04-02 14:00:08+00:00,filled,,1.7436024088094275e+18,1.743602420749743e+18,-1.0,586.34,587.46,stop,1.449881024469495,-4.0084945970612385,True,587.577492,-0.0019101545178565413,-0.0021241805096018944,-0.00010620902548009472,l500_e1_adversarial_x15
WMT,2025-04-02,morning,2025-04-02 14:01:08.300000+00:00,filled,,1.7436024692109537e+18,1.7436024701265126e+18,1.0,88.77,88.78,passive,1.6008623087982428e-12,3.942773459501699,True,88.78,0.00011265067027154575,2.2530134054355252e-05,1.1265067027177627e-06,l500_e1_adversarial_x15
PLTR,2025-04-02,midday,2025-04-02 17:00:05.500000+00:00,filled,,1.7436132066738985e+18,1.7436132089076703e+18,1.0,87.9,87.91,passive,0.0,-5.688282138795377,True,87.91,0.00011376564277577821,2.2753128555072868e-05,1.1376564277536435e-06,l500_e1_adversarial_x15
DIS,2025-04-02,midday,2025-04-02 17:01:23.100000+00:00,filled,,1.743613284458765e+18,1.743613344458765e+18,1.0,98.05,98.06,max_hold,1.019783805833685,-2.03956761166737,True,98.04038800000001,0.00010198878123411643,-0.0001796226415093316,-8.98113207546658e-06,l500_e1_adversarial_x15
NVDA,2025-04-02,midday,2025-04-02 17:01:32.200000+00:00,filled,,1.7436132935792223e+18,1.7436133535792223e+18,-1.0,111.22,111.25,max_hold,-0.4495392222967366,-2.697235333782975,True,111.27225,-0.00026973565905413717,-0.0005417191152670454,-2.7085955763352273e-05,l500_e1_adversarial_x15
WFC,2025-06-04,morning,2025-06-04 14:00:08.700000+00:00,filled,,1.74904560924092e+18,1.7490456097999235e+18,-1.0,76.99,76.98,passive,-0.649392817716691,0.6493928177148455,True,76.98,0.00012988699831135089,2.5977399662175654e-05,1.2988699831087828e-06,l500_e1_adversarial_x15
JNJ,2025-06-04,morning,2025-06-04 14:00:11.500000+00:00,filled,,1.7490456129422735e+18,1.7490456149134162e+18,-1.0,153.88,153.8,passive,3.5754916300995823,-0.9751340809370895,True,153.8,0.0005198856251623609,0.0004678970626461145,2.3394853132305726e-05,l500_e1_adversarial_x15
BAC,2025-06-04,morning,2025-06-04 14:01:07.200000+00:00,filled,,1.749045667887405e+18,1.7490457153197302e+18,-1.0,44.72,44.79,stop,1.1181930001108022,-6.709158000671169,True,44.798958,-0.001565295169946339,-0.001944499105545619,-9.722495527728096e-05,l500_e1_adversarial_x15
GOOGL,2025-06-04,morning,2025-06-04 14:01:25.600000+00:00,filled,,1.7490456868358257e+18,1.7490457468358257e+18,1.0,167.21,167.26,max_hold,-1.6997613438433115e-12,4.186352490881025,True,167.226548,0.0002990251779198789,5.1121344417201296e-05,2.556067220860065e-06,l500_e1_adversarial_x15
