date,net_pnl
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.0
2022-01,0.0
2022-02,0.0
2022-03,0.0
2022-04,0.0
2022-05,0.0
2022-06,-0.10790394703526626
2022-07,0.05269886371880881
2022-08,-0.0055256438074380975
2022-09,-0.05311053516497681
2022-10,0.11677747227070732
2022-11,0.03008852678399342
2022-12,-0.05056691687138467
2023-01,0.02363862661262101
2023-02,-0.03839114925668914
2023-03,-0.004997487729796059
2023-04,-0.005852008546003354
2023-05,-0.03923717865818197
2023-06,0.07126640368013691
2023-07,0.022672756412105224
2023-08,0.005334370337472165
2023-09,-0.0647383947630771
2023-10,-0.04484061563225074
2023-11,0.10309029061365857
2023-12,0.05353446758841623
2024-01,0.042067455990723014
2024-02,0.06304411547475999
2024-03,0.0458256077320918
2024-04,-0.056583179037561146
2024-05,0.06585859216232275
2024-06,-0.038618441979862514
2024-07,-0.04550623417324192
2024-08,0.019663795484485453
2024-09,-0.010719814622216085
2024-10,-0.011258063533784403
2024-11,0.11571913234268094
2024-12,-0.07452816073856597
2025-01,0.04567867209773818
2025-02,-0.0027029876026716596
2025-03,-0.06873766124011228
2025-04,-0.0024964707737260526
2025-05,0.07120538331922799
2025-06,0.04104909256043728
2025-07,0.022806551910879845
2025-08,-0.0011923477097671893
2025-09,0.04805987613620415
2025-10,0.032828293214511854
2025-11,-0.0061205764645220016
2025-12,0.055276926298558654
2026-01,0.09045321714464455
2026-02,0.05254586277070147
2026-03,-0.04979085764111582
2026-04,0.14909128177957875
