variant,extra_bps,year,net_pnl
pct_le_0.1,10,2020,0.14731221097531366
pct_le_0.1,10,2021,0.05974693734965153
pct_le_0.1,10,2022,0.11178310488548604
pct_le_0.1,10,2023,0.021622098718286464
pct_le_0.1,10,2024,0.018564086898611554
pct_le_0.1,10,2025,0.17017551584202517
pct_le_0.1,10,2026,0.2669451142422359
pct_le_0.2,-1,2020,0.3119742516028484
pct_le_0.2,-1,2021,0.3187306269098077
pct_le_0.2,-1,2022,0.24416365525715655
pct_le_0.2,-1,2023,0.14259778355798147
pct_le_0.2,-1,2024,0.3639553752972834
pct_le_0.2,-1,2025,0.4294379784337643
pct_le_0.2,-1,2026,0.4766949714343336
pct_le_0.2,0,2020,0.29811324285340435
pct_le_0.2,0,2021,0.2986688869584222
pct_le_0.2,0,2022,0.22291694719691357
pct_le_0.2,0,2023,0.12457106667295947
pct_le_0.2,0,2024,0.34208477128262826
pct_le_0.2,0,2025,0.4117538592499982
pct_le_0.2,0,2026,0.47080022191499915
pct_le_0.2,1,2020,0.28425500602851683
pct_le_0.2,1,2021,0.27861115895383537
pct_le_0.2,1,2022,0.2016744880533914
pct_le_0.2,1,2023,0.10654795477081558
pct_le_0.2,1,2024,0.32021854095140834
pct_le_0.2,1,2025,0.39407327653642155
pct_le_0.2,1,2026,0.4649066512276855
pct_le_0.2,2,2020,0.2703995402967777
pct_le_0.2,2,2021,0.258557441692697
pct_le_0.2,2,2022,0.18043627655216865
pct_le_0.2,2,2023,0.08852844677027571
pct_le_0.2,2,2024,0.29835668299177853
pct_le_0.2,2,2025,0.37639622923230387
pct_le_0.2,2,2026,0.4590142590188132
pct_le_0.2,5,2020,0.22884976135130897
pct_le_0.2,5,2021,0.1984203423437828
pct_le_0.2,5,2022,0.1167471151657441
pct_le_0.2,5,2023,0.03449153537194616
pct_le_0.2,5,2024,0.23279733023188343
pct_le_0.2,5,2025,0.32338628917579526
pct_le_0.2,5,2026,0.44134414972917957
pct_le_0.2,10,2020,0.15965547413642256
pct_le_0.2,10,2021,0.09827194612534973
pct_le_0.2,10,2022,0.010683346902826019
pct_le_0.2,10,2023,-0.055498006387317056
pct_le_0.2,10,2024,0.12361906744391327
pct_le_0.2,10,2025,0.23510699839236426
pct_le_0.2,10,2026,0.41191750418889783
pct_le_0.3,-1,2020,0.5784594040262893
pct_le_0.3,-1,2021,0.4911913188501482
pct_le_0.3,-1,2022,0.20606859616077888
pct_le_0.3,-1,2023,0.21959888853798215
pct_le_0.3,-1,2024,0.47597129959237094
pct_le_0.3,-1,2025,0.4260579000010589
pct_le_0.3,-1,2026,0.6508228326334206
pct_le_0.3,0,2020,0.5581457435115381
pct_le_0.3,0,2021,0.46589561015724956
pct_le_0.3,0,2022,0.1776302262785382
pct_le_0.3,0,2023,0.19375755289384067
pct_le_0.3,0,2024,0.4468790145609597
pct_le_0.3,0,2025,0.4001752766833936
pct_le_0.3,0,2026,0.6424935010000582
pct_le_0.3,1,2020,0.5378361453226567
pct_le_0.3,1,2021,0.44060496010022887
pct_le_0.3,1,2022,0.14919754350156367
pct_le_0.3,1,2023,0.1679213850000536
pct_le_0.3,1,2024,0.41779254740476723
pct_le_0.3,1,2025,0.3742978293727909
pct_le_0.3,1,2026,0.6341658350664523
pct_le_0.3,2,2020,0.5175306082411929
pct_le_0.3,2,2021,0.4153193671617914
pct_le_0.3,2,2022,0.12077054612406501
pct_le_0.3,2,2023,0.14209038330660706
pct_le_0.3,2,2024,0.3887118963787778
pct_le_0.3,2,2025,0.34842555651675766
pct_le_0.3,2,2026,0.6258398343329933
pct_le_0.3,5,2020,0.45663835146406195
pct_le_0.3,5,2021,0.33949291589423825
pct_le_0.3,5,2022,0.03552364934074437
pct_le_0.3,5,2023,0.06462835993743932
pct_le_0.3,5,2024,0.3015048226423741
pct_le_0.3,5,2025,0.270839769160486
pct_le_0.3,5,2026,0.6008718183403914
pct_le_0.3,10,2020,0.3552323654026355
pct_le_0.3,10,2021,0.21321649804905718
pct_le_0.3,10,2022,-0.10644096298473904
pct_le_0.3,10,2023,-0.06437183282621317
pct_le_0.3,10,2024,0.15627585968672708
pct_le_0.3,10,2025,0.1416334679387845
pct_le_0.3,10,2026,0.5592917157832784
pct_le_0.4,-1,2020,0.6214907303520074
pct_le_0.4,-1,2021,0.27971188526852
pct_le_0.4,-1,2022,0.14379819009649497
pct_le_0.4,-1,2023,0.2799873269384946
pct_le_0.4,-1,2024,0.3117975749294768
pct_le_0.4,-1,2025,0.23661628821983038
pct_le_0.4,-1,2026,0.7785926239785497
pct_le_0.4,0,2020,0.5961689643825372
pct_le_0.4,0,2021,0.2452593881411821
pct_le_0.4,0,2022,0.11077273300418922
pct_le_0.4,0,2023,0.24693463474232946
pct_le_0.4,0,2024,0.2769387013018575
pct_le_0.4,0,2025,0.2029723293580764
pct_le_0.4,0,2026,0.7680379609200609
pct_le_0.4,1,2020,0.5708522622598764
pct_le_0.4,1,2021,0.21081378082429192
pct_le_0.4,1,2022,0.07775388034285835
pct_le_0.4,1,2023,0.21388855242361615
pct_le_0.4,1,2024,0.24208679875185635
pct_le_0.4,1,2025,0.16933509861528118
pct_le_0.4,1,2026,0.7574854085831118
pct_le_0.4,2,2020,0.5455406224651743
pct_le_0.4,2,2021,0.17637506125131164
pct_le_0.4,2,2022,0.04474163013156973
pct_le_0.4,2,2023,0.18084907799978955
pct_le_0.4,2,2024,0.20724186518856647
pct_le_0.4,2,2025,0.1357045939734154
pct_le_0.4,2,2026,0.7469349663346121
pct_le_0.4,5,2020,0.46963606186942597
pct_le_0.4,5,2021,0.07310020834295916
pct_le_0.4,5,2022,-0.05425552559949531
pct_le_0.4,5,2023,0.08177028228383465
pct_le_0.4,5,2024,0.1027488575224651
pct_le_0.4,5,2025,0.03485341648517304
pct_le_0.4,5,2026,0.7152962937927095
pct_le_0.4,10,2020,0.34322956585231656
pct_le_0.4,10,2021,-0.09888698426267639
pct_le_0.4,10,2022,-0.21911892080798834
pct_le_0.4,10,2023,-0.08322907082157316
pct_le_0.4,10,2024,-0.07126697042899721
pct_le_0.4,10,2025,-0.13309754542583885
pct_le_0.4,10,2026,0.6626073156435021
