variant,extra_bps,net_return,maximum_drawdown,worst_month,positive_months,negative_months,active_sessions,active_fraction,green_days,red_days,recent12_return,recent12_positive_months,recent12_negative_months,early_return,late_return,worst_year,top5_positive_trade_share
z_le_-0.5,-1,2.4717485675151543,0.12534897851505966,-0.21596944182035016,52,21,674,0.44342105263157894,383,291,0.8052773226550494,11,1,0.9627817791663429,1.5089667883488116,0.13366221669125267,0.07076238691352614
z_le_-0.5,0,2.33646774588383,0.13109174749697072,-0.2175260922669412,52,21,672,0.4421052631578947,374,298,0.7845183430884772,11,1,0.8875967413143029,1.448871004569527,0.11023782668691662,0.0713839984985163
z_le_-0.5,1,2.2012139777114856,0.13730012629122634,-0.21908243141457295,52,21,674,0.44342105263157894,373,301,0.7637635149026806,11,1,0.8124267389662835,1.3887872387452025,0.0868181210921406,0.07200518480505465
z_le_-0.5,2,2.0659872548837064,0.14490463082904537,-0.2206384593566163,51,22,674,0.44342105263157894,369,305,0.743012836852492,11,1,0.737271767612536,1.3287154872711706,0.06340309850188541,0.07263588458615593
z_le_-0.5,5,1.6604692773722762,0.17475422889450298,-0.22530467688236588,48,25,674,0.44342105263157894,361,313,0.6807856910714079,10,2,0.5118969944464641,1.1485722829258123,-0.0068138852837725805,0.07457768394973613
z_le_-0.5,10,0.9851461320060111,0.24990574526316622,-0.23307549068398947,43,30,674,0.44342105263157894,348,326,0.5771566680773217,10,2,0.13657257200102957,0.8485735600049815,-0.12374866247728089,0.07795027782136656
z_le_-0.75,-1,2.0932512167373503,0.12730468396199157,-0.23368678139115628,50,23,485,0.3190789473684211,285,200,0.6352340184667107,11,1,0.8366625393476659,1.2565886773896846,0.15868203842603568,0.09039602342904286
z_le_-0.75,0,1.9958423073849498,0.13191861752339495,-0.23503990872214475,50,23,483,0.31776315789473686,277,206,0.6215083442304424,11,1,0.7821006630274343,1.2137416443575155,0.14105206501569356,0.09114113312134423
z_le_-0.75,1,1.8984528778664362,0.136821298062617,-0.2363927654547271,49,24,485,0.3190789473684211,276,209,0.6077854148545357,11,1,0.7275496979913387,1.1709031798750975,0.1234256172474697,0.09188027020202988
z_le_-0.75,2,1.801082922339026,0.14204070646005007,-0.23774535167006638,48,25,485,0.3190789473684211,274,211,0.5940652295156955,11,1,0.6730096409666481,1.1280732813723777,0.10580269406388132,0.0926301377351839
z_le_-0.75,5,1.509089841310655,0.16012363647541794,-0.2418014880237711,47,26,485,0.3190789473684211,271,214,0.5529211294935881,11,1,0.5094548852533223,0.9996349560573328,0.05295506145246898,0.09495515605743587
z_le_-0.75,10,1.0228236414361778,0.20221934406823827,-0.24855631250092103,42,31,485,0.3190789473684211,262,223,0.4844024334527657,10,2,0.23708148088355185,0.7857421605526258,-0.03505393311619642,0.09901150463123655
z_le_-1,-1,1.4198245621777954,0.1661325630988234,-0.23368678139115628,45,27,350,0.23026315789473684,204,146,0.5501208906201979,10,2,0.5905991059406501,0.8292254562371453,0.11598959835419065,0.12009605487966281
z_le_-1,0,1.3495476249590892,0.17436049595889214,-0.23503990872214475,45,27,349,0.22960526315789473,199,150,0.5402118573454018,10,2,0.5516848775423057,0.7978627474167836,0.10376762263209438,0.12102545343929112
z_le_-1,1,1.2792847417224287,0.18301590211954655,-0.2363927654547271,44,28,350,0.23026315789473684,198,152,0.5303048056791003,10,2,0.5127784312114337,0.7665063105109949,0.0915480910607277,0.12194925559178053
z_le_-1,2,1.209035908252463,0.19213298340550977,-0.23774535167006638,44,28,350,0.23026315789473684,196,154,0.5203997350269294,10,2,0.4738797646138847,0.7351561436385785,0.07933100290698891,0.12288325740951742
z_le_-1,5,0.9983736643144897,0.22265578518483853,-0.2418014880237711,43,29,350,0.23026315789473684,194,156,0.4906964032151272,9,3,0.3572304198936075,0.6411432444208822,0.04269439162497246,0.1257644515888369
z_le_-1,10,0.6475505268073581,0.28732476922191497,-0.24855631250092103,40,32,350,0.23026315789473684,188,162,0.4412304150729883,9,3,0.16297022244234105,0.4845803043650171,-0.018317827163368383,0.13078624968218366
z_le_-1.25,-1,1.2593753112478225,0.16459312107357438,-0.23368678139115628,44,27,267,0.1756578947368421,157,110,0.48760335467830473,11,1,0.7048843609637518,0.5544909502840706,-0.10803019408020131,0.14689944361117022
z_le_-1.25,0,1.2057288008366185,0.1689457791244361,-0.23503990872214475,43,28,267,0.1756578947368421,153,114,0.4801065836844687,11,1,0.6757462978978677,0.5299825029387509,-0.11740765029576261,0.14794880991501932
z_le_-1.25,1,1.152093018654675,0.17347759290951337,-0.2363927654547271,43,28,267,0.1756578947368421,152,115,0.4726113118949121,11,1,0.6466140618618936,0.5054789567927814,-0.12678323120761004,0.14899067253419926
