variant,participation,trades,capacity_min_usd,capacity_p10_usd,capacity_median_usd,capacity_p90_usd,fraction_supporting_2000_account,fraction_supporting_10000_account,fraction_supporting_25000_account,fraction_supporting_50000_account
combined,0.05,314,184.3,305.61,887.2,8268.97,0.27388535031847133,0.09235668789808917,0.054140127388535034,0.044585987261146494
QQQ_TQQQ_SQQQ_reversal_t40_h15_one_bar_opposite_ov0,0.05,206,229.20000000000002,339.5,923.45,6863.4,0.27184466019417475,0.07281553398058252,0.03398058252427184,0.024271844660194174
SMH_SOXL_SOXS_reversal_t50_h20_none_ov20,0.05,108,184.3,285.62,848.6500000000001,17296.24,0.2777777777777778,0.12962962962962962,0.09259259259259259,0.08333333333333333
combined,0.1,314,368.6,611.22,1774.4,16537.94,0.46496815286624205,0.14968152866242038,0.08598726114649681,0.054140127388535034
QQQ_TQQQ_SQQQ_reversal_t40_h15_one_bar_opposite_ov0,0.1,206,458.40000000000003,679.0,1846.9,13726.8,0.47572815533980584,0.11650485436893204,0.06310679611650485,0.03398058252427184
SMH_SOXL_SOXS_reversal_t50_h20_none_ov20,0.1,108,368.6,571.24,1697.3000000000002,34592.48,0.4444444444444444,0.21296296296296297,0.12962962962962962,0.09259259259259259
combined,0.25,314,921.5,1528.05,4436.0,41344.85,0.821656050955414,0.27388535031847133,0.14968152866242038,0.09235668789808917
QQQ_TQQQ_SQQQ_reversal_t40_h15_one_bar_opposite_ov0,0.25,206,1146.0,1697.5,4617.25,34317.0,0.8495145631067961,0.27184466019417475,0.11650485436893204,0.07281553398058252
SMH_SOXL_SOXS_reversal_t50_h20_none_ov20,0.25,108,921.5,1428.1000000000001,4243.25,86481.2,0.7685185185185185,0.2777777777777778,0.21296296296296297,0.12962962962962962
combined,1.0,314,3686.0,6112.2,17744.0,165379.4,1.0,0.7356687898089171,0.37898089171974525,0.2356687898089172
QQQ_TQQQ_SQQQ_reversal_t40_h15_one_bar_opposite_ov0,1.0,206,4584.0,6790.0,18469.0,137268.0,1.0,0.7378640776699029,0.3640776699029126,0.23300970873786409
SMH_SOXL_SOXS_reversal_t50_h20_none_ov20,1.0,108,3686.0,5712.400000000001,16973.0,345924.8,1.0,0.7314814814814815,0.4074074074074074,0.24074074074074073
