variant,threshold,additional_slippage_bps_per_side,total_net_simple_return,average_month_18m,median_month_18m,negative_months_18m,positive_months_18m,zero_months_18m,standard_max_drawdown,max_recovery_days,recovery_unresolved,trade_count,win_rate,mean_event_return,median_event_return,worst_event_return
q50_nbbo_slip2,q50,2,1.0862210729613548,0.060345615164519716,0.021302266171558847,7,11,0,0.24076601623453375,11,False,134,0.5671641791044776,0.008106127410159363,0.005868785726378678,-0.17599523809523815
q50_nbbo_slip5,q50,5,1.0058210729613546,0.055878948497853034,0.017746362212956612,7,11,0,0.2538456123371418,11,False,134,0.5671641791044776,0.007506127410159363,0.005268785726378678,-0.17659523809523814
q50_nbbo_slip10,q50,10,0.8718210729613545,0.04843450405340858,0.012746362212956611,7,11,0,0.27571271164103683,13,False,134,0.5671641791044776,0.006506127410159362,0.004268785726378678,-0.17759523809523814
q60_nbbo_slip2,q60,2,1.1168905656596144,0.06204947586997858,0.018580552790948567,7,11,0,0.19576470831393708,7,False,108,0.5648148148148148,0.010341579311663095,0.0070693230483968705,-0.17599523809523815
q60_nbbo_slip5,q60,5,1.0520905656596142,0.05844947586997857,0.014980552790948565,7,11,0,0.20704656278075123,11,False,108,0.5648148148148148,0.009741579311663097,0.006469323048396869,-0.17659523809523814
q60_nbbo_slip10,q60,10,0.9440905656596141,0.05244947586997858,0.010839100418246931,7,11,0,0.22590811095261898,11,False,108,0.5648148148148148,0.008741579311663094,0.00546932304839687,-0.17759523809523814
