symbol,entry_date,exit_date,weight,entry_fill,exit_fill,entry_bar_volume,exit_bar_volume,entry_bar_trade_count,exit_bar_trade_count,scenario
TQQQ,2025-05-02,2025-05-16,0.5,29.324933535251553,35.55997620713785,822660,802109,3701,3767,bar_open_0m
SOXL,2025-05-02,2025-05-16,0.5,12.89,18.55,4009240,2011042,9612,6825,bar_open_0m
SOXL,2025-05-16,2025-06-02,0.5,18.55,16.06,2011042,1231483,6825,3133,bar_open_0m
TQQQ,2025-05-16,2025-06-02,0.5,35.55997620713785,34.604831727412375,802109,682791,3767,4165,bar_open_0m
TQQQ,2025-06-02,2025-06-16,1.0,34.604831727412375,37.11,682791,1024891,4165,5005,bar_open_0m
SOXL,2025-06-16,2025-07-01,1.0,20.83,24.375,1603624,1544047,4310,3888,bar_open_0m
SOXL,2025-07-01,2025-07-16,0.5,24.375,26.6,1544047,1554214,3888,6235,bar_open_0m
TQQQ,2025-07-01,2025-07-16,0.5,41.06007541105205,42.53499941224874,540305,652998,3001,3065,bar_open_0m
SOXL,2025-07-16,2025-07-30,0.5,26.6,27.75,1554214,1135447,6235,3801,bar_open_0m
TQQQ,2025-07-16,2025-07-30,0.5,42.53499941224874,44.870002229903,652998,546543,3065,2859,bar_open_0m
TQQQ,2025-07-30,2025-08-13,0.5,44.870002229903,48.025,546543,743406,2859,4339,bar_open_0m
SOXL,2025-07-30,2025-08-13,0.5,27.75,28.65,1135447,1391030,3801,4698,bar_open_0m
SOXL,2025-08-13,2025-08-27,0.5,28.65,27.61,1391030,934460,4698,4433,bar_open_0m
TQQQ,2025-08-13,2025-08-27,0.5,48.025,45.07,743406,528214,4339,2988,bar_open_0m
SOXL,2025-08-27,2025-09-11,0.5,27.61,29.055,934460,2373392,4433,9598,bar_open_0m
TQQQ,2025-08-27,2025-09-11,0.5,45.07,47.5999801192843,528214,810876,2988,4465,bar_open_0m
SOXL,2025-09-11,2025-09-25,0.5,29.055,32.44,2373392,1226731,9598,8207,bar_open_0m
TQQQ,2025-09-11,2025-09-25,0.5,47.5999801192843,49.70496751624189,810876,1398222,4465,6605,bar_open_0m
SOXL,2025-09-25,2025-10-09,0.5,32.44,42.58,1226731,943382,8207,4831,bar_open_0m
TQQQ,2025-09-25,2025-10-09,0.5,49.70496751624189,54.445019824804056,1398222,398812,6605,2646,bar_open_0m
SOXL,2025-10-09,2025-10-23,0.5,42.58,37.69,943382,998121,4831,5938,bar_open_0m
TQQQ,2025-10-09,2025-10-23,0.5,54.445019824804056,52.135,398812,472869,2646,3441,bar_open_0m
TQQQ,2025-10-23,2025-11-06,1.0,52.135,56.19025633829171,472869,827346,3441,5778,bar_open_0m
TQQQ,2025-11-12,2025-11-26,1.0,56.77008874943971,52.91,874785,1273952,4343,5660,bar_open_0m
SOXL,2025-12-09,2025-12-23,0.5,47.04,42.615,1000002,1017018,5548,4459,bar_open_0m
TQQQ,2025-12-09,2025-12-23,0.5,55.45,53.97,943978,1031155,3317,3984,bar_open_0m
SOXL,2025-12-23,2026-01-08,0.5,42.615,51.79,1017018,964478,4459,5098,bar_open_0m
TQQQ,2025-12-23,2026-01-08,0.5,53.97,54.87,1031155,1186491,3984,4828,bar_open_0m
SOXL,2026-01-14,2026-01-29,0.5,54.89,70.39,1191882,905708,9458,6856,bar_open_0m
TQQQ,2026-01-14,2026-01-29,0.5,54.56,56.95,1445422,952279,5762,5075,bar_open_0m
SOXL,2026-01-29,2026-02-12,0.5,70.39,69.67,905708,1156919,6856,9935,bar_open_0m
TQQQ,2026-01-29,2026-02-12,0.5,56.95,51.8,952279,799070,5075,4188,bar_open_0m
SOXL,2026-04-14,2026-04-28,0.5,83.27,108.75,1379809,1417881,12870,15054,bar_open_0m
TQQQ,2026-04-14,2026-04-28,0.5,51.39,60.71,1704488,1936439,5957,10603,bar_open_0m
TQQQ,2025-05-02,2025-05-16,0.5,29.319932693925626,35.4049545136459,673243,312679,3623,2151,bar_open_1m
