symbol,entry_date,exit_date,weight,entry_fill,exit_fill,entry_bar_volume,exit_bar_volume,entry_bar_trade_count,exit_bar_trade_count,scenario
SOXL,2025-05-02,2025-05-16,0.5,13.07,18.295,2238436,1158091,6366,6610,bar_open_1m
SOXL,2025-05-16,2025-06-02,0.5,18.295,16.1783,1158091,967680,6610,2838,bar_open_1m
TQQQ,2025-05-16,2025-06-02,0.5,35.4049545136459,34.81486105292557,312679,441575,2151,2986,bar_open_1m
TQQQ,2025-06-02,2025-06-16,1.0,34.81486105292557,37.355,441575,697159,2986,3836,bar_open_1m
SOXL,2025-06-16,2025-07-01,1.0,20.9789,24.48,1755245,1059378,5946,3150,bar_open_1m
SOXL,2025-07-01,2025-07-16,0.5,24.48,26.4788,1059378,1022684,3150,6003,bar_open_1m
TQQQ,2025-07-01,2025-07-16,0.5,41.055074792928664,42.49749500411426,541941,453114,2383,2549,bar_open_1m
SOXL,2025-07-16,2025-07-30,0.5,26.4788,27.615,1022684,637591,6003,2994,bar_open_1m
TQQQ,2025-07-16,2025-07-30,0.5,42.49749500411426,44.76499052291225,453114,471894,2549,1961,bar_open_1m
TQQQ,2025-07-30,2025-08-13,0.5,44.76499052291225,47.94,471894,350548,1961,3255,bar_open_1m
SOXL,2025-07-30,2025-08-13,0.5,27.615,28.58,637591,652679,2994,3039,bar_open_1m
SOXL,2025-08-13,2025-08-27,0.5,28.58,27.395,652679,531024,3039,2763,bar_open_1m
TQQQ,2025-08-13,2025-08-27,0.5,47.94,45.025,350548,455160,3255,2880,bar_open_1m
SOXL,2025-08-27,2025-09-11,0.5,27.395,29.2,531024,1193490,2763,6744,bar_open_1m
TQQQ,2025-08-27,2025-09-11,0.5,45.025,47.61498168881448,455160,520290,2880,2309,bar_open_1m
SOXL,2025-09-11,2025-09-25,0.5,29.2,32.26,1193490,659325,6744,4065,bar_open_1m
TQQQ,2025-09-11,2025-09-25,0.5,47.61498168881448,49.48504553723139,520290,324578,2309,2150,bar_open_1m
SOXL,2025-09-25,2025-10-09,0.5,32.26,42.55,659325,495507,4065,2694,bar_open_1m
TQQQ,2025-09-25,2025-10-09,0.5,49.48504553723139,54.40001567542647,324578,186005,2150,1376,bar_open_1m
SOXL,2025-10-09,2025-10-23,0.5,42.55,38.09,495507,512166,2694,3567,bar_open_1m
TQQQ,2025-10-09,2025-10-23,0.5,54.40001567542647,52.18,186005,338049,1376,2590,bar_open_1m
TQQQ,2025-10-23,2025-11-06,1.0,52.18,56.04524277294416,338049,420820,2590,3419,bar_open_1m
TQQQ,2025-11-12,2025-11-26,1.0,56.49506409681757,53.0424,617118,592620,4407,2561,bar_open_1m
SOXL,2025-12-09,2025-12-23,0.5,46.9712,43.11,828018,709581,6407,4593,bar_open_1m
TQQQ,2025-12-09,2025-12-23,0.5,55.35,54.45,754081,761067,3412,3564,bar_open_1m
SOXL,2025-12-23,2026-01-08,0.5,43.11,51.47,709581,612961,4593,5819,bar_open_1m
TQQQ,2025-12-23,2026-01-08,0.5,54.45,54.69,761067,497025,3564,2573,bar_open_1m
SOXL,2026-01-14,2026-01-29,0.5,54.95,70.85,800032,570351,8084,6729,bar_open_1m
TQQQ,2026-01-14,2026-01-29,0.5,54.5,56.99,1459055,543104,5607,3617,bar_open_1m
SOXL,2026-01-29,2026-02-12,0.5,70.85,69.97,570351,614085,6729,6583,bar_open_1m
TQQQ,2026-01-29,2026-02-12,0.5,56.99,51.76,543104,369831,3617,2239,bar_open_1m
SOXL,2026-04-14,2026-04-28,0.5,83.05,107.47,517830,842415,5599,12765,bar_open_1m
TQQQ,2026-04-14,2026-04-28,0.5,51.57,60.24,650802,740730,2904,4124,bar_open_1m
TQQQ,2025-05-02,2025-05-16,0.5,29.309931011273765,35.36994961511546,645184,482856,3156,3172,bar_open_5m
SOXL,2025-05-02,2025-05-16,0.5,13.25,18.2,2125795,848005,6461,3198,bar_open_5m
SOXL,2025-05-16,2025-06-02,0.5,18.2,16.46,848005,908265,3198,2874,bar_open_5m
TQQQ,2025-05-16,2025-06-02,0.5,35.36994961511546,35.19486411115766,482856,428120,3172,2760,bar_open_5m
TQQQ,2025-06-02,2025-06-16,1.0,35.19486411115766,37.4,428120,669535,2760,4079,bar_open_5m
SOXL,2025-06-16,2025-07-01,1.0,21.07,24.62,705844,489163,2266,2434,bar_open_5m
SOXL,2025-07-01,2025-07-16,0.5,24.62,26.115,489163,963588,2434,6177,bar_open_5m
TQQQ,2025-07-01,2025-07-16,0.5,41.05007417480529,42.27496884918303,249328,443223,1892,2422,bar_open_5m
SOXL,2025-07-16,2025-07-30,0.5,26.115,27.85,963588,848863,6177,4516,bar_open_5m
TQQQ,2025-07-16,2025-07-30,0.5,42.27496884918303,44.8600011149515,443223,491201,2422,2741,bar_open_5m
TQQQ,2025-07-30,2025-08-13,0.5,44.8600011149515,48.11,491201,260740,2741,2517,bar_open_5m
SOXL,2025-07-30,2025-08-13,0.5,27.85,28.955,848863,1641599,4516,8146,bar_open_5m
SOXL,2025-08-13,2025-08-27,0.5,28.955,27.63,1641599,432376,8146,1814,bar_open_5m
TQQQ,2025-08-13,2025-08-27,0.5,48.11,45.14,260740,400964,2517,2356,bar_open_5m
SOXL,2025-08-27,2025-09-11,0.5,27.63,29.41,432376,646191,1814,3098,bar_open_5m
TQQQ,2025-08-27,2025-09-11,0.5,45.14,47.64998535105159,400964,255555,2356,1310,bar_open_5m
SOXL,2025-09-11,2025-09-25,0.5,29.41,32.18,646191,406348,3098,2897,bar_open_5m
TQQQ,2025-09-11,2025-09-25,0.5,47.64998535105159,49.33993103448277,255555,380304,1310,2525,bar_open_5m
SOXL,2025-09-25,2025-10-09,0.5,32.18,42.58,406348,467672,2897,2391,bar_open_5m
TQQQ,2025-09-25,2025-10-09,0.5,49.33993103448277,54.30250668510834,380304,205330,2525,1437,bar_open_5m
SOXL,2025-10-09,2025-10-23,0.5,42.58,38.665,467672,585229,2391,4506,bar_open_5m
TQQQ,2025-10-09,2025-10-23,0.5,54.30250668510834,52.245,205330,230640,1437,2317,bar_open_5m
TQQQ,2025-10-23,2025-11-06,1.0,52.245,56.02024043409113,230640,353871,2317,2816,bar_open_5m
TQQQ,2025-11-12,2025-11-26,1.0,56.12503092783505,53.03,502402,550244,2998,2371,bar_open_5m
SOXL,2025-12-09,2025-12-23,0.5,46.74,43.38,302859,572114,2717,3866,bar_open_5m
TQQQ,2025-12-09,2025-12-23,0.5,55.23,54.36,409170,529403,2002,1947,bar_open_5m
SOXL,2025-12-23,2026-01-08,0.5,43.38,50.73,572114,390205,3866,3748,bar_open_5m
TQQQ,2025-12-23,2026-01-08,0.5,54.36,54.36,529403,543440,1947,2630,bar_open_5m
SOXL,2026-01-14,2026-01-29,0.5,55.07,71.02,597016,388902,5960,5268,bar_open_5m
TQQQ,2026-01-14,2026-01-29,0.5,54.81,56.72,912346,753473,3485,4463,bar_open_5m
SOXL,2026-01-29,2026-02-12,0.5,71.02,70.09,388902,672039,5268,8042,bar_open_5m
TQQQ,2026-01-29,2026-02-12,0.5,56.72,51.86,753473,387968,4463,2309,bar_open_5m
SOXL,2026-04-14,2026-04-28,0.5,82.02,110.7,549263,1347488,5384,16227,bar_open_5m
TQQQ,2026-04-14,2026-04-28,0.5,51.77,60.57,845496,935933,3970,3957,bar_open_5m
TQQQ,2025-05-02,2025-05-16,0.5,29.244920074036678,35.414955913226024,254713,717983,2216,5018,bar_open_30m
SOXL,2025-05-02,2025-05-16,0.5,13.04,18.22,849797,1138115,1828,3758,bar_open_30m
SOXL,2025-05-16,2025-06-02,0.5,18.22,16.33,1138115,1211243,3758,3011,bar_open_30m
TQQQ,2025-05-16,2025-06-02,0.5,35.414955913226024,34.70984639016897,717983,1555351,5018,8167,bar_open_30m
TQQQ,2025-06-02,2025-06-16,1.0,34.70984639016897,37.785,1555351,635709,8167,3693,bar_open_30m
SOXL,2025-06-16,2025-07-01,1.0,21.465,24.45,780429,539019,2543,2050,bar_open_30m
SOXL,2025-07-01,2025-07-16,0.5,24.45,25.93,539019,550429,2050,3057,bar_open_30m
TQQQ,2025-07-01,2025-07-16,0.5,41.100080356039065,41.96493240860468,494027,249453,3048,2081,bar_open_30m
SOXL,2025-07-16,2025-07-30,0.5,25.93,27.795,550429,235477,3057,1126,bar_open_30m
TQQQ,2025-07-16,2025-07-30,0.5,41.96493240860468,44.829997770097,249453,132663,2081,847,bar_open_30m
TQQQ,2025-07-30,2025-08-13,0.5,44.829997770097,47.865,132663,278428,847,2229,bar_open_30m
SOXL,2025-07-30,2025-08-13,0.5,27.795,28.9415,235477,582465,1126,2724,bar_open_30m
SOXL,2025-08-13,2025-08-27,0.5,28.9415,27.615,582465,398421,2724,1820,bar_open_30m
TQQQ,2025-08-13,2025-08-27,0.5,47.865,45.035,278428,193172,2229,1356,bar_open_30m
SOXL,2025-08-27,2025-09-11,0.5,27.615,29.3,398421,352628,1820,1738,bar_open_30m
TQQQ,2025-08-27,2025-09-11,0.5,45.035,47.60498064246102,193172,245003,1356,1577,bar_open_30m
SOXL,2025-09-11,2025-09-25,0.5,29.3,31.88,352628,449422,1738,2589,bar_open_30m
TQQQ,2025-09-11,2025-09-25,0.5,47.60498064246102,48.94739180409796,245003,334069,1577,1534,bar_open_30m
SOXL,2025-09-25,2025-10-09,0.5,31.88,42.4,449422,320900,2589,1761,bar_open_30m
TQQQ,2025-09-25,2025-10-09,0.5,48.94739180409796,54.129990779160906,334069,155246,1534,1287,bar_open_30m
SOXL,2025-10-09,2025-10-23,0.5,42.4,40.28,320900,421287,1761,3342,bar_open_30m
TQQQ,2025-10-09,2025-10-23,0.5,54.129990779160906,53.0325,155246,273865,1287,2370,bar_open_30m
TQQQ,2025-10-23,2025-11-06,1.0,53.0325,55.125156703152776,273865,765323,2370,5982,bar_open_30m
TQQQ,2025-11-12,2025-11-26,1.0,55.56498072613178,52.56,371460,523212,2288,3056,bar_open_30m
SOXL,2025-12-09,2025-12-23,0.5,46.9,42.695,252881,235136,1745,1610,bar_open_30m
TQQQ,2025-12-09,2025-12-23,0.5,55.54,54.27,413550,167732,1672,680,bar_open_30m
SOXL,2025-12-23,2026-01-08,0.5,42.695,48.59,235136,783343,1610,6419,bar_open_30m
TQQQ,2025-12-23,2026-01-08,0.5,54.27,53.7,167732,1058084,680,3460,bar_open_30m
SOXL,2026-01-14,2026-01-29,0.5,54.23,69.2,883846,579603,9027,7754,bar_open_30m
TQQQ,2026-01-14,2026-01-29,0.5,53.565,55.2,2683826,1246056,10720,6980,bar_open_30m
SOXL,2026-01-29,2026-02-12,0.5,69.2,68.66,579603,310514,7754,3089,bar_open_30m
TQQQ,2026-01-29,2026-02-12,0.5,55.2,50.95,1246056,444505,6980,2519,bar_open_30m
SOXL,2026-04-14,2026-04-28,0.5,81.23,111.833,178399,386436,2168,4820,bar_open_30m
TQQQ,2026-04-14,2026-04-28,0.5,51.755,61.0,211172,278976,1233,1719,bar_open_30m
TQQQ,2025-05-02,2025-05-16,0.5,29.424950361770147,35.324943317004895,673243,312679,3623,2151,bar_adverse_1m
SOXL,2025-05-02,2025-05-16,0.5,13.13,18.1,2238436,1158091,6366,6610,bar_adverse_1m
SOXL,2025-05-16,2025-06-02,0.5,18.305,16.17,1158091,967680,6610,2838,bar_adverse_1m
TQQQ,2025-05-16,2025-06-02,0.5,35.42495731280615,34.81486105292557,312679,441575,2151,2986,bar_adverse_1m
TQQQ,2025-06-02,2025-06-16,1.0,34.927376763021925,37.345,441575,697159,2986,3836,bar_adverse_1m
SOXL,2025-06-16,2025-07-01,1.0,21.115,24.43,1755245,1059378,5946,3150,bar_adverse_1m
SOXL,2025-07-01,2025-07-16,0.5,24.6401,26.23,1059378,1022684,3150,6003,bar_adverse_1m
TQQQ,2025-07-01,2025-07-16,0.5,41.12508344665595,42.362479134830146,541941,453114,2383,2549,bar_adverse_1m
SOXL,2025-07-16,2025-07-30,0.5,26.51,27.58,1022684,637591,6003,2994,bar_adverse_1m
TQQQ,2025-07-16,2025-07-30,0.5,42.50499588574115,44.73498717805775,453114,471894,2549,1961,bar_adverse_1m
TQQQ,2025-07-30,2025-08-13,0.5,44.824997212621255,47.93,471894,350548,1961,3255,bar_adverse_1m
SOXL,2025-07-30,2025-08-13,0.5,27.75,28.54,637591,652679,2994,3039,bar_adverse_1m
SOXL,2025-08-13,2025-08-27,0.5,28.71,27.28,652679,531024,3039,2763,bar_adverse_1m
TQQQ,2025-08-13,2025-08-27,0.5,48.05,44.975,350548,455160,3255,2880,bar_adverse_1m
SOXL,2025-08-27,2025-09-11,0.5,27.45,29.18,531024,1193490,2763,6744,bar_adverse_1m
TQQQ,2025-08-27,2025-09-11,0.5,45.14,47.54497436434028,455160,520290,2880,2309,bar_adverse_1m
SOXL,2025-09-11,2025-09-25,0.5,29.44,32.2,1193490,659325,6744,4065,bar_adverse_1m
TQQQ,2025-09-11,2025-09-25,0.5,47.70249084440724,49.42493953023489,520290,324578,2309,2150,bar_adverse_1m
SOXL,2025-09-25,2025-10-09,0.5,32.6099,42.52,659325,495507,4065,2694,bar_adverse_1m
TQQQ,2025-09-25,2025-10-09,0.5,49.51494852573713,54.40001567542647,324578,186005,2150,1376,bar_adverse_1m
SOXL,2025-10-09,2025-10-23,0.5,42.75,37.9,495507,512166,2694,3567,bar_adverse_1m
TQQQ,2025-10-09,2025-10-23,0.5,54.485023513139694,52.04,186005,338049,1376,2590,bar_adverse_1m
TQQQ,2025-10-23,2025-11-06,1.0,52.23,55.93773271587614,338049,420820,2590,3419,bar_adverse_1m
TQQQ,2025-11-12,2025-11-26,1.0,56.505064993276555,52.9344,617118,592620,4407,2561,bar_adverse_1m
SOXL,2025-12-09,2025-12-23,0.5,47.025,43.051,828018,709581,6407,4593,bar_adverse_1m
TQQQ,2025-12-09,2025-12-23,0.5,55.41,54.41,754081,761067,3412,3564,bar_adverse_1m
SOXL,2025-12-23,2026-01-08,0.5,43.38,51.1,709581,612961,4593,5819,bar_adverse_1m
TQQQ,2025-12-23,2026-01-08,0.5,54.545,54.55,761067,497025,3564,2573,bar_adverse_1m
SOXL,2026-01-14,2026-01-29,0.5,54.98,70.56,800032,570351,8084,6729,bar_adverse_1m
TQQQ,2026-01-14,2026-01-29,0.5,54.51,56.795,1459055,543104,5607,3617,bar_adverse_1m
SOXL,2026-01-29,2026-02-12,0.5,71.5,69.28,570351,614085,6729,6583,bar_adverse_1m
TQQQ,2026-01-29,2026-02-12,0.5,57.21,51.68,543104,369831,3617,2239,bar_adverse_1m
SOXL,2026-04-14,2026-04-28,0.5,83.46,106.0,517830,842415,5599,12765,bar_adverse_1m
TQQQ,2026-04-14,2026-04-28,0.5,51.7,60.0987,650802,740730,2904,4124,bar_adverse_1m
TQQQ,2025-05-02,2025-05-16,0.5,29.36243984519603,35.352447165850236,645184,482856,3156,3172,bar_adverse_5m
SOXL,2025-05-02,2025-05-16,0.5,13.31,18.13,2125795,848005,6461,3198,bar_adverse_5m
SOXL,2025-05-16,2025-06-02,0.5,18.2298,16.42,848005,908265,3198,2874,bar_adverse_5m
TQQQ,2025-05-16,2025-06-02,0.5,35.45396137158851,35.17991202346041,482856,428120,3172,2760,bar_adverse_5m
TQQQ,2025-06-02,2025-06-16,1.0,35.254922496857986,37.28,428120,669535,2760,4079,bar_adverse_5m
SOXL,2025-06-16,2025-07-01,1.0,21.0912,24.385,705844,489163,2266,2434,bar_adverse_5m
SOXL,2025-07-01,2025-07-16,0.5,24.64,26.02,489163,963588,2434,6177,bar_adverse_5m
TQQQ,2025-07-01,2025-07-16,0.5,41.08507850166893,42.229963559421655,249328,443223,1892,2422,bar_adverse_5m
SOXL,2025-07-16,2025-07-30,0.5,26.19,27.79,963588,848863,6177,4516,bar_adverse_5m
TQQQ,2025-07-16,2025-07-30,0.5,42.32477470318561,44.8600011149515,443223,491201,2422,2741,bar_adverse_5m
TQQQ,2025-07-30,2025-08-13,0.5,44.990015609321,48.04,491201,260740,2741,2517,bar_adverse_5m
SOXL,2025-07-30,2025-08-13,0.5,27.93,28.88,848863,1641599,4516,8146,bar_adverse_5m
SOXL,2025-08-13,2025-08-27,0.5,29.05,27.615,1641599,432376,8146,1814,bar_adverse_5m
TQQQ,2025-08-13,2025-08-27,0.5,48.13,45.08,260740,400964,2517,2356,bar_adverse_5m
SOXL,2025-08-27,2025-09-11,0.5,27.75,29.3001,432376,646191,1814,3098,bar_adverse_5m
TQQQ,2025-08-27,2025-09-11,0.5,45.21,47.575577566181856,400964,255555,2356,1310,bar_adverse_5m
SOXL,2025-09-11,2025-09-25,0.5,29.44,32.13,646191,406348,3098,2897,bar_adverse_5m
TQQQ,2025-09-11,2025-09-25,0.5,47.65998639740504,49.26487353323339,255555,380304,1310,2525,bar_adverse_5m
SOXL,2025-09-25,2025-10-09,0.5,32.275,42.34,406348,467672,2897,2391,bar_adverse_5m
TQQQ,2025-09-25,2025-10-09,0.5,49.3894859870065,54.22749976947902,380304,205330,2525,1437,bar_adverse_5m
SOXL,2025-10-09,2025-10-23,0.5,42.58,38.595,467672,585229,2391,4506,bar_adverse_5m
TQQQ,2025-10-09,2025-10-23,0.5,54.329709193176576,52.165,205330,230640,1437,2317,bar_adverse_5m
TQQQ,2025-10-23,2025-11-06,1.0,52.33,55.84022359434934,230640,353871,2317,2816,bar_adverse_5m
TQQQ,2025-11-12,2025-11-26,1.0,56.29004571940833,53.0,502402,550244,2998,2371,bar_adverse_5m
SOXL,2025-12-09,2025-12-23,0.5,46.99,43.2801,302859,572114,2717,3866,bar_adverse_5m
TQQQ,2025-12-09,2025-12-23,0.5,55.4,54.33,409170,529403,2002,1947,bar_adverse_5m
SOXL,2025-12-23,2026-01-08,0.5,43.59,50.6,572114,390205,3866,3748,bar_adverse_5m
TQQQ,2025-12-23,2026-01-08,0.5,54.44,54.33,529403,543440,1947,2630,bar_adverse_5m
SOXL,2026-01-14,2026-01-29,0.5,55.29,70.54,597016,388902,5960,5268,bar_adverse_5m
TQQQ,2026-01-14,2026-01-29,0.5,54.88,56.45,912346,753473,3485,4463,bar_adverse_5m
SOXL,2026-01-29,2026-02-12,0.5,71.08,69.6,388902,672039,5268,8042,bar_adverse_5m
TQQQ,2026-01-29,2026-02-12,0.5,56.735,51.71,753473,387968,4463,2309,bar_adverse_5m
SOXL,2026-04-14,2026-04-28,0.5,82.439,110.64,549263,1347488,5384,16227,bar_adverse_5m
TQQQ,2026-04-14,2026-04-28,0.5,51.92,60.55,845496,935933,3970,3957,bar_adverse_5m
