variant,period,month,net_pnl
q50_edge25_c5,older,2023-03,0.0490585564921987
q50_edge25_c5,older,2023-04,0.021583004187453403
q50_edge25_c5,older,2023-05,-0.03552858705388695
q50_edge25_c5,older,2023-06,0.030922857883570187
q50_edge25_c5,older,2023-07,-0.013616494232212228
q50_edge25_c5,older,2023-08,-0.023009596499947382
q50_edge25_c5,older,2023-09,-0.04346564982214007
q50_edge25_c5,older,2023-10,0.10394429773137681
q50_edge25_c5,older,2023-11,0.030365472656475045
q50_edge25_c5,older,2023-12,0.03538763942913825
q50_edge25_c5,older,2024-01,-0.18941836602634976
q50_edge25_c5,older,2024-02,-0.1954022062123525
q50_edge25_c5,older,2024-03,-0.07496885694901212
q50_edge25_c5,older,2024-04,0.04608009246295852
q50_edge25_c5,older,2024-05,-0.03559391410862811
q50_edge25_c5,older,2024-06,0.07899355636465222
q50_edge25_c5,older,2024-07,0.11241736475952047
q50_edge25_c5,older,2024-08,0.26461915114568024
q50_edge25_c5,older,2024-09,0.18500259858416823
q50_edge25_c5,older,2024-10,0.09817809192681415
q50_edge25_c5,recent,2024-11,0.04828219142540746
q50_edge25_c5,recent,2024-12,-0.030264777789118957
q50_edge25_c5,recent,2025-01,-0.01801167861820674
q50_edge25_c5,recent,2025-02,-0.12058309901704378
q50_edge25_c5,recent,2025-03,0.31818317192087964
q50_edge25_c5,recent,2025-04,0.31078058378641904
q50_edge25_c5,recent,2025-05,0.17159216345026906
q50_edge25_c5,recent,2025-06,0.006725306893427985
q50_edge25_c5,recent,2025-07,0.024685827392157855
q50_edge25_c5,recent,2025-08,0.0028992712459673387
q50_edge25_c5,recent,2025-09,-0.0728134538126699
q50_edge25_c5,recent,2025-10,0.2191381676107642
q50_edge25_c5,recent,2025-11,0.10913030706673987
q50_edge25_c5,recent,2025-12,-0.024619309873569306
q50_edge25_c5,recent,2026-01,0.1444783313225666
q50_edge25_c5,recent,2026-02,0.19558228054392257
q50_edge25_c5,recent,2026-03,0.06924625062112477
q50_edge25_c5,recent,2026-04,-0.26706821630556765
q50_edge25_c10,older,2023-03,0.041058556492198695
q50_edge25_c10,older,2023-04,0.0185830041874534
q50_edge25_c10,older,2023-05,-0.04252858705388695
q50_edge25_c10,older,2023-06,0.02692285788357019
q50_edge25_c10,older,2023-07,-0.018616494232212233
q50_edge25_c10,older,2023-08,-0.03100959649994739
q50_edge25_c10,older,2023-09,-0.046465649822140076
q50_edge25_c10,older,2023-10,0.0949442977313768
q50_edge25_c10,older,2023-11,0.025365472656475044
q50_edge25_c10,older,2023-12,0.028387639429138245
q50_edge25_c10,older,2024-01,-0.19641836602634977
q50_edge25_c10,older,2024-02,-0.2014022062123525
q50_edge25_c10,older,2024-03,-0.08496885694901213
q50_edge25_c10,older,2024-04,0.040080092462958516
q50_edge25_c10,older,2024-05,-0.04259391410862812
q50_edge25_c10,older,2024-06,0.07199355636465221
q50_edge25_c10,older,2024-07,0.10441736475952046
q50_edge25_c10,older,2024-08,0.25761915114568024
q50_edge25_c10,older,2024-09,0.17900259858416823
q50_edge25_c10,older,2024-10,0.09017809192681414
q50_edge25_c10,recent,2024-11,0.04328219142540746
q50_edge25_c10,recent,2024-12,-0.03526477778911896
q50_edge25_c10,recent,2025-01,-0.022011678618206743
q50_edge25_c10,recent,2025-02,-0.1305830990170438
q50_edge25_c10,recent,2025-03,0.30918317192087963
q50_edge25_c10,recent,2025-04,0.30378058378641903
q50_edge25_c10,recent,2025-05,0.16659216345026906
q50_edge25_c10,recent,2025-06,0.0007253068934279863
q50_edge25_c10,recent,2025-07,0.02068582739215785
q50_edge25_c10,recent,2025-08,-0.003100728754032663
q50_edge25_c10,recent,2025-09,-0.08281345381266991
q50_edge25_c10,recent,2025-10,0.2091381676107642
q50_edge25_c10,recent,2025-11,0.09713030706673986
q50_edge25_c10,recent,2025-12,-0.029619309873569304
q50_edge25_c10,recent,2026-01,0.1374783313225666
q50_edge25_c10,recent,2026-02,0.18358228054392256
q50_edge25_c10,recent,2026-03,0.062246250621124766
q50_edge25_c10,recent,2026-04,-0.27706821630556766
q60_edge25_c5,older,2023-03,0.1056358760798276
q60_edge25_c5,older,2023-04,0.021583004187453403
q60_edge25_c5,older,2023-05,-0.0317642470400652
q60_edge25_c5,older,2023-06,0.030922857883570187
q60_edge25_c5,older,2023-07,-1.0143123763906026e-05
q60_edge25_c5,older,2023-08,-0.023009596499947382
q60_edge25_c5,older,2023-09,-0.03435555807902091
q60_edge25_c5,older,2023-10,0.10394429773137681
q60_edge25_c5,older,2023-11,0.030365472656475045
q60_edge25_c5,older,2023-12,0.03538763942913825
q60_edge25_c5,older,2024-01,-0.18941836602634976
q60_edge25_c5,older,2024-02,-0.15828839298278052
q60_edge25_c5,older,2024-03,-0.05806779687834074
q60_edge25_c5,older,2024-04,0.04608009246295852
q60_edge25_c5,older,2024-05,-0.08091708738096559
q60_edge25_c5,older,2024-06,0.07381734491090797
q60_edge25_c5,older,2024-07,0.11543675086614402
q60_edge25_c5,older,2024-08,0.26461915114568024
q60_edge25_c5,older,2024-09,0.18500259858416823
q60_edge25_c5,older,2024-10,0.06857625942529666
q60_edge25_c5,recent,2024-11,0.04828219142540746
q60_edge25_c5,recent,2024-12,0.009734683364150287
q60_edge25_c5,recent,2025-01,-0.01801167861820674
q60_edge25_c5,recent,2025-02,-0.10397236837915924
q60_edge25_c5,recent,2025-03,0.38840898699282267
q60_edge25_c5,recent,2025-04,0.31078058378641904
q60_edge25_c5,recent,2025-05,0.16387841900966416
q60_edge25_c5,recent,2025-06,0.026484617068327054
q60_edge25_c5,recent,2025-07,-0.02052830836711439
q60_edge25_c5,recent,2025-08,0.0028992712459673387
q60_edge25_c5,recent,2025-09,0.03376879251748999
q60_edge25_c5,recent,2025-10,0.17789872747079916
q60_edge25_c5,recent,2025-11,0.10057738387224235
q60_edge25_c5,recent,2025-12,-0.006437718672557711
q60_edge25_c5,recent,2026-01,0.04622059400677614
q60_edge25_c5,recent,2026-02,0.18022437447889073
q60_edge25_c5,recent,2026-03,0.1109687819304177
q60_edge25_c5,recent,2026-04,-0.26706821630556765
q60_edge25_c10,older,2023-03,0.0986358760798276
q60_edge25_c10,older,2023-04,0.0185830041874534
q60_edge25_c10,older,2023-05,-0.037764247040065195
q60_edge25_c10,older,2023-06,0.02692285788357019
q60_edge25_c10,older,2023-07,-0.00401014312376391
q60_edge25_c10,older,2023-08,-0.03100959649994739
q60_edge25_c10,older,2023-09,-0.03635555807902091
q60_edge25_c10,older,2023-10,0.0949442977313768
q60_edge25_c10,older,2023-11,0.025365472656475044
q60_edge25_c10,older,2023-12,0.028387639429138245
q60_edge25_c10,older,2024-01,-0.19641836602634977
q60_edge25_c10,older,2024-02,-0.16328839298278053
q60_edge25_c10,older,2024-03,-0.06706779687834075
q60_edge25_c10,older,2024-04,0.040080092462958516
q60_edge25_c10,older,2024-05,-0.0859170873809656
q60_edge25_c10,older,2024-06,0.06781734491090796
q60_edge25_c10,older,2024-07,0.10843675086614402
q60_edge25_c10,older,2024-08,0.25761915114568024
q60_edge25_c10,older,2024-09,0.17900259858416823
q60_edge25_c10,older,2024-10,0.06357625942529666
q60_edge25_c10,recent,2024-11,0.04328219142540746
q60_edge25_c10,recent,2024-12,0.005734683364150285
q60_edge25_c10,recent,2025-01,-0.022011678618206743
q60_edge25_c10,recent,2025-02,-0.11197236837915925
q60_edge25_c10,recent,2025-03,0.38140898699282266
q60_edge25_c10,recent,2025-04,0.30378058378641903
q60_edge25_c10,recent,2025-05,0.16087841900966415
q60_edge25_c10,recent,2025-06,0.024484617068327053
q60_edge25_c10,recent,2025-07,-0.023528308367114392
q60_edge25_c10,recent,2025-08,-0.003100728754032663
q60_edge25_c10,recent,2025-09,0.027768792517489985
q60_edge25_c10,recent,2025-10,0.16889872747079915
q60_edge25_c10,recent,2025-11,0.08957738387224234
q60_edge25_c10,recent,2025-12,-0.008437718672557711
q60_edge25_c10,recent,2026-01,0.041220594006776134
q60_edge25_c10,recent,2026-02,0.16922437447889072
q60_edge25_c10,recent,2026-03,0.1059687819304177
q60_edge25_c10,recent,2026-04,-0.27706821630556766
q67_edge25_c5,older,2023-03,0.09410280729675868
q67_edge25_c5,older,2023-04,0.021583004187453403
q67_edge25_c5,older,2023-05,-0.0317642470400652
q67_edge25_c5,older,2023-06,-0.0058855023845642
q67_edge25_c5,older,2023-07,-1.0143123763906026e-05
