variant,net_simple_return,maximum_drawdown,positive_months,negative_months,worst_month,worst_year,recent12_return,recent12_positive_months,median_month,average_month,positive_years,negative_years,turnover,trade_sessions,average_utilization,trim_events,trim_counts
control,3.6282963573587454,0.17233352173209557,48,25,-0.16536813445765458,-0.06881295092862345,1.1551976793162875,9,0.015713764799347142,0.04371441394408127,6,1,127.66666666666666,173,0.882830626450116,0,{}
orig5_every1_to10_leave50,3.5203131983206024,0.15941120360390168,51,22,-0.15310624610724496,-0.012227198520455798,1.076960724672724,9,0.02102719185436478,0.04241341202795907,6,1,207.6333333333333,945,0.8080239752513534,2865,"{'stage_1': 623, 'stage_2': 501, 'stage_3': 402, 'stage_4': 333, 'stage_5': 272, 'stage_6': 219, 'stage_7': 179, 'stage_8': 136, 'stage_9': 104, 'stage_10': 96}"
orig5_every1_to20_exit100,3.519846206342178,0.15514229184966444,51,22,-0.15310624610724496,-0.017901563961235933,1.090731933739285,9,0.02014830078827263,0.042407785618580454,6,1,219.0333333333333,963,0.8008700696055684,3237,"{'stage_1': 623, 'stage_2': 501, 'stage_3': 402, 'stage_4': 333, 'stage_5': 272, 'stage_6': 219, 'stage_7': 179, 'stage_8': 136, 'stage_9': 104, 'stage_10': 96, 'stage_11': 81, 'stage_12': 62, 'stage_13': 52, 'stage_14': 44, 'stage_15': 35, 'stage_16': 27, 'stage_17': 22, 'stage_18': 19, 'stage_19': 16, 'stage_20': 14}"
orig2p5_every1_to20_leave50,3.574071281850461,0.1630664652661043,50,23,-0.15923719028244976,-0.04335725744492963,1.122964806527786,9,0.016644265272503903,0.04306109978133086,6,1,173.3500000000001,963,0.8418503480278419,3237,"{'stage_1': 623, 'stage_2': 501, 'stage_3': 402, 'stage_4': 333, 'stage_5': 272, 'stage_6': 219, 'stage_7': 179, 'stage_8': 136, 'stage_9': 104, 'stage_10': 96, 'stage_11': 81, 'stage_12': 62, 'stage_13': 52, 'stage_14': 44, 'stage_15': 35, 'stage_16': 27, 'stage_17': 22, 'stage_18': 19, 'stage_19': 16, 'stage_20': 14}"
rem5_every1_to20_leave35p8,3.5368568508278635,0.15788116819647177,51,22,-0.15377535087110814,-0.018819237888817217,1.0913632805975786,9,0.021624331442319362,0.042612733142504376,6,1,202.89272894523071,963,0.8130174642858858,3237,"{'stage_1': 623, 'stage_2': 501, 'stage_3': 402, 'stage_4': 333, 'stage_5': 272, 'stage_6': 219, 'stage_7': 179, 'stage_8': 136, 'stage_9': 104, 'stage_10': 96, 'stage_11': 81, 'stage_12': 62, 'stage_13': 52, 'stage_14': 44, 'stage_15': 35, 'stage_16': 27, 'stage_17': 22, 'stage_18': 19, 'stage_19': 16, 'stage_20': 14}"
orig5_every2_to20_leave50,3.5877059296187856,0.16372663714810043,50,23,-0.16060930225300185,-0.04323202759897303,1.1338493067895241,9,0.015834119064606498,0.04322537264600946,6,1,169.05,806,0.8471964423820572,1451,"{'stage_1': 501, 'stage_2': 333, 'stage_3': 219, 'stage_4': 136, 'stage_5': 96, 'stage_6': 62, 'stage_7': 44, 'stage_8': 27, 'stage_9': 19, 'stage_10': 14}"
