feature,coefficient
intercept,-0.3177999372341198
spread_bps,0.057461411332513486
size_imbalance,-0.6093671680563213
microprice_edge_bps,0.20760148753008315
quote_rate_1s,0.1379941477740761
mid_return_1s,-0.01242182002860678
mid_return_5s,-0.012741646289747104
trade_imbalance_1s,-0.014149360751629718
