symbol,session,window,candidate_events
AAPL,2024-11-06,morning,3731
AAPL,2024-11-06,midday,1148
AAPL,2025-02-05,morning,1052
AAPL,2025-02-05,midday,323
AAPL,2025-05-07,morning,658
AAPL,2025-05-07,midday,455
AAPL,2025-08-06,morning,1262
AAPL,2025-08-06,midday,538
AAPL,2025-11-05,morning,1046
AAPL,2025-11-05,midday,282
AAPL,2026-04-01,morning,1171
AAPL,2026-04-01,midday,432
MSFT,2024-11-06,morning,1051
MSFT,2024-11-06,midday,618
MSFT,2025-02-05,morning,173
MSFT,2025-02-05,midday,46
MSFT,2025-05-07,morning,113
MSFT,2025-05-07,midday,114
MSFT,2025-08-06,morning,75
MSFT,2025-08-06,midday,53
MSFT,2025-11-05,morning,372
MSFT,2025-11-05,midday,170
MSFT,2026-04-01,morning,525
MSFT,2026-04-01,midday,162
AMZN,2024-11-06,morning,2768
AMZN,2024-11-06,midday,475
AMZN,2025-02-05,morning,1525
AMZN,2025-02-05,midday,298
AMZN,2025-05-07,morning,840
AMZN,2025-05-07,midday,500
AMZN,2025-08-06,morning,812
AMZN,2025-08-06,midday,594
AMZN,2025-11-05,morning,761
AMZN,2025-11-05,midday,635
AMZN,2026-04-01,morning,3518
AMZN,2026-04-01,midday,1216
GOOGL,2024-11-06,morning,3069
GOOGL,2024-11-06,midday,1126
GOOGL,2025-02-05,morning,1072
GOOGL,2025-02-05,midday,315
GOOGL,2025-05-07,morning,1446
GOOGL,2025-05-07,midday,1380
GOOGL,2025-08-06,morning,1214
GOOGL,2025-08-06,midday,245
GOOGL,2025-11-05,morning,1929
GOOGL,2025-11-05,midday,617
GOOGL,2026-04-01,morning,1887
GOOGL,2026-04-01,midday,993
META,2024-11-06,morning,341
META,2024-11-06,midday,108
META,2025-02-05,morning,155
META,2025-02-05,midday,63
META,2025-05-07,morning,129
META,2025-05-07,midday,52
META,2025-08-06,morning,104
META,2025-08-06,midday,35
META,2025-11-05,morning,974
META,2025-11-05,midday,96
META,2026-04-01,morning,388
META,2026-04-01,midday,386
NVDA,2024-11-06,morning,8445
NVDA,2024-11-06,midday,3391
NVDA,2025-02-05,morning,3920
NVDA,2025-02-05,midday,1469
NVDA,2025-05-07,morning,4936
NVDA,2025-05-07,midday,2740
NVDA,2025-08-06,morning,5930
NVDA,2025-08-06,midday,962
NVDA,2025-11-05,morning,4324
NVDA,2025-11-05,midday,1184
NVDA,2026-04-01,morning,5845
NVDA,2026-04-01,midday,1214
AMD,2024-11-06,morning,1600
AMD,2024-11-06,midday,681
AMD,2025-02-05,morning,1379
AMD,2025-02-05,midday,545
AMD,2025-05-07,morning,1034
AMD,2025-05-07,midday,356
AMD,2025-08-06,morning,1160
AMD,2025-08-06,midday,506
AMD,2025-11-05,morning,768
AMD,2025-11-05,midday,325
AMD,2026-04-01,morning,934
AMD,2026-04-01,midday,421
AVGO,2024-11-06,morning,508
AVGO,2024-11-06,midday,387
AVGO,2025-02-05,morning,174
AVGO,2025-02-05,midday,46
AVGO,2025-05-07,morning,122
AVGO,2025-05-07,midday,162
AVGO,2025-08-06,morning,54
AVGO,2025-08-06,midday,44
AVGO,2025-11-05,morning,379
AVGO,2025-11-05,midday,151
AVGO,2026-04-01,morning,578
AVGO,2026-04-01,midday,200
MU,2024-11-06,morning,1735
MU,2024-11-06,midday,506
MU,2025-02-05,morning,443
MU,2025-02-05,midday,246
MU,2025-05-07,morning,279
MU,2025-05-07,midday,217
MU,2025-08-06,morning,255
MU,2025-08-06,midday,195
MU,2025-11-05,morning,283
MU,2025-11-05,midday,146
MU,2026-04-01,morning,1334
MU,2026-04-01,midday,317
TSLA,2024-11-06,morning,2464
TSLA,2024-11-06,midday,1372
TSLA,2025-02-05,morning,541
TSLA,2025-02-05,midday,167
TSLA,2025-05-07,morning,455
TSLA,2025-05-07,midday,305
TSLA,2025-08-06,morning,705
TSLA,2025-08-06,midday,167
TSLA,2025-11-05,morning,1490
TSLA,2025-11-05,midday,499
TSLA,2026-04-01,morning,5313
TSLA,2026-04-01,midday,809
JPM,2024-11-06,morning,476
JPM,2024-11-06,midday,190
JPM,2025-02-05,morning,62
JPM,2025-02-05,midday,30
JPM,2025-05-07,morning,34
JPM,2025-05-07,midday,23
JPM,2025-08-06,morning,27
JPM,2025-08-06,midday,23
