date,entry,limit,stop,outcome,return,distance_bp,spread_bp,config
2025-05-01,481.86,481.96,481.76000000000005,stop,-0.0003075084049309895,2.0752915784660666,0.6226262374697811,t2_h1_s1
2025-05-01,483.1,483.2,483.00000000000006,stop,-0.00030697578141170023,2.0699648105975137,0.4140101018479392,t2_h1_s1
2025-05-01,483.53,483.63,483.42999999999995,target,0.00020681240047148997,2.068124004715793,0.6204756980343618,t2_h1_s1
2025-05-01,486.93,487.03,486.83000000000004,stop,-0.00030534779126367706,2.053683280963709,0.8215407997713697,t2_h1_s1
2025-05-01,483.52,483.62,483.41999999999996,stop,-0.00032747559563195416,2.068166776969365,0.206820955099829,t2_h1_s1
2025-05-02,486.88,486.98,486.78,target,0.00020538941833714297,2.05389418337214,0.616206223682525,t2_h1_s1
2025-05-02,489.52,489.62,489.41999999999996,stop,-0.00034511358065048015,2.04281745383279,1.0215130651514137,t2_h1_s1
2025-05-02,490.08,490.18,489.97999999999996,target,0.00020404831864184736,2.040483186419008,0.6121824303639833,t2_h1_s1
2025-05-02,490.55,490.65,490.45000000000005,timeout,-9.999999999998899e-05,2.03852818265143,0.6115958574581803,t2_h1_s1
2025-05-05,487.22,487.32,487.12000000000006,target,0.00020524609006189465,2.052460900619143,0.6157761858838207,t2_h1_s1
2025-05-06,482.06,482.16,481.96,stop,-0.0003074223125753006,2.074430568809334,0.6223679024142115,t2_h1_s1
2025-05-06,482.71,482.81,482.60999999999996,target,0.0002071637214891009,2.0716372148913997,0.6215297919931473,t2_h1_s1
2025-05-06,483.18,483.28,483.08000000000004,stop,-0.00030694151247989687,2.0696220870062065,0.6209251785160852,t2_h1_s1
2025-05-06,484.17,484.27,484.07000000000005,target,0.0002065390255487909,2.06539025548807,1.0328017846816806,t2_h1_s1
2025-05-06,484.61,484.71,484.51000000000005,stop,-0.00030633086399378673,2.063514991435709,0.825474131704862,t2_h1_s1
2025-05-06,481.97,482.07,481.87000000000006,target,0.00020748179347251927,2.07481793472552,1.0375166002662972,t2_h1_s1
2025-05-06,481.67,481.77,481.57000000000005,stop,-0.00030759025889104397,2.076110199928704,0.4152392816370032,t2_h1_s1
2025-05-07,480.91,481.01,480.81000000000006,target,0.00020793911542682508,2.07939115426932,0.6238562635174638,t2_h1_s1
2025-05-07,480.73,480.83,480.63000000000005,stop,-0.0003079961724877789,2.0801697418502254,0.4160512575146491,t2_h1_s1
2025-05-07,480.63,480.73,480.53,stop,-0.0003080394482242177,2.08060254249678,1.456633927083839,t2_h1_s1
2025-05-07,477.93,478.03,477.83000000000004,stop,-0.0003301362124160656,2.0923566212618145,0.6277463904580394,t2_h1_s1
2025-05-07,478.77,478.87,478.66999999999996,target,0.0002088685590158068,2.0886855901585886,0.6266449429737087,t2_h1_s1
2025-05-07,480.06,480.16,479.96,stop,-0.0003291151106111778,2.083072949215155,0.6249609399411327,t2_h1_s1
2025-05-07,480.66,480.76,480.56000000000006,stop,-0.0003080264636124985,2.080472683392957,0.8322583329878341,t2_h1_s1
2025-05-07,479.13,479.23,479.03,target,0.0002087116231503927,2.087116231503407,0.6261740763924273,t2_h1_s1
2025-05-07,480.33,480.43,480.22999999999996,target,0.0002081902025690141,2.0819020256911447,0.6246096189865824,t2_h1_s1
2025-05-07,481.17,481.27,481.07000000000005,target,0.00020782675561648034,2.078267556164472,0.8313761353484495,t2_h1_s1
