predictor,condition,n,mean_cycle,median_cycle,win_rate,worst_cycle,best_cycle,additive_contribution
all,unconditional,316,0.011481950497945042,0.011318105671310601,0.5886075949367089,-0.2864388118083925,0.296185188251711,3.6282963573506333
QQQ_gap,le_0,147,0.020330391866361614,0.011569811357622806,0.6190476190476191,-0.16250104789218298,0.296185188251711,2.9885676043551572
QQQ_gap,le_-0.0025,100,0.019914922710870007,0.01106468314495842,0.63,-0.16250104789218298,0.296185188251711,1.9914922710870007
QQQ_gap,le_-0.005,67,0.02225353252503473,0.011569811357622806,0.6567164179104478,-0.16250104789218298,0.296185188251711,1.490986679177327
QQQ_gap,le_-0.01,31,0.03233041463975628,0.010176686552368853,0.6451612903225806,-0.1492385190143133,0.296185188251711,1.0022428538324446
QQQ_gap,le_-0.015,14,0.0522119626834997,0.02784186310808026,0.7142857142857143,-0.10689739517756544,0.296185188251711,0.7309674775689958
QQQ_gap,le_-0.02,5,0.08947732517258077,0.04661555283575425,0.8,-0.013529682659518143,0.296185188251711,0.44738662586290384
QQQ_open_to_0940,le_0,133,0.0073971445488330645,0.008649326195845944,0.5112781954887218,-0.17416343531614015,0.296185188251711,0.9838202249947976
QQQ_open_to_0940,le_-0.0025,56,0.0030308924232418885,-0.0018167676134147382,0.4642857142857143,-0.16250104789218298,0.296185188251711,0.16972997570154574
QQQ_open_to_0940,le_-0.005,15,0.0098364320044291,-0.0052684501326490975,0.3333333333333333,-0.1492385190143133,0.296185188251711,0.1475464800664365
QQQ_open_to_0940,le_-0.01,2,-0.006055176689631476,-0.006055176689631476,0.5,-0.015814879654853134,0.0037045262755901823,-0.012110353379262952
QQQ_open_to_0940,le_-0.015,0,,,,,,0.0
QQQ_open_to_0940,le_-0.02,0,,,,,,0.0
QQQ_prior_close_to_0940,le_0,147,0.018441147038265864,0.011569811357622806,0.6054421768707483,-0.16250104789218298,0.296185188251711,2.710848614625082
QQQ_prior_close_to_0940,le_-0.0025,96,0.018413858741182187,0.009428142522246713,0.5625,-0.16250104789218298,0.296185188251711,1.7677304391534898
QQQ_prior_close_to_0940,le_-0.005,70,0.028616277906940317,0.010532531306332289,0.6285714285714286,-0.16250104789218298,0.296185188251711,2.0031394534858222
QQQ_prior_close_to_0940,le_-0.01,36,0.031740358246284156,0.012105354395015552,0.6666666666666666,-0.16250104789218298,0.296185188251711,1.1426528968662295
QQQ_prior_close_to_0940,le_-0.015,15,0.028850316009304197,0.010559554932294036,0.6666666666666666,-0.1492385190143133,0.296185188251711,0.43275474013956294
QQQ_prior_close_to_0940,le_-0.02,5,0.08947732517258077,0.04661555283575425,0.8,-0.013529682659518143,0.296185188251711,0.44738662586290384
QQQ_prior_week,le_0,131,0.012355901029768943,0.010559554932294036,0.5648854961832062,-0.2864388118083925,0.296185188251711,1.6186230348997315
QQQ_prior_week,le_-0.0025,120,0.011967236923418794,0.010410494865235261,0.5666666666666667,-0.2864388118083925,0.296185188251711,1.4360684308102551
QQQ_prior_week,le_-0.005,115,0.012003015872560516,0.010261434798176488,0.5565217391304348,-0.2864388118083925,0.296185188251711,1.3803468253444593
QQQ_prior_week,le_-0.01,98,0.007266393471537035,0.004449383654621303,0.5204081632653061,-0.2864388118083925,0.296185188251711,0.7121065602106293
QQQ_prior_week,le_-0.015,78,0.010519066189170747,0.008745389389272008,0.5384615384615384,-0.2864388118083925,0.296185188251711,0.8204871627553183
QQQ_prior_week,le_-0.02,66,0.0025023232500262396,7.563860698510394e-05,0.5,-0.2864388118083925,0.296185188251711,0.1651533345017318
SPY_gap,le_0,143,0.015874165243081828,0.010505507680370542,0.5804195804195804,-0.16250104789218298,0.296185188251711,2.270005629760701
SPY_gap,le_-0.0025,84,0.02396369156017048,0.01252609468643174,0.6666666666666666,-0.1492385190143133,0.296185188251711,2.0129500910543205
SPY_gap,le_-0.005,56,0.027770445474125684,0.010532531306332289,0.6785714285714286,-0.1492385190143133,0.296185188251711,1.5551449465510383
SPY_gap,le_-0.01,29,0.022643166088235113,0.009636717935559272,0.6206896551724138,-0.1492385190143133,0.296185188251711,0.6566518165588183
SPY_gap,le_-0.015,9,0.08396606728946909,0.04723325927759502,0.7777777777777778,-0.025899950302889618,0.296185188251711,0.7556946056052218
