rule,period,weak_state,n,mean_cycle,median_cycle,win_rate,worst_cycle,best_cycle,additive_contribution
QQQ_gap_below_zero,2020_2022,True,68,0.014296725631184589,0.011485423436374608,0.6176470588235294,-0.16250104789218298,0.15876619849186574,0.972177342920552
QQQ_gap_below_zero,2020_2022,False,74,0.005126897010201151,0.011591576496796067,0.581081081081081,-0.14895646638941326,0.13669598674924494,0.3793903787548851
QQQ_gap_below_zero,2023_2026,True,78,0.02628778243684983,0.013266957781760812,0.6282051282051282,-0.15482044965390707,0.296185188251711,2.0504470300742867
QQQ_gap_below_zero,2023_2026,False,96,0.002357100058342805,0.00988081955630504,0.5416666666666666,-0.2864388118083925,0.15709889536461874,0.2262816056009093
QQQ_gap_le_minus_0p5pct,2020_2022,True,35,0.0020571613686729893,0.010176686552368853,0.6,-0.16250104789218298,0.11206865457540549,0.07200064790355462
QQQ_gap_le_minus_0p5pct,2020_2022,False,107,0.011958570782914792,0.01310575620782569,0.5981308411214953,-0.14895646638941326,0.15876619849186574,1.2795670737718827
QQQ_gap_le_minus_0p5pct,2023_2026,True,32,0.044343313477305385,0.027268480469938572,0.71875,-0.1492385190143133,0.296185188251711,1.4189860312737723
QQQ_gap_le_minus_0p5pct,2023_2026,False,142,0.006040440876066364,0.00988081955630504,0.5492957746478874,-0.2864388118083925,0.16491795340901758,0.8577426044014237
QQQ_to_0940_below_zero,2020_2022,True,72,0.010091879367586036,0.010532531306332289,0.5833333333333334,-0.16250104789218298,0.15876619849186574,0.7266153144661947
QQQ_to_0940_below_zero,2020_2022,False,70,0.008927891531560607,0.01293552363343002,0.6142857142857143,-0.14895646638941326,0.1575891122769076,0.6249524072092425
QQQ_to_0940_below_zero,2023_2026,True,74,0.025998474074954522,0.013266957781760812,0.6216216216216216,-0.15482044965390707,0.296185188251711,1.9238870815466347
QQQ_to_0940_below_zero,2023_2026,False,100,0.0035284155412856144,0.00988081955630504,0.55,-0.2864388118083925,0.15942672700700644,0.35284155412856144
QQQ_first10m_below_zero,2020_2022,True,61,-0.0027592520543446852,-0.0004630853261342778,0.47540983606557374,-0.16250104789218298,0.15876619849186574,-0.1683143753150258
QQQ_first10m_below_zero,2020_2022,False,81,0.018763976506055095,0.01792924784784121,0.691358024691358,-0.14895646638941326,0.1575891122769076,1.5198820969904627
QQQ_first10m_below_zero,2023_2026,True,72,0.016001869448747548,0.010577546267575153,0.5416666666666666,-0.17416343531614015,0.296185188251711,1.1521346003098234
QQQ_first10m_below_zero,2023_2026,False,102,0.011025431719268355,0.011530691994710992,0.6078431372549019,-0.2864388118083925,0.1821946448675267,1.1245940353653723
breadth_below_half,2020_2022,True,69,0.010600774117179391,0.012411291940455182,0.6231884057971014,-0.16250104789218298,0.1575891122769076,0.731453414085378
breadth_below_half,2020_2022,False,73,0.008494716542329578,0.00999920480287051,0.5753424657534246,-0.14895646638941326,0.15876619849186574,0.6201143075900593
breadth_below_half,2023_2026,True,86,0.027339720308903765,0.01507176340306779,0.6162790697674418,-0.1492385190143133,0.296185188251711,2.351215946565724
breadth_below_half,2023_2026,False,88,-0.0008464467146650838,0.009074765255139765,0.5454545454545454,-0.2864388118083925,0.15942672700700644,-0.07448731089052738
