variant,extra_bps,ending_equity,compounded_return,maximum_drawdown,maximum_drawdown_peak_date,maximum_drawdown_trough_date,maximum_drawdown_recovery_date,maximum_drawdown_duration_sessions,positive_months,negative_months,worst_month,worst_year,recent12_compounded_return,rebalance_sessions,trade_orders,turnover_on_starting_capital,sum_trade_notional_over_contemporaneous_nav,minimum_cash,maximum_gross_to_equity
control,0.0,18.344792870083513,17.344792870083513,0.41943201362140725,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15028410455912766,-0.17394895922689035,1.9353206823579696,173,709,548.1327796258261,132.80632404168188,0.0050000000000000044,0.996379666862464
control,1.0,18.102727376334496,17.102727376334496,0.41967048796746387,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15051212188609753,-0.17660398913613706,1.9302095084828985,173,709,543.5698747088077,132.8011158894921,0.0050000000000000044,0.9963791684845198
control,2.0,17.863855274572504,16.863855274572504,0.41990886977920183,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15074007030008818,-0.17925047991081133,1.92510712451912,173,709,539.0531784972518,132.79590847468447,0.00500000000000006,0.9963786700691359
substitute_25,0.0,19.151233390502306,18.151233390502306,0.41943201362140736,2024-06-18,2024-09-06,2025-01-23,149,46,27,-0.15028410455912777,-0.17394895922688902,1.8923673459085602,181,743,583.8732264007708,139.7979394959657,0.005000000000000171,0.9962028562475502
substitute_25,1.0,18.885317510456623,17.885317510456623,0.41967048796746376,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15051212188609808,-0.17660398913613606,1.8873546653776696,181,743,578.6661641469129,139.792235160586,0.005000000000000171,0.9962026009152394
substitute_25,2.0,18.62309367997721,17.62309367997721,0.41990886977920205,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15074007030008796,-0.17925047991081033,1.882350540057701,181,743,573.5148682615784,139.78653168342134,0.005000000000000171,0.9962023455657968
substitute_30,0.0,19.33651644160453,18.33651644160453,0.41943201362140714,2024-06-18,2024-09-06,2025-01-22,148,46,27,-0.150284104559128,-0.17394895922688947,1.8923673459085606,179,735,583.7291689084226,138.38845442650936,0.0050000000000000044,0.996226296305011
substitute_30,1.0,19.070715039464716,18.070715039464716,0.41967048796746376,2024-06-18,2024-09-06,2025-01-22,148,46,27,-0.15051212188609786,-0.1766039891361355,1.887354665377671,179,735,578.5777814159364,138.38285342576543,0.0050000000000000044,0.9962260425429148
substitute_30,2.0,18.808566959930356,17.808566959930356,0.41990886977920217,2024-06-18,2024-09-06,2025-01-22,148,46,27,-0.1507400703000884,-0.17925047991080978,1.8823505400577014,179,735,573.4810440038723,138.37725326508325,0.00500000000000006,0.9962257887637913
substitute_35,0.0,19.61565246669495,18.61565246669495,0.41943201362140725,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15028410455912766,-0.17394895922689035,1.8923673459084025,175,717,569.777534356424,134.2906060720436,0.0050000000000000044,0.9963656586335291
substitute_35,1.0,19.353942419528945,18.353942419528945,0.41967048796746387,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15051212188609753,-0.17660398913613706,1.8873546653773556,175,717,564.9290090213303,134.28539220643938,0.0050000000000000044,0.9963651583342357
substitute_35,2.0,19.09572309851877,18.09572309851877,0.41990886977920183,2024-06-18,2024-09-06,2025-02-04,157,46,27,-0.15074007030008818,-0.17925047991081133,1.8823505400571792,175,717,560.130462951035,134.2801790814545,0.00500000000000006,0.9963646579973603
