filter,trade_count,q60_base_count,attrition_vs_q60
q50_base,134,108,
q60_base,108,108,0.0
q60_edge20,98,108,0.09259259259259256
q67_base,97,108,0.10185185185185186
q80_base,65,108,0.39814814814814814
q60_vol_high50,70,108,0.35185185185185186
q60_vol_low50,38,108,0.6481481481481481
q60_vol_high67,50,108,0.537037037037037
q60_volume_high50,68,108,0.37037037037037035
q60_volume_high67,52,108,0.5185185185185186
q60_qqq_same,106,108,0.01851851851851849
q60_qqq_opposite,2,108,0.9814814814814815
q60_day_extension,47,108,0.5648148148148149
q60_day_reversal,61,108,0.43518518518518523
q60_prior5_same,67,108,0.37962962962962965
q60_prior5_opposite,41,108,0.6203703703703703
q60_smh_above_sma20,61,108,0.43518518518518523
q60_smh_below_sma20,47,108,0.5648148148148149
q60_qqq_above_sma20,51,108,0.5277777777777778
q60_qqq_below_sma20,57,108,0.4722222222222222
q60_edge20_vol_high50,63,108,0.41666666666666663
q60_edge20_qqq_same,96,108,0.11111111111111116
q60_edge20_day_extension,43,108,0.6018518518518519
q67_volume_high50,66,108,0.38888888888888884
