variant,filter,additional_slippage_bps_per_side,trade_count,attrition_vs_q60,full_net_simple_return,average_month_18m,median_month_18m,positive_months_18m,negative_months_18m,zero_months_18m,standard_max_drawdown,max_recovery_days,recovery_unresolved,win_rate,top_5_day_profit_share,soxl_net,soxs_net
q50_base_slip2,q50_base,2,134,,1.0332025408046608,0.057400141155814516,0.03626627703419358,12,6,0,0.19654923329098212,,True,0.5746268656716418,0.5566863015619534,0.9434593058842815,0.08974323492037971
q50_base_slip5,q50_base,5,134,,0.952802540804661,0.052933474489147835,0.03356627703419357,11,7,0,0.2058745677158077,,True,0.5746268656716418,0.6005123587535263,0.9092593058842814,0.04354323492037959
q50_base_slip10,q50_base,10,134,,0.8188025408046609,0.04548903004470338,0.029066277034193566,10,8,0,0.22279219220031043,,True,0.5746268656716418,0.6926819018509467,0.8522593058842813,-0.033456765079620476
q60_base_slip2,q60_base,2,108,0.0,1.1459801680173094,0.06366556488985056,0.033740780995458644,13,5,0,0.1739817460456451,,True,0.5833333333333334,0.5019019676405712,0.849178163094589,0.29680200492272085
q60_base_slip5,q60_base,5,108,0.0,1.0811801680173097,0.060065564889850535,0.03164078099545864,12,6,0,0.1807246304759945,,True,0.5833333333333334,0.529208468792224,0.8221781630945888,0.25900200492272085
q60_base_slip10,q60_base,10,108,0.0,0.9731801680173096,0.05406556488985053,0.028140780995458636,12,6,0,0.1927198544232694,,True,0.5833333333333334,0.5828003075324403,0.7771781630945888,0.1960020049227208
q60_edge20_slip2,q60_edge20,2,98,0.09259259259259256,0.9583238602394403,0.05324021445774669,0.023831497278440514,13,5,0,0.18851827343155472,,True,0.5816326530612245,0.6001830123078141,0.6210576560248764,0.3372662042145642
q60_edge20_slip5,q60_edge20,5,98,0.09259259259259256,0.8995238602394403,0.049973547791080014,0.021431497278440514,12,6,0,0.19568546047820648,,True,0.5816326530612245,0.6360806272027699,0.598257656024876,0.3012662042145643
q60_edge20_slip10,q60_edge20,10,98,0.09259259259259256,0.8015238602394402,0.04452910334663556,0.017431497278440514,12,6,0,0.20841036304581467,,True,0.5816326530612245,0.7076142449901973,0.560257656024876,0.24126620421456424
q67_base_slip2,q67_base,2,97,0.10185185185185186,0.9157526002028281,0.05087514445571268,0.025473368907025788,13,5,0,0.1892090465168884,,True,0.5670103092783505,0.6280841584043187,0.6881871278233364,0.22756547237949176
q67_base_slip5,q67_base,5,97,0.10185185185185186,0.8575526002028281,0.047641811122379335,0.023973368907025783,12,6,0,0.1964194197746206,,True,0.5670103092783505,0.6672123681621751,0.6641871278233363,0.19336547237949175
q67_base_slip10,q67_base,10,97,0.10185185185185186,0.760552600202828,0.04225292223349045,0.02147336890702578,12,6,0,0.20922405891467602,,True,0.5670103092783505,0.7457336955441402,0.6241871278233363,0.1363654723794917
q80_base_slip2,q80_base,2,65,0.39814814814814814,0.7515244308757278,0.04175135727087377,0.03005870347700315,13,5,0,0.15548924592511543,,True,0.6153846153846154,0.7204877887174901,0.6716232273852063,0.07990120349052164
q80_base_slip5,q80_base,5,65,0.39814814814814814,0.7125244308757277,0.03958469060420709,0.028858703477003145,13,5,0,0.1601845286830654,,True,0.6153846153846154,0.7557132808864172,0.6554232273852061,0.05710120349052161
q80_base_slip10,q80_base,10,65,0.39814814814814814,0.6475244308757276,0.03597357949309598,0.023813868838265365,13,5,0,0.1684001875162969,,True,0.6153846153846154,0.8238518115020828,0.6284232273852061,0.01910120349052158
q60_vol_high50_slip2,q60_vol_high50,2,70,0.35185185185185186,0.9564219888611696,0.05313455493673163,0.029289797616105655,10,6,2,0.12853329348332923,,True,0.6,0.5801391989323554,0.6802020197733999,0.2762199690877698
q60_vol_high50_slip5,q60_vol_high50,5,70,0.35185185185185186,0.9144219888611697,0.050801221603398304,0.02748979761610565,10,6,2,0.13216560762875124,,True,0.6,0.6035046107612727,0.6604020197733997,0.2540199690877698
q60_vol_high50_slip10,q60_vol_high50,10,70,0.35185185185185186,0.8444219888611697,0.046912332714509425,0.024489797616105646,10,6,2,0.13851353652580692,,True,0.6,0.6476120869338438,0.6274020197733997,0.21701996908776977
q60_vol_low50_slip2,q60_vol_low50,2,38,0.6481481481481481,0.1895581791561402,0.0105310099531189,0.0004482533432511246,9,5,4,0.16296740559638742,,True,0.5526315789473685,1.769360781181123,0.1689761433211891,0.020582035834951093
q60_vol_low50_slip5,q60_vol_low50,5,38,0.6481481481481481,0.1667581791561401,0.009264343286452228,0.0,8,6,4,0.17416373292286513,,True,0.5526315789473685,1.993286384110416,0.16177614332118906,0.0049820358349510485
