variant,block,trade_count,net_pnl
q50_base_slip2,block_1,40,0.5184842077605105
q50_base_slip2,block_2,41,0.31705718154053886
q50_base_slip2,block_3,53,0.1976611515036117
q50_base_slip5,block_1,40,0.4944842077605105
q50_base_slip5,block_2,41,0.2924571815405388
q50_base_slip5,block_3,53,0.1658611515036117
q50_base_slip10,block_1,40,0.45448420776051046
q50_base_slip10,block_2,41,0.25145718154053875
q50_base_slip10,block_3,53,0.11286115150361165
q60_base_slip2,block_1,35,0.644084935238315
q60_base_slip2,block_2,29,0.35301643122638243
q60_base_slip2,block_3,44,0.14887880155261243
q60_base_slip5,block_1,35,0.6230849352383149
q60_base_slip5,block_2,29,0.3356164312263824
q60_base_slip5,block_3,44,0.12247880155261237
q60_base_slip10,block_1,35,0.5880849352383148
q60_base_slip10,block_2,29,0.3066164312263824
q60_base_slip10,block_3,44,0.07847880155261233
q60_edge20_slip2,block_1,31,0.6552826563820716
q60_edge20_slip2,block_2,28,0.25474313106054486
q60_edge20_slip2,block_3,39,0.048298072796824076
q60_edge20_slip5,block_1,31,0.6366826563820714
q60_edge20_slip5,block_2,28,0.23794313106054488
q60_edge20_slip5,block_3,39,0.02489807279682399
q60_edge20_slip10,block_1,31,0.6056826563820714
q60_edge20_slip10,block_2,28,0.20994313106054485
q60_edge20_slip10,block_3,39,-0.014101927203176046
q67_base_slip2,block_1,33,0.6710543874284439
q67_base_slip2,block_2,25,0.2064719727585036
q67_base_slip2,block_3,39,0.03822624001588078
q67_base_slip5,block_1,33,0.6512543874284438
q67_base_slip5,block_2,25,0.19147197275850358
q67_base_slip5,block_3,39,0.014826240015880732
q67_base_slip10,block_1,33,0.6182543874284437
q67_base_slip10,block_2,25,0.16647197275850356
q67_base_slip10,block_3,39,-0.024173759984119303
q80_base_slip2,block_1,24,0.4735616192515192
q80_base_slip2,block_2,15,0.3362497189693984
q80_base_slip2,block_3,26,-0.058286907345189806
q80_base_slip5,block_1,24,0.4591616192515191
q80_base_slip5,block_2,15,0.3272497189693985
q80_base_slip5,block_3,26,-0.07388690734518988
q80_base_slip10,block_1,24,0.4351616192515191
q80_base_slip10,block_2,15,0.31224971896939846
q80_base_slip10,block_3,26,-0.0998869073451899
q60_vol_high50_slip2,block_1,26,0.5775079954707145
q60_vol_high50_slip2,block_2,12,0.21985516927112947
q60_vol_high50_slip2,block_3,32,0.15905882411932576
q60_vol_high50_slip5,block_1,26,0.5619079954707143
q60_vol_high50_slip5,block_2,12,0.21265516927112948
q60_vol_high50_slip5,block_3,32,0.1398588241193257
q60_vol_high50_slip10,block_1,26,0.5359079954707143
q60_vol_high50_slip10,block_2,12,0.20065516927112947
