variant,block,trade_count,net_pnl
q60_vol_high50_slip10,block_3,32,0.10785882411932568
q60_vol_low50_slip2,block_1,9,0.06657693976760055
q60_vol_low50_slip2,block_2,17,0.13316126195525296
q60_vol_low50_slip2,block_3,12,-0.010180022566713326
q60_vol_low50_slip5,block_1,9,0.061176939767600524
q60_vol_low50_slip5,block_2,17,0.12296126195525292
q60_vol_low50_slip5,block_3,12,-0.017380022566713338
q60_vol_low50_slip10,block_1,9,0.052176939767600516
q60_vol_low50_slip10,block_2,17,0.1059612619552529
q60_vol_low50_slip10,block_3,12,-0.02938002256671335
q60_vol_high67_slip2,block_1,19,0.5004326113264838
q60_vol_high67_slip2,block_2,8,0.1688367348813108
q60_vol_high67_slip2,block_3,23,0.2028227863089061
q60_vol_high67_slip5,block_1,19,0.4890326113264838
q60_vol_high67_slip5,block_2,8,0.16403673488131076
q60_vol_high67_slip5,block_3,23,0.18902278630890612
q60_vol_high67_slip10,block_1,19,0.4700326113264838
q60_vol_high67_slip10,block_2,8,0.15603673488131076
q60_vol_high67_slip10,block_3,23,0.1660227863089061
q60_volume_high50_slip2,block_1,19,0.3447029261541296
q60_volume_high50_slip2,block_2,20,0.19127423743828964
q60_volume_high50_slip2,block_3,29,0.4817648941573478
q60_volume_high50_slip5,block_1,19,0.3333029261541296
q60_volume_high50_slip5,block_2,20,0.17927423743828963
q60_volume_high50_slip5,block_3,29,0.46436489415734783
q60_volume_high50_slip10,block_1,19,0.3143029261541296
q60_volume_high50_slip10,block_2,20,0.1592742374382896
q60_volume_high50_slip10,block_3,29,0.4353648941573478
q60_volume_high67_slip2,block_1,14,0.15240133299351105
q60_volume_high67_slip2,block_2,16,0.2635756839586958
q60_volume_high67_slip2,block_3,22,0.33174555063558875
q60_volume_high67_slip5,block_1,14,0.14400133299351103
q60_volume_high67_slip5,block_2,16,0.25397568395869574
q60_volume_high67_slip5,block_3,22,0.31854555063558876
q60_volume_high67_slip10,block_1,14,0.13000133299351102
q60_volume_high67_slip10,block_2,16,0.23797568395869573
q60_volume_high67_slip10,block_3,22,0.29654555063558874
q60_qqq_same_slip2,block_1,35,0.644084935238315
q60_qqq_same_slip2,block_2,27,0.4087842571801131
q60_qqq_same_slip2,block_3,44,0.14887880155261243
q60_qqq_same_slip5,block_1,35,0.6230849352383149
q60_qqq_same_slip5,block_2,27,0.392584257180113
q60_qqq_same_slip5,block_3,44,0.12247880155261237
q60_qqq_same_slip10,block_1,35,0.5880849352383148
q60_qqq_same_slip10,block_2,27,0.365584257180113
q60_qqq_same_slip10,block_3,44,0.07847880155261233
q60_qqq_opposite_slip2,block_1,0,0.0
q60_qqq_opposite_slip2,block_2,2,-0.055767825953730615
q60_qqq_opposite_slip2,block_3,0,0.0
q60_qqq_opposite_slip5,block_1,0,0.0
q60_qqq_opposite_slip5,block_2,2,-0.05696782595373062
q60_qqq_opposite_slip5,block_3,0,0.0
q60_qqq_opposite_slip10,block_1,0,0.0
q60_qqq_opposite_slip10,block_2,2,-0.058967825953730624
q60_qqq_opposite_slip10,block_3,0,0.0
q60_day_extension_slip2,block_1,16,0.466866313067987
q60_day_extension_slip2,block_2,14,0.14925681134560415
q60_day_extension_slip2,block_3,17,0.016795614806132633
q60_day_extension_slip5,block_1,16,0.45726631306798693
q60_day_extension_slip5,block_2,14,0.14085681134560413
q60_day_extension_slip5,block_3,17,0.006595614806132577
q60_day_extension_slip10,block_1,16,0.4412663130679869
q60_day_extension_slip10,block_2,14,0.12685681134560411
q60_day_extension_slip10,block_3,17,-0.010404385193867438
q60_day_reversal_slip2,block_1,19,0.17721862217032797
q60_day_reversal_slip2,block_2,15,0.2037596198807783
q60_day_reversal_slip2,block_3,27,0.13208318674647984
q60_day_reversal_slip5,block_1,19,0.16581862217032795
q60_day_reversal_slip5,block_2,15,0.19475961988077828
q60_day_reversal_slip5,block_3,27,0.1158831867464798
q60_day_reversal_slip10,block_1,19,0.14681862217032793
q60_day_reversal_slip10,block_2,15,0.17975961988077827
q60_day_reversal_slip10,block_3,27,0.08888318674647977
q60_prior5_same_slip2,block_1,20,0.3615896062649335
q60_prior5_same_slip2,block_2,19,0.15339269978720388
q60_prior5_same_slip2,block_3,28,-0.15133420147723764
q60_prior5_same_slip5,block_1,20,0.3495896062649335
q60_prior5_same_slip5,block_2,19,0.14199269978720386
q60_prior5_same_slip5,block_3,28,-0.16813420147723768
q60_prior5_same_slip10,block_1,20,0.3295896062649335
q60_prior5_same_slip10,block_2,19,0.12299269978720384
q60_prior5_same_slip10,block_3,28,-0.1961342014772377
q60_prior5_opposite_slip2,block_1,15,0.28249532897338137
q60_prior5_opposite_slip2,block_2,10,0.19962373143917855
q60_prior5_opposite_slip2,block_3,16,0.3002130030298501
q60_prior5_opposite_slip5,block_1,15,0.27349532897338136
q60_prior5_opposite_slip5,block_2,10,0.19362373143917855
q60_prior5_opposite_slip5,block_3,16,0.29061300302985005
q60_prior5_opposite_slip10,block_1,15,0.25849532897338134
q60_prior5_opposite_slip10,block_2,10,0.18362373143917854
q60_prior5_opposite_slip10,block_3,16,0.27461300302985003
q60_smh_above_sma20_slip2,block_1,8,0.05089321388262935
q60_smh_above_sma20_slip2,block_2,25,0.3385139140440547
q60_smh_above_sma20_slip2,block_3,28,-0.16284853027560348
q60_smh_above_sma20_slip5,block_1,8,0.046093213882629325
q60_smh_above_sma20_slip5,block_2,25,0.3235139140440546
q60_smh_above_sma20_slip5,block_3,28,-0.17964853027560346
q60_smh_above_sma20_slip10,block_1,8,0.03809321388262932
q60_smh_above_sma20_slip10,block_2,25,0.2985139140440546
q60_smh_above_sma20_slip10,block_3,28,-0.20764853027560348
q60_smh_below_sma20_slip2,block_1,27,0.5931917213556857
q60_smh_below_sma20_slip2,block_2,4,0.014502517182327798
q60_smh_below_sma20_slip2,block_3,16,0.3117273318282159
q60_smh_below_sma20_slip5,block_1,27,0.5769917213556855
q60_smh_below_sma20_slip5,block_2,4,0.012102517182327799
q60_smh_below_sma20_slip5,block_3,16,0.30212733182821583
q60_smh_below_sma20_slip10,block_1,27,0.5499917213556855
q60_smh_below_sma20_slip10,block_2,4,0.008102517182327797
q60_smh_below_sma20_slip10,block_3,16,0.2861273318282158
q60_qqq_above_sma20_slip2,block_1,11,0.10294220037932908
q60_qqq_above_sma20_slip2,block_2,25,0.2179348480674097
q60_qqq_above_sma20_slip2,block_3,15,0.06174345698251982
q60_qqq_above_sma20_slip5,block_1,11,0.09634220037932906
q60_qqq_above_sma20_slip5,block_2,25,0.2029348480674097
q60_qqq_above_sma20_slip5,block_3,15,0.05274345698251981
q60_qqq_above_sma20_slip10,block_1,11,0.08534220037932905
q60_qqq_above_sma20_slip10,block_2,25,0.17793484806740967
q60_qqq_above_sma20_slip10,block_3,15,0.037743456982519796
q60_qqq_below_sma20_slip2,block_1,24,0.5411427348589859
q60_qqq_below_sma20_slip2,block_2,4,0.13508158315897273
q60_qqq_below_sma20_slip2,block_3,29,0.08713534457009253
q60_qqq_below_sma20_slip5,block_1,24,0.5267427348589858
q60_qqq_below_sma20_slip5,block_2,4,0.13268158315897272
q60_qqq_below_sma20_slip5,block_3,29,0.06973534457009256
q60_qqq_below_sma20_slip10,block_1,24,0.5027427348589858
q60_qqq_below_sma20_slip10,block_2,4,0.1286815831589727
q60_qqq_below_sma20_slip10,block_3,29,0.040735344570092535
q60_edge20_vol_high50_slip2,block_1,23,0.5518093662495076
q60_edge20_vol_high50_slip2,block_2,12,0.21985516927112947
q60_edge20_vol_high50_slip2,block_3,28,0.07946846969508792
q60_edge20_vol_high50_slip5,block_1,23,0.5380093662495075
q60_edge20_vol_high50_slip5,block_2,12,0.21265516927112948
q60_edge20_vol_high50_slip5,block_3,28,0.06266846969508799
q60_edge20_vol_high50_slip10,block_1,23,0.5150093662495074
q60_edge20_vol_high50_slip10,block_2,12,0.20065516927112947
q60_edge20_vol_high50_slip10,block_3,28,0.03466846969508797
q60_edge20_qqq_same_slip2,block_1,31,0.6552826563820716
q60_edge20_qqq_same_slip2,block_2,26,0.31051095701427556
q60_edge20_qqq_same_slip2,block_3,39,0.048298072796824076
q60_edge20_qqq_same_slip5,block_1,31,0.6366826563820714
q60_edge20_qqq_same_slip5,block_2,26,0.2949109570142755
q60_edge20_qqq_same_slip5,block_3,39,0.02489807279682399
q60_edge20_qqq_same_slip10,block_1,31,0.6056826563820714
q60_edge20_qqq_same_slip10,block_2,26,0.2689109570142755
q60_edge20_qqq_same_slip10,block_3,39,-0.014101927203176046
q60_edge20_day_extension_slip2,block_1,15,0.480820529935457
q60_edge20_day_extension_slip2,block_2,13,0.05098351117976663
q60_edge20_day_extension_slip2,block_3,15,-0.062162528120459276
q60_edge20_day_extension_slip5,block_1,15,0.471820529935457
q60_edge20_day_extension_slip5,block_2,13,0.0431835111797666
q60_edge20_day_extension_slip5,block_3,15,-0.07116252812045931
q60_edge20_day_extension_slip10,block_1,15,0.45682052993545696
q60_edge20_day_extension_slip10,block_2,13,0.030183511179766587
q60_edge20_day_extension_slip10,block_3,15,-0.08616252812045933
q67_volume_high50_slip2,block_1,19,0.3447029261541296
q67_volume_high50_slip2,block_2,20,0.19127423743828964
q67_volume_high50_slip2,block_3,27,0.40733093901317574
q67_volume_high50_slip5,block_1,19,0.3333029261541296
q67_volume_high50_slip5,block_2,20,0.17927423743828963
q67_volume_high50_slip5,block_3,27,0.39113093901317575
q67_volume_high50_slip10,block_1,19,0.3143029261541296
q67_volume_high50_slip10,block_2,20,0.1592742374382896
q67_volume_high50_slip10,block_3,27,0.3641309390131757
