variant,threshold,pressure_state,activation_state,exit,leg,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,trade_count,win_rate,early_half_net,late_half_net,top_5_day_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
q50_all_always_next_open_both_reversal_c5,q50,all,always,next_open,both_reversal,5,0.8697768626570243,0.6305554689569072,37.0,False,187,0.5561497326203209,0.14003725605536976,0.7297396066016545,0.7343071254709588,0.048320936814279125,6,0,0.09084922812443609,3,0,0.07504470719917943,2,0
q50_edge25_always_next_open_both_reversal_c5,q50,edge25,always,next_open,both_reversal,5,1.1944449725561048,0.22825435694337534,11.0,False,134,0.582089552238806,0.5865922533771597,0.6078527191789452,0.5213455428268193,0.06635805403089473,7,0,0.08543425200015883,4,0,0.06362380147881709,3,0
q60_edge25_always_next_open_both_reversal_c5,q60,edge25,always,next_open,both_reversal,5,1.204709346141617,0.18445916002593093,7.0,False,108,0.5740740740740741,0.6829174638006615,0.5217918823409554,0.5169035706317376,0.06692829700786761,7,0,0.08448155626345365,4,0,0.05928030628104728,3,0
q50_all_always_next_0934_close_both_reversal_c5,q50,all,always,next_0934_close,both_reversal,5,0.8059829766333354,0.5977467561541346,30.0,False,187,0.5561497326203209,0.2742600640243673,0.5317229126089681,0.7121190211700431,0.044776832035185295,7,0,0.08255973236355167,4,0,0.06407441041282054,3,0
q50_all_always_next_open_both_reversal_c10,q50,all,always,next_open,both_reversal,10,0.6827768626570241,0.6682054362348219,86.0,False,187,0.5401069518716578,0.04703725605536968,0.6357396066016544,0.9280972781544641,0.037932047925390226,7,0,0.07998256145776941,4,0,0.06462804053251274,3,0
q60_edge25_always_next_open_both_reversal_c10,q60,edge25,always,next_open,both_reversal,10,1.096709346141617,0.2032883226855869,11.0,False,108,0.5648148148148148,0.6289174638006615,0.46779188234095537,0.5632472858622491,0.0609282970078676,7,0,0.0781482229301203,4,0,0.053196972947713944,3,0
q50_edge25_always_next_open_both_reversal_c10,q50,edge25,always,next_open,both_reversal,10,1.060444972556105,0.2500850677943788,11.0,False,134,0.5671641791044776,0.5195922533771596,0.5408527191789452,0.5825088322169835,0.058913609586450276,7,0,0.07743425200015887,4,0,0.055790468145483746,3,0
q50_edge20_always_next_open_both_reversal_c5,q50,edge20,always,next_open,both_reversal,5,1.091585549308836,0.17986863959943636,,True,120,0.5833333333333334,0.5542910056032283,0.5372945437056078,0.570471607093294,0.060643641628268664,6,0,0.07709377447686293,4,0,0.051182745788387975,3,0
q60_edge25_always_next_0934_close_both_reversal_c5,q60,edge25,always,next_0934_close,both_reversal,5,1.1841091168267686,0.17240828838278727,,True,108,0.5833333333333334,0.8301890280399816,0.3539200887867867,0.4847153021994817,0.06578383982370936,5,0,0.07627359471036117,4,0,0.045740559854611236,3,0
q60_edge20_always_next_open_both_reversal_c5,q60,edge20,always,next_open,both_reversal,5,1.0898399422567753,0.16532498391471326,,True,98,0.5816326530612245,0.6296147420176151,0.46022520023916,0.5713853369188686,0.06054666345870971,6,0,0.07534041336431956,4,0,0.04842395414185894,3,0
q50_edge33_always_next_open_both_reversal_c5,q50,edge33,always,next_open,both_reversal,5,1.0096576164893836,0.27736101933555407,13.0,False,153,0.5686274509803921,0.2867339851488996,0.722923631340484,0.6167621106640516,0.056092089804965745,8,0,0.07412283262416694,5,0,0.06850678469693451,4,0
q50_edge25_always_next_0934_close_both_reversal_c5,q50,edge25,always,next_0934_close,both_reversal,5,1.08736331786347,0.19357330218715743,,True,134,0.5746268656716418,0.649630352877327,0.4377329649861431,0.527841797650116,0.060409073214637225,6,0,0.07249050552302588,4,0,0.04824807717959445,3,0
q50_all_always_next_0934_close_both_reversal_c10,q50,all,always,next_0934_close,both_reversal,10,0.6189829766333352,0.6349116541380251,59.0,False,187,0.5561497326203209,0.18126006402436723,0.437722912608968,0.9191784425064712,0.034387943146296396,7,0,0.07169306569688502,4,0,0.05365774374615387,3,0
q50_all_always_next_0934_close_negative_signal_bull_c5,q50,all,always,next_0934_close,negative_signal_bull,5,0.8113443233274423,0.35745462346086404,194.0,False,86,0.6046511627906976,-0.09156725390641074,0.9029115772338531,0.5517176178744491,0.04507468462930235,7,0,0.07130576479945515,4,0,0.08763344437257191,2,0
q60_all_always_next_open_both_reversal_c5,q60,all,always,next_open,both_reversal,5,0.7641348722179901,0.4154812088623991,29.0,False,146,0.541095890410959,0.21362956295221802,0.5505053092657721,0.8149327890068868,0.0424519373454439,9,0,0.07127999825820411,6,0,0.051735361149468244,5,0
q50_all_edge20_next_open_both_reversal_c5,q50,all,edge20,next_open,both_reversal,5,0.8133352606746426,0.35840656752015015,23.0,False,120,0.5833333333333334,0.1453721223509753,0.6679631383236673,0.6979640461638363,0.045185292259702366,7,0,0.07046672719479521,4,0,0.06424360816691047,3,0
q50_all_always_next_open_negative_signal_bull_c5,q50,all,always,next_open,negative_signal_bull,5,0.8158548634757363,0.31322516937789935,148.0,False,86,0.6395348837209303,0.010607334913314226,0.8052475285624221,0.49988045440270223,0.04532527019309646,7,0,0.07008917594482028,4,0,0.07923786503193131,2,0
q50_edge20_always_next_open_both_reversal_c10,q50,edge20,always,next_open,both_reversal,10,0.971585549308836,0.1936865195082532,,True,120,0.5666666666666667,0.49429100560322825,0.47729454370560775,0.6357840161717708,0.05397697496160201,6,0,0.0699604411435296,4,0,0.04409941245505464,3,0
q60_edge25_always_next_0934_close_both_reversal_c10,q60,edge25,always,next_0934_close,both_reversal,10,1.0761091168267682,0.18357112431027073,,True,108,0.5833333333333334,0.7761890280399816,0.29992008878678666,0.5287157217639658,0.059783839823709356,6,0,0.06994026137702783,5,0,0.0396572265212779,4,0
q60_edge33_always_next_open_both_reversal_c5,q60,edge33,always,next_open,both_reversal,5,0.9665323654839356,0.2099497815640582,11.0,False,123,0.5528455284552846,0.38698720625057415,0.5795451592333615,0.644281127908466,0.05369624252688531,8,0,0.06961082858139775,5,0,0.057685800036363394,4,0
q60_edge20_always_next_open_both_reversal_c10,q60,edge20,always,next_open,both_reversal,10,0.9918399422567751,0.1762087735955103,,True,98,0.5714285714285714,0.5806147420176151,0.41122520023916,0.6228006518758529,0.05510221901426527,6,0,0.06960708003098623,4,0,0.042840620808525604,3,0
q40_all_always_next_open_both_reversal_c5,q40,all,always,next_open,both_reversal,5,0.6657756867997323,0.5082802445426546,37.0,False,221,0.5384615384615384,0.06017418841878852,0.6056014983809438,0.9593071067056653,0.03698753815554068,8,0,0.06924049812807995,5,0,0.05847869842839678,4,0
q50_all_edge20_next_0934_close_both_reversal_c5,q50,all,edge20,next_0934_close,both_reversal,5,0.8591711484668445,0.3131655803470146,47.0,False,120,0.5916666666666667,0.33224149833246086,0.5269296501343836,0.6261537700720021,0.04773173047038025,7,0,0.06914998400503049,4,0,0.06027366381547028,3,0
q60_all_always_next_0934_close_both_reversal_c5,q60,all,always,next_0934_close,both_reversal,5,0.8182648099616456,0.33751410531932435,10.0,False,146,0.5547945205479452,0.46814456957362904,0.3501202403880166,0.7014303944303207,0.045459156108980305,7,0,0.06748917010517186,6,0,0.039968756136927935,5,0
q50_all_always_next_0934_close_negative_signal_bull_c10,q50,all,always,next_0934_close,negative_signal_bull,10,0.7253443233274423,0.38294000613067325,195.0,False,86,0.6046511627906976,-0.13456725390641078,0.859911577233853,0.6102383972781923,0.040296906851524567,7,0,0.06650576479945515,4,0,0.08296677770590523,2,0
q50_edge25_edge10_next_open_both_reversal_c5,q50,edge25,edge10,next_open,both_reversal,5,0.9405951623159279,0.13297322136898407,,True,76,0.6447368421052632,0.7228898820269913,0.21770528028893688,0.5473491896426564,0.052255286795329356,7,2,0.06646933883262886,5,1,0.03977757125138068,4,1
q40_edge25_always_next_open_both_reversal_c5,q40,edge25,always,next_open,both_reversal,5,0.9027555562915023,0.2403005929498559,11.0,False,148,0.5608108108108109,0.3658117983095872,0.5369437579819151,0.6897975407120621,0.050153086460639026,9,0,0.06531757982771372,7,0,0.04174913177167983,6,0
q50_all_always_next_open_negative_signal_bull_c10,q50,all,always,next_open,negative_signal_bull,10,0.7298548634757362,0.32744402290451563,241.0,False,86,0.6046511627906976,-0.03239266508668581,0.7622475285624221,0.5519315141130078,0.04054749241531868,7,0,0.06528917594482027,4,0,0.07457119836526464,2,0
q50_edge33_always_next_open_both_reversal_c10,q50,edge33,always,next_open,both_reversal,10,0.8566576164893834,0.3022036052785333,13.0,False,153,0.5555555555555556,0.21073398514889952,0.6459236313404839,0.721079869838154,0.04759208980496576,8,0,0.06492283262416694,5,0,0.059590118030267834,4,0
q50_all_edge40_next_open_both_reversal_c5,q50,all,edge40,next_open,both_reversal,5,0.7092489766885869,0.34653842114776456,23.0,False,130,0.5615384615384615,0.20622834825420222,0.5030206284343847,0.806491323230992,0.03940272092714372,6,0,0.06458317263932475,3,0,0.05458025987935858,2,0
q50_edge25_always_next_0934_close_both_reversal_c10,q50,edge25,always,next_0934_close,both_reversal,10,0.95336331786347,0.20889342260001026,,True,134,0.5746268656716418,0.5826303528773269,0.37073296498614305,0.5967880216693296,0.052964628770192784,7,0,0.06449050552302588,5,0,0.04041474384626111,4,0
q40_all_always_next_0934_close_both_reversal_c5,q40,all,always,next_0934_close,both_reversal,5,0.7581404137879987,0.3972465230091706,30.0,False,221,0.5384615384615384,0.2757579444394236,0.4823824693485751,0.7657871364095483,0.04211891187711104,8,0,0.06444957302474089,5,0,0.05537544495526894,4,0
q50_edge25_edge20_next_open_both_reversal_c5,q50,edge25,edge20,next_open,both_reversal,5,0.9610967242151265,0.12920951103785255,,True,80,0.6375,0.5972486167266603,0.3638481074884662,0.5409857626484972,0.05339426245639592,5,1,0.06398621196382101,4,0,0.051697203969380774,3,0
q60_edge33_always_next_0934_close_both_reversal_c5,q60,edge33,always,next_0934_close,both_reversal,5,1.0088819798002964,0.21019245046776447,,True,123,0.5691056910569106,0.6051282446375434,0.40375373516275304,0.5689028249998681,0.05604899887779426,5,0,0.06380700702570742,4,0,0.04620863542967643,3,0
q60_edge25_edge10_next_open_both_reversal_c5,q60,edge25,edge10,next_open,both_reversal,5,0.8905928902290244,0.11904012390289626,,True,57,0.631578947368421,0.7476354703916446,0.14295741983737986,0.5780800694950883,0.04947738279050137,8,2,0.06313585402683528,6,1,0.032065479817631116,5,1
q50_all_edge20_next_open_both_reversal_c10,q50,all,edge20,next_open,both_reversal,10,0.6933352606746425,0.37777496016641215,23.0,False,120,0.575,0.08537212235097524,0.6079631383236672,0.8115536614720612,0.03851862559303569,7,0,0.06313339386146186,4,0,0.05757694150024379,3,0
q50_edge33_always_next_0934_close_both_reversal_c5,q50,edge33,always,next_0934_close,both_reversal,5,0.9565151470598791,0.2288162749792646,,True,153,0.5686274509803921,0.38464251580968545,0.5718726312501936,0.6000488441443553,0.053139730392215506,6,0,0.06298251558656423,4,0,0.05612887089425656,3,0
q60_all_always_next_open_both_reversal_c10,q60,all,always,next_open,both_reversal,10,0.61813487221799,0.4444808687492357,30.0,False,146,0.5273972602739726,0.14062956295221796,0.47750530926577206,0.9993265068148179,0.03434082623433278,10,0,0.0628799982582041,7,0,0.0439020278161349,6,0
q60_edge33_always_next_open_both_reversal_c10,q60,edge33,always,next_open,both_reversal,10,0.8435323654839355,0.23077277055927187,11.0,False,123,0.5447154471544715,0.3259872062505741,0.5175451592333614,0.7322997763572971,0.04686290919355198,8,0,0.062344161914731085,5,0,0.05076913336969672,4,0
q50_all_edge40_next_0934_close_both_reversal_c5,q50,all,edge40,next_0934_close,both_reversal,5,0.7147503188507499,0.30674075442162874,50.0,False,130,0.5769230769230769,0.3122605372637117,0.4024897815870382,0.7535614205552961,0.039708351047263876,6,0,0.06186570534544514,3,0,0.0479020299830633,2,0
q50_all_edge20_next_0934_close_both_reversal_c10,q50,all,edge20,next_0934_close,both_reversal,10,0.7391711484668444,0.32882901598198755,37.0,False,120,0.5916666666666667,0.2722414983324608,0.4669296501343836,0.7210417436544646,0.04106506380371358,7,0,0.06181665067169715,4,0,0.053606997148803605,3,0
q50_edge25_edge10_next_open_both_reversal_c10,q50,edge25,edge10,next_open,both_reversal,10,0.864595162315928,0.14013352706319526,,True,76,0.618421052631579,0.6848898820269913,0.17970528028893684,0.589679450102139,0.04803306457310711,8,2,0.06173600549929552,6,1,0.035027571251380674,5,1
q60_edge20_always_next_0934_close_both_reversal_c5,q60,edge20,always,next_0934_close,both_reversal,5,0.9885240726317703,0.18720478839908417,,True,98,0.5816326530612245,0.7428036641576805,0.24572040847408982,0.5806189492905244,0.05491800403509836,5,0,0.06107328977487787,5,0,0.028502273908774477,4,0
q60_edge25_edge10_next_open_both_reversal_c10,q60,edge25,edge10,next_open,both_reversal,10,0.8335928902290244,0.12402311243651276,,True,57,0.6140350877192983,0.7196354703916445,0.11395741983737984,0.6116103026446786,0.04631071612383469,9,2,0.05966918736016861,7,1,0.028648813150964448,6,1
q40_edge20_always_next_open_both_reversal_c5,q40,edge20,always,next_open,both_reversal,5,0.8391501791452635,0.24225004340926945,,True,133,0.5639097744360902,0.37213906044313994,0.46701111870212353,0.7420823805678177,0.04661945439695908,10,0,0.05959403871115313,8,0,0.029308076081250727,7,0
q60_all_always_next_0934_close_both_reversal_c10,q60,all,always,next_0934_close,both_reversal,10,0.6722648099616455,0.3611794082045527,17.0,False,146,0.5547945205479452,0.395144569573629,0.2771202403880165,0.8463269235114492,0.03734804499786919,7,0,0.05908917010517186,6,0,0.0321354228035946,5,0
q50_edge25_edge20_next_open_both_reversal_c10,q50,edge25,edge20,next_open,both_reversal,10,0.8810967242151264,0.13635408211414976,,True,80,0.625,0.5572486167266603,0.32384810748846615,0.5844303243633059,0.04894981801195147,6,1,0.058986211963821,5,0,0.04703053730271411,4,0
q50_edge25_edge20_next_0934_close_both_reversal_c5,q50,edge25,edge20,next_0934_close,both_reversal,5,0.9365885621071652,0.13252722233887704,,True,80,0.6125,0.6803504480748273,0.256238114032338,0.5557143393717267,0.052032697894842515,5,1,0.058942064730528806,4,0,0.044941165105423404,3,0
q60_edge25_edge10_next_0934_close_both_reversal_c5,q60,edge25,edge10,next_0934_close,both_reversal,5,0.8691900220319841,0.12165479917855036,,True,57,0.5789473684210527,0.7983258707182136,0.07086415131377055,0.5988054175285349,0.04828833455733246,7,2,0.05761267591976446,6,1,0.02329714900926987,5,1
q50_edge20_edge10_next_open_both_reversal_c5,q50,edge20,edge10,next_open,both_reversal,5,0.8072936659746722,0.1415986039136455,,True,67,0.6417910447761194,0.6221898110120888,0.18510385496258341,0.6377282785364727,0.044849648109704016,7,2,0.057582572409878456,5,1,0.030447450057071408,4,1
q50_edge20_always_next_0934_close_both_reversal_c5,q50,edge20,always,next_0934_close,both_reversal,5,0.8956033831076676,0.21023566297533217,,True,120,0.5666666666666667,0.5945864340007062,0.3010169491069614,0.6408593571947782,0.04975574350598153,6,0,0.05754520788348898,5,0,0.028262592310612743,4,0
q50_edge25_always_next_open_negative_signal_bull_c5,q50,edge25,always,next_open,negative_signal_bull,5,0.9220312594481727,0.05371866729074418,28.0,False,57,0.6666666666666666,0.27594426775269976,0.6460869916954729,0.430165374400218,0.05122395885823181,5,1,0.057452398736343495,4,1,0.06300760440488427,3,0
q40_all_always_next_0934_close_negative_signal_bull_c5,q40,all,always,next_0934_close,negative_signal_bull,5,0.7670038320662784,0.36775058578943604,196.0,False,108,0.5740740740740741,-0.11948255221513093,0.8864863842814094,0.6372385691897876,0.04261132400368214,7,0,0.05730680998574522,5,0,0.08407348457139636,3,0
q50_all_edge10_next_open_both_reversal_c5,q50,all,edge10,next_open,both_reversal,5,0.5898135148428838,0.31094886601947674,53.0,False,107,0.5887850467289719,0.24855984504521333,0.34125366979767047,0.8809730792178955,0.03276741749127132,10,1,0.05703209108134109,7,1,0.03190490942676514,6,1
q50_edge25_edge10_next_0934_close_both_reversal_c5,q50,edge25,edge10,next_0934_close,both_reversal,5,0.8563581267112464,0.1396952601896717,,True,76,0.5789473684210527,0.7232295313324606,0.13312859537878585,0.6077780753401979,0.047575451483958135,6,2,0.056757216231715285,5,1,0.03050625928312704,4,1
