date,signal_ts,entry_quote_ts,exit_quote_ts,entry_ask,raw_entry_ask,entry_ask_size_raw,limit,effective_target_bp,target_hit,exit,exit_bid_size_raw,shares_2000,net_return,config
2025-05-16,2025-05-16 14:45:00+00:00,2025-05-16 14:46:00.011109242+00:00,2025-05-16 14:46:03.607183843+00:00,17.86,17.86,66,17.87,5.599104143338973,True,17.87,197,111,0.0005599104143338973,t1_h5
2025-05-16,2025-05-16 17:16:00+00:00,2025-05-16 17:17:00.002126508+00:00,2025-05-16 17:22:00.002320810+00:00,18.27,18.27,158,18.28,5.473453749316182,False,18.21,454,109,-0.003284072249589376,t1_h5
2025-05-16,2025-05-16 19:06:00+00:00,2025-05-16 19:07:00.007664363+00:00,2025-05-16 19:12:00.007905565+00:00,18.41,18.41,134,18.42,5.431830526887449,False,18.35,148,108,-0.0032590983161324694,t1_h5
2025-05-19,2025-05-19 14:06:00+00:00,2025-05-19 14:07:00.020959778+00:00,2025-05-19 14:07:24.045036701+00:00,17.89,17.89,27,17.9,5.589714924538747,True,17.9,1,111,0.0005589714924538747,t1_h5
2025-05-19,2025-05-19 14:16:00+00:00,2025-05-19 14:17:00.165507485+00:00,2025-05-19 14:17:19.643235085+00:00,18.01,18.01,80,18.02,5.552470849528035,True,18.02,1,111,0.0005552470849528035,t1_h5
2025-05-20,2025-05-20 15:56:00+00:00,2025-05-20 15:57:00.014125459+00:00,2025-05-20 16:02:00.308683602+00:00,17.85,17.85,554,17.86,5.6022408963585235,False,17.83,20,112,-0.0011204481792719267,t1_h5
2025-05-20,2025-05-20 18:30:00+00:00,2025-05-20 18:31:00.004323724+00:00,2025-05-20 18:33:11.476457843+00:00,17.56,17.56,103,17.57,5.694760820047495,True,17.57,1,113,0.0005694760820047495,t1_h5
2025-05-21,2025-05-21 15:08:00+00:00,2025-05-21 15:09:00.085751649+00:00,2025-05-21 15:09:02.073792957+00:00,18.24,18.24,237,18.25,5.482456140351033,True,18.25,4,109,0.0005482456140351033,t1_h5
2025-05-21,2025-05-21 15:14:00+00:00,2025-05-21 15:15:00.004383005+00:00,2025-05-21 15:15:01.817744367+00:00,18.31,18.31,413,18.32,5.461496450027692,True,18.32,536,109,0.0005461496450027692,t1_h5
2025-05-21,2025-05-21 15:54:00+00:00,2025-05-21 15:55:00.010932265+00:00,2025-05-21 15:55:16.584145205+00:00,18.52,18.52,284,18.53,5.399568034558655,True,18.53,188,107,0.0005399568034558655,t1_h5
2025-05-21,2025-05-21 17:19:00+00:00,2025-05-21 17:20:00.007674413+00:00,2025-05-21 17:25:00.000077558+00:00,17.91,17.91,60,17.92,5.583472920156485,False,17.51,129,111,-0.022333891680625273,t1_h5
2025-05-21,2025-05-21 17:31:00+00:00,2025-05-21 17:32:00.000417418+00:00,2025-05-21 17:32:02.731806257+00:00,17.4,17.4,65,17.41,5.747126436781436,True,17.41,1,114,0.0005747126436781436,t1_h5
2025-05-21,2025-05-21 17:32:00+00:00,2025-05-21 17:33:00.000480072+00:00,2025-05-21 17:33:29.384298712+00:00,17.5,17.5,88,17.51,5.714285714286671,True,17.51,46,114,0.0005714285714286671,t1_h5
2025-05-21,2025-05-21 17:33:00+00:00,2025-05-21 17:34:00.000522415+00:00,2025-05-21 17:34:07.742518479+00:00,17.56,17.56,32,17.57,5.694760820047495,True,17.57,96,113,0.0005694760820047495,t1_h5
2025-05-21,2025-05-21 17:36:00+00:00,2025-05-21 17:37:00.000634701+00:00,2025-05-21 17:37:02.407001285+00:00,17.46,17.46,81,17.47,5.727376861395239,True,17.47,28,114,0.0005727376861395239,t1_h5
2025-05-21,2025-05-21 17:38:00+00:00,2025-05-21 17:39:00.000720147+00:00,2025-05-21 17:39:01.765641356+00:00,17.51,17.51,97,17.52,5.7110222729850335,True,17.52,34,114,0.0005711022272985034,t1_h5
2025-05-21,2025-05-21 17:39:00+00:00,2025-05-21 17:40:00.000742615+00:00,2025-05-21 17:45:00.000945658+00:00,17.65,17.65,40,17.66,5.665722379604166,False,17.45,126,113,-0.011331444759206777,t1_h5
2025-05-21,2025-05-21 17:46:00+00:00,2025-05-21 17:47:00.000990632+00:00,2025-05-21 17:47:01.913773290+00:00,17.55,17.55,50,17.56,5.698005698004938,True,17.56,47,113,0.0005698005698004938,t1_h5
2025-05-21,2025-05-21 17:50:00+00:00,2025-05-21 17:51:00.001182419+00:00,2025-05-21 17:56:00.001384620+00:00,17.57,17.57,143,17.58,5.691519635742104,False,17.4,62,113,-0.009675583380762798,t1_h5
2025-05-21,2025-05-21 17:58:00+00:00,2025-05-21 17:59:00.001450848+00:00,2025-05-21 17:59:04.332933730+00:00,17.4,17.4,5,17.41,5.747126436781436,True,17.41,8,114,0.0005747126436781436,t1_h5
2025-05-21,2025-05-21 17:59:00+00:00,2025-05-21 18:00:00.001474439+00:00,2025-05-21 18:00:00.930728912+00:00,17.44,17.44,42,17.45,5.733944954127157,True,17.45,1,114,0.0005733944954127157,t1_h5
2025-05-21,2025-05-21 18:06:00+00:00,2025-05-21 18:07:00.001727579+00:00,2025-05-21 18:07:01.174541001+00:00,17.4,17.4,69,17.41,5.747126436781436,True,17.41,120,114,0.0005747126436781436,t1_h5
2025-05-21,2025-05-21 18:09:00+00:00,2025-05-21 18:10:00.001850828+00:00,2025-05-21 18:15:00.000942866+00:00,17.45,17.45,97,17.46,5.730659025788842,False,17.29,7,114,-0.009169054441260704,t1_h5
2025-05-21,2025-05-21 18:23:00+00:00,2025-05-21 18:24:00.002337008+00:00,2025-05-21 18:24:11.261800454+00:00,17.19,17.19,123,17.2,5.817335660267542,True,17.2,17,116,0.0005817335660267542,t1_h5
2025-05-21,2025-05-21 18:25:00+00:00,2025-05-21 18:26:00.002402205+00:00,2025-05-21 18:26:01.415993075+00:00,17.26,17.26,118,17.27,5.793742757820297,True,17.27,2,115,0.0005793742757820297,t1_h5
2025-05-21,2025-05-21 19:12:00+00:00,2025-05-21 19:13:00.004225931+00:00,2025-05-21 19:13:04.563124791+00:00,16.88,16.88,20,16.89,5.924170616113944,True,16.89,171,118,0.0005924170616113944,t1_h5
2025-05-21,2025-05-21 19:13:00+00:00,2025-05-21 19:14:00.004253733+00:00,2025-05-21 19:14:13.165519177+00:00,16.92,16.92,50,16.93,5.910165484632746,True,16.93,7,118,0.0005910165484632746,t1_h5
2025-05-21,2025-05-21 19:14:00+00:00,2025-05-21 19:15:00.004311829+00:00,2025-05-21 19:15:02.957994180+00:00,16.96,16.96,16,16.97,5.89622641509413,True,16.97,4,117,0.000589622641509413,t1_h5
2025-05-21,2025-05-21 19:22:00+00:00,2025-05-21 19:23:00.004694318+00:00,2025-05-21 19:28:00.004797418+00:00,16.81,16.81,184,16.82,5.948839976206433,False,16.75,105,118,-0.0035693039857227493,t1_h5
2025-05-21,2025-05-21 19:30:00+00:00,2025-05-21 19:31:00.004855974+00:00,2025-05-21 19:31:25.370436854+00:00,16.79,16.79,252,16.8,5.9559261465169655,True,16.8,22,119,0.0005955926146516966,t1_h5
2025-05-21,2025-05-21 19:33:00+00:00,2025-05-21 19:34:00.004953999+00:00,2025-05-21 19:34:08.500180716+00:00,16.93,16.93,84,16.94,5.906674542233148,True,16.94,197,118,0.0005906674542233148,t1_h5
