extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,trade_roles,trade_sessions,role_coverage,positive_months,negative_months,worst_month,worst_year,recent12_net_simple_return,recent12_positive_months,recent12_negative_months,recent12_worst_month
0.0,2.7651388826899668,0.3441199899353878,447,187,1.0,51,22,-0.23555140187984347,-0.18312715175579308,1.6196434022038018,11,1,-0.0676732683440005
1.0,2.750238882689967,0.34573586018863967,447,187,1.0,51,22,-0.2358847352131768,-0.18519381842245974,1.617376735537135,11,1,-0.06793993501066718
2.0,2.7353388826899674,0.3473561277013184,447,187,1.0,51,22,-0.23621806854651012,-0.1872604850891264,1.6151100688704683,11,1,-0.06820660167733385
5.0,2.6906388826899668,0.3522434940251929,447,187,1.0,51,22,-0.23721806854651015,-0.1934604850891264,1.6083100688704683,11,1,-0.06900660167733384
10.0,2.616138882689967,0.3604787467690816,447,187,1.0,50,23,-0.2388847352131768,-0.20379381842245975,1.5969767355371347,11,1,-0.07033993501066717
