extra_bps,month,net_pnl
0.0,2019-06,0.0
0.0,2019-07,0.0
0.0,2019-08,0.0
0.0,2019-09,0.0
0.0,2019-10,0.0
0.0,2019-11,0.0
0.0,2019-12,0.0
0.0,2020-01,0.0
0.0,2020-02,0.0
0.0,2020-03,0.0
0.0,2020-04,0.007496494172058044
0.0,2020-05,0.039204419296644755
0.0,2020-06,0.053122044148631864
0.0,2020-07,0.06848262413789437
0.0,2020-08,0.05895243337410564
0.0,2020-09,0.005625019867034075
0.0,2020-10,0.03915015091272529
0.0,2020-11,0.27614830893454606
0.0,2020-12,0.0583185880733799
0.0,2021-01,0.023423373710393238
0.0,2021-02,0.027485868408397885
0.0,2021-03,-0.22107118969943151
0.0,2021-04,-0.07500617329256595
0.0,2021-05,0.11578705088085157
0.0,2021-06,0.08247786311175287
0.0,2021-07,-0.09017069643478953
0.0,2021-08,0.04256049258815575
0.0,2021-09,-0.09819636734695328
0.0,2021-10,0.09277956560560169
0.0,2021-11,0.015262441363375172
0.0,2021-12,-0.09845938065058091
0.0,2022-01,-0.16596124744134744
0.0,2022-02,0.08230451831998775
0.0,2022-03,0.08438903387190295
0.0,2022-04,-0.07225891973638512
0.0,2022-05,0.2129475097928247
0.0,2022-06,-0.23555140187984347
0.0,2022-07,0.06460517635461194
0.0,2022-08,0.0023019970528336507
0.0,2022-09,-0.06600386327637171
0.0,2022-10,0.13728090012950858
0.0,2022-11,0.12871635061227196
0.0,2022-12,-0.08433448518248925
0.0,2023-01,-0.02007626260156673
0.0,2023-02,0.021514752550608605
0.0,2023-03,-0.016464963936361612
0.0,2023-04,0.020508974551577817
0.0,2023-05,0.03384472350019398
0.0,2023-06,0.10131745761374567
0.0,2023-07,0.07140579076457046
0.0,2023-08,-0.0021830130939219927
0.0,2023-09,-0.062235078790871236
0.0,2023-10,0.014277296013505435
0.0,2023-11,0.11127134808319797
0.0,2023-12,0.01524689971317472
0.0,2024-01,0.11088081222052029
0.0,2024-02,0.13367704289607768
0.0,2024-03,0.011768587533795267
0.0,2024-04,-0.11066885480422059
0.0,2024-05,0.131070192583208
0.0,2024-06,-0.022667857694846277
0.0,2024-07,-0.036941967415093764
0.0,2024-08,-0.11395063984780379
0.0,2024-09,0.02135788942764271
0.0,2024-10,-0.09880194708067302
0.0,2024-11,0.25801475819169156
0.0,2024-12,-0.02041054243571211
0.0,2025-01,0.04524065979633285
0.0,2025-02,0.017567191765726492
0.0,2025-03,-0.1324366223852275
0.0,2025-04,0.1515603535881631
0.0,2025-05,0.13613112667027844
0.0,2025-06,0.09101590285532371
0.0,2025-07,0.048494501728884955
0.0,2025-08,-0.0676732683440005
0.0,2025-09,0.1349641171558126
0.0,2025-10,0.11107235979056357
0.0,2025-11,0.032532814383839675
