extra_bps,year,net_pnl
0.0,2019,0.0
0.0,2020,0.60650008291702
0.0,2021,-0.18312715175579308
0.0,2022,0.0884355686175046
0.0,2023,0.2884279243678531
0.0,2024,0.26332747357458597
0.0,2025,0.7165667142927475
0.0,2026,0.9850082706760488
1.0,2019,0.0
1.0,2020,0.6042667495836866
1.0,2021,-0.18519381842245974
1.0,2022,0.08556890195083794
1.0,2023,0.2863612577011864
1.0,2024,0.2603941402412527
1.0,2025,0.7141000476260809
1.0,2026,0.9847416040093822
2.0,2019,0.0
2.0,2020,0.6020334162503533
2.0,2021,-0.1872604850891264
2.0,2022,0.08270223528417127
2.0,2023,0.28429459103451976
2.0,2024,0.25746080690791934
2.0,2025,0.7116333809594143
2.0,2026,0.9844749373427155
5.0,2019,0.0
5.0,2020,0.5953334162503533
5.0,2021,-0.1934604850891264
5.0,2022,0.07410223528417124
5.0,2023,0.2780945910345197
5.0,2024,0.2486608069079193
5.0,2025,0.7042333809594142
5.0,2026,0.9836749373427155
10.0,2019,0.0
10.0,2020,0.5841667495836866
10.0,2021,-0.20379381842245975
10.0,2022,0.05976890195083791
10.0,2023,0.2677612577011864
10.0,2024,0.23399414024125267
10.0,2025,0.6919000476260809
10.0,2026,0.9823416040093822
