variant,month,net_pnl
all_state_marketable_nbbo_slip0,2024-11,-0.15219417026728055
all_state_marketable_nbbo_slip0,2024-12,-0.027071543338763826
all_state_marketable_nbbo_slip0,2025-01,-0.011695546975820537
all_state_marketable_nbbo_slip0,2025-02,0.026432092205487145
all_state_marketable_nbbo_slip0,2025-03,-0.007521169693603835
all_state_marketable_nbbo_slip0,2025-04,0.19126745856219773
all_state_marketable_nbbo_slip0,2025-05,0.12157399069023744
all_state_marketable_nbbo_slip0,2025-06,0.07859044975611806
all_state_marketable_nbbo_slip0,2025-07,-0.03061402592211171
all_state_marketable_nbbo_slip0,2025-08,0.1326618220575576
all_state_marketable_nbbo_slip0,2025-09,0.09378588822793099
all_state_marketable_nbbo_slip0,2025-10,0.1754247533111244
all_state_marketable_nbbo_slip0,2025-11,0.11479892304401396
all_state_marketable_nbbo_slip0,2025-12,0.01702823570879486
all_state_marketable_nbbo_slip0,2026-01,-0.17013742408920185
all_state_marketable_nbbo_slip0,2026-02,0.11244279343422425
all_state_marketable_nbbo_slip0,2026-03,0.05335400459270967
all_state_marketable_nbbo_slip0,2026-04,0.05705478722605195
all_state_marketable_nbbo_slip2,2024-11,-0.15819417026728053
all_state_marketable_nbbo_slip2,2024-12,-0.03147154333876383
all_state_marketable_nbbo_slip2,2025-01,-0.01649554697582054
all_state_marketable_nbbo_slip2,2025-02,0.021632092205487154
all_state_marketable_nbbo_slip2,2025-03,-0.011521169693603832
all_state_marketable_nbbo_slip2,2025-04,0.18726745856219776
all_state_marketable_nbbo_slip2,2025-05,0.11757399069023744
all_state_marketable_nbbo_slip2,2025-06,0.07539044975611806
all_state_marketable_nbbo_slip2,2025-07,-0.035814025922111706
all_state_marketable_nbbo_slip2,2025-08,0.12746182205755763
all_state_marketable_nbbo_slip2,2025-09,0.088185888227931
all_state_marketable_nbbo_slip2,2025-10,0.1686247533111244
all_state_marketable_nbbo_slip2,2025-11,0.10919892304401396
all_state_marketable_nbbo_slip2,2025-12,0.01262823570879486
all_state_marketable_nbbo_slip2,2026-01,-0.17693742408920185
all_state_marketable_nbbo_slip2,2026-02,0.10764279343422425
all_state_marketable_nbbo_slip2,2026-03,0.04935400459270968
all_state_marketable_nbbo_slip2,2026-04,0.05265478722605196
all_state_marketable_nbbo_slip5,2024-11,-0.16719417026728056
all_state_marketable_nbbo_slip5,2024-12,-0.03807154333876383
all_state_marketable_nbbo_slip5,2025-01,-0.023695546975820544
all_state_marketable_nbbo_slip5,2025-02,0.014432092205487135
all_state_marketable_nbbo_slip5,2025-03,-0.017521169693603844
all_state_marketable_nbbo_slip5,2025-04,0.18126745856219773
all_state_marketable_nbbo_slip5,2025-05,0.11157399069023743
all_state_marketable_nbbo_slip5,2025-06,0.07059044975611806
all_state_marketable_nbbo_slip5,2025-07,-0.04361402592211172
all_state_marketable_nbbo_slip5,2025-08,0.1196618220575576
all_state_marketable_nbbo_slip5,2025-09,0.07978588822793098
all_state_marketable_nbbo_slip5,2025-10,0.15842475331112438
all_state_marketable_nbbo_slip5,2025-11,0.10079892304401394
all_state_marketable_nbbo_slip5,2025-12,0.0060282357087948525
all_state_marketable_nbbo_slip5,2026-01,-0.18713742408920186
all_state_marketable_nbbo_slip5,2026-02,0.10044279343422424
all_state_marketable_nbbo_slip5,2026-03,0.04335400459270966
all_state_marketable_nbbo_slip5,2026-04,0.04605478722605194
vol_high_marketable_nbbo_slip0,2024-11,-0.03232636519478538
vol_high_marketable_nbbo_slip0,2024-12,-0.0013667502107956864
vol_high_marketable_nbbo_slip0,2025-01,-0.011695546975820537
vol_high_marketable_nbbo_slip0,2025-02,0.034758957972109705
vol_high_marketable_nbbo_slip0,2025-03,0.0011345680113141743
vol_high_marketable_nbbo_slip0,2025-04,0.19126745856219773
vol_high_marketable_nbbo_slip0,2025-05,0.10756036906159272
vol_high_marketable_nbbo_slip0,2025-06,0.0
vol_high_marketable_nbbo_slip0,2025-07,0.0
vol_high_marketable_nbbo_slip0,2025-08,0.022945520871920144
vol_high_marketable_nbbo_slip0,2025-09,0.0072178477690287846
vol_high_marketable_nbbo_slip0,2025-10,0.1684298641443257
vol_high_marketable_nbbo_slip0,2025-11,0.11479892304401396
vol_high_marketable_nbbo_slip0,2025-12,-0.0026204560607216987
vol_high_marketable_nbbo_slip0,2026-01,0.0
vol_high_marketable_nbbo_slip0,2026-02,0.067700323030222
vol_high_marketable_nbbo_slip0,2026-03,0.04297031458384537
vol_high_marketable_nbbo_slip0,2026-04,0.05705478722605195
vol_high_marketable_nbbo_slip2,2024-11,-0.035126365194785375
vol_high_marketable_nbbo_slip2,2024-12,-0.002566750210795686
vol_high_marketable_nbbo_slip2,2025-01,-0.01649554697582054
vol_high_marketable_nbbo_slip2,2025-02,0.033558957972109706
vol_high_marketable_nbbo_slip2,2025-03,-0.002465431988685822
vol_high_marketable_nbbo_slip2,2025-04,0.18726745856219776
vol_high_marketable_nbbo_slip2,2025-05,0.10556036906159272
vol_high_marketable_nbbo_slip2,2025-06,0.0
vol_high_marketable_nbbo_slip2,2025-07,0.0
vol_high_marketable_nbbo_slip2,2025-08,0.01934552087192015
vol_high_marketable_nbbo_slip2,2025-09,0.006817847769028784
vol_high_marketable_nbbo_slip2,2025-10,0.1644298641443257
vol_high_marketable_nbbo_slip2,2025-11,0.10919892304401396
vol_high_marketable_nbbo_slip2,2025-12,-0.004220456060721698
vol_high_marketable_nbbo_slip2,2026-01,0.0
