variant,block,net_pnl,event_count
all_state_marketable_nbbo_slip0,block_1,0.019217120492216133,70
all_state_marketable_nbbo_slip0,block_2,0.5714228781208568,75
all_state_marketable_nbbo_slip0,block_3,0.18454131991659284,75
all_state_marketable_nbbo_slip2,block_1,-0.008782879507783722,70
all_state_marketable_nbbo_slip2,block_2,0.5414228781208569,75
all_state_marketable_nbbo_slip2,block_3,0.15454131991659287,75
all_state_marketable_nbbo_slip5,block_1,-0.05078287950778393,70
all_state_marketable_nbbo_slip5,block_2,0.4964228781208567,75
all_state_marketable_nbbo_slip5,block_3,0.10954131991659277,75
vol_high_marketable_nbbo_slip0,block_1,0.18177232216422,44
vol_high_marketable_nbbo_slip0,block_2,0.30615360184686735,25
vol_high_marketable_nbbo_slip0,block_3,0.2799038918234116,47
vol_high_marketable_nbbo_slip2,block_1,0.16417232216421998,44
vol_high_marketable_nbbo_slip2,block_2,0.29615360184686734,25
vol_high_marketable_nbbo_slip2,block_3,0.2611038918234115,47
vol_high_marketable_nbbo_slip5,block_1,0.13777232216421997,44
vol_high_marketable_nbbo_slip5,block_2,0.28115360184686733,25
vol_high_marketable_nbbo_slip5,block_3,0.23290389182341154,47
