variant,candidate,additional_slippage_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,event_count,symbol_count,quote_coverage_fraction,trade_evidence_fraction,median_entry_spread_bps,median_exit_spread_bps,q90_entry_spread_bps,q90_exit_spread_bps,median_entry_delay_ms,median_exit_delay_ms,median_entry_ask_size_raw,median_exit_bid_size_raw,median_nbbo_minus_bar_bps,top_5_day_profit_share,top_symbol_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
all_state_marketable_nbbo_slip0,all_state,0,0.7751813185296658,0.23561791355903172,10,False,220,88,0.9482758620689655,1.0,27.96408622078941,3.3157740252176264,75.42423623751742,10.764924954499977,412.26800000000003,42.432,5.5,7.0,-17.264114911744734,0.5773399052027132,0.16324273030060787,0.04306562880720365,6,0,0.06440950527410204,3,0,0.0629970165031208,2,0
all_state_marketable_nbbo_slip2,all_state,2,0.6871813185296659,0.2592510563322355,32,False,220,88,0.9482758620689655,1.0,27.96408622078941,3.3157740252176264,75.42423623751742,10.764924954499977,412.26800000000003,42.432,5.5,7.0,-17.264114911744734,0.6483632440825691,0.1812370498972336,0.03817673991831477,6,0,0.05955617194076871,3,0,0.0579970165031208,2,0
all_state_marketable_nbbo_slip5,all_state,5,0.5551813185296656,0.2948061959613781,34,False,220,88,0.9482758620689655,1.0,27.96408622078941,3.3157740252176264,75.42423623751742,10.764924954499977,412.26800000000003,42.432,5.5,7.0,-17.264114911744734,0.7971145537224782,0.21892436012922745,0.03084340658498142,6,0,0.0522761719407687,3,0,0.050497016503120794,2,0
vol_high_marketable_nbbo_slip0,vol_high,0,0.7678298158344989,0.07785872478343508,5,False,116,69,0.9508196721311475,1.0,29.536426491681496,3.0291933172860652,95.21106836151701,10.937879839405685,408.04,52.3845,7.0,9.0,-18.78428083789685,0.5146595000216605,0.16555562609968466,0.042657211990805494,4,3,0.05421456521439337,1,3,0.048838124472523246,1,3
vol_high_marketable_nbbo_slip2,vol_high,2,0.721429815834499,0.0886689638826655,5,False,116,69,0.9508196721311475,1.0,29.536426491681496,3.0291933172860652,95.21106836151701,10.937879839405685,408.04,52.3845,7.0,9.0,-18.78428083789685,0.5449884389160081,0.173985803114188,0.040079434213027725,5,3,0.0517078985477267,2,3,0.04643812447252325,1,3
vol_high_marketable_nbbo_slip5,vol_high,5,0.6518298158344988,0.10950157873422572,5,False,116,69,0.9508196721311475,1.0,29.536426491681496,3.0291933172860652,95.21106836151701,10.937879839405685,408.04,52.3845,7.0,9.0,-18.78428083789685,0.5985778797485574,0.18888142718796117,0.03621276754636105,5,3,0.0479478985477267,2,3,0.04283812447252324,1,3
