participation_of_displayed_size,scope,roles,minimum_capital_dollars,p01_capital_dollars,p05_capital_dollars,p10_capital_dollars,median_capital_dollars
0.01,all,1414,6.933874337384923,23.482096265990123,90.98928000000001,173.56584000000004,8680.607234628027
0.01,CAM-0600,66,6.933874337384923,8.453587976363943,16.485038678110858,18.408803165954076,1101.0219225539847
0.01,CAM-0604,286,27.27209668542781,50.996173074782185,107.82827984831633,183.9029266220634,11061.884002222636
0.01,CAM-0621,988,16.962,43.09852800000001,112.35582000000001,201.20100000000002,9047.559000000001
0.01,CAM-0624,74,64.30190131166846,73.19758488980166,227.60471872554632,399.446446222796,13260.49423089552
0.05,all,1414,34.66937168692461,117.41048132995061,454.94640000000004,867.8292000000001,43403.036173140135
0.05,CAM-0600,66,34.66937168692461,42.267939881819714,82.4251933905543,92.04401582977039,5505.109612769924
0.05,CAM-0604,286,136.36048342713906,254.98086537391092,539.1413992415817,919.514633110317,55309.42001111318
0.05,CAM-0621,988,84.81,215.49264000000002,561.7791000000001,1006.0050000000001,45237.795
0.05,CAM-0624,74,321.5095065583423,365.9879244490083,1138.0235936277315,1997.23223111398,66302.4711544776
0.1,all,1414,69.33874337384923,234.82096265990123,909.8928000000001,1735.6584000000003,86806.07234628027
0.1,CAM-0600,66,69.33874337384923,84.53587976363943,164.8503867811086,184.08803165954077,11010.219225539848
0.1,CAM-0604,286,272.7209668542781,509.96173074782183,1078.2827984831633,1839.029266220634,110618.84002222636
0.1,CAM-0621,988,169.62,430.98528000000005,1123.5582000000002,2012.0100000000002,90475.59
0.1,CAM-0624,74,643.0190131166846,731.9758488980166,2276.047187255463,3994.46446222796,132604.9423089552
