"path","bytes","sha256"
"campaign/PLAN.yaml","2638","58cdc08113bf0994d3b2f35469ceab2af6fd2aec24b4e0daf58f2c8f8235f8cc"
"campaign/RESULTS.yaml","24754","a485a704862dafc563c5c8d2a194f5c10d10383f80ab1d6561288cd0f4f0c718"
"campaign/REVIEW.md","19913","963cff2748636af3bf7d0661acde06e571b3f17438c3295d290d48aaa4937233"
"campaign/RULE_CHECKLIST.md","1865","d899daf87ab4176fb9b81e7f5bd1e7a9e9c5fc6e4f32369e7d3af0336c626213"
"campaign/WORKLOG.jsonl","26509","6dd54480ba371a17ef160f333059caef9b05562b3340e1c2799518167a61f62e"
"charts/change-only-equity-oos.jpg","253142","caf84e41d290d6c063f799de3536b03a9a5ce49effac80e4ad3d69636bf6b10d"
"charts/fixed-risk-vs-compounding.jpg","308993","c892e1b2297cf01918466e6b70add6f1d45dc731c838f6df65b651df57508977"
"charts/qqq-top-n-last-year-compounded.jpeg","311423","2f0602a6569121b9657cdcaea7dc7209f043955c897dcf948b58dbda209d9f6c"
"charts/qqq-top-n-last-year-including-oos.jpeg","217905","71ec5a4610f0de1ab923df8f348547ed981e38cbd2f523cd58a9c6b5e3774770"
"charts/qqq-top-n-profit-drawdown.jpeg","225871","a3b88a798bb5438bac1260ab6be9e0a2c8a11cea755234445ed1eaf1c8312f99"
"charts/strategy-vs-qqq-spy.png","345918","85ddc1f632c5cc21ed6918d8d0f543dbddefdab25a1297ba4e1bda3cbb561519"
"README.md","3757","3a1b468e1a43558fbe95bdb0050baab2903eee6485c494f8e580839ba312e0e1"
"related_overnight_CAM-0630/PLAN.yaml","1630","2d253a4635b0b69188cf98cfb63880ab6380f37a9a9cd156147a511b111d8f52"
"related_overnight_CAM-0630/results/RUN-0001/metrics.csv","5188","33ee43bff23975265da5377443e8e887dbb9449e0cfabf58a936aa1303c3af57"
"related_overnight_CAM-0630/results/RUN-0001/report.json","15151","89bdd4c4122d20d7de647ade6027a29d8e5f31d3c23648f361ba6bffa8d80e08"
"related_overnight_CAM-0630/results/RUN-0002/metrics.csv","1640","e45cbb385f0d87271a1e18455fe4a55a7d315beecfa8208101bd467c500050ac"
"related_overnight_CAM-0630/results/RUN-0002/monthly.csv","15003","b2da161fde6274d430bd0d77351bdd899bf904a7e227ed809a2d03a4640dd041"
"related_overnight_CAM-0630/results/RUN-0002/quotes_0940_retry_120s_report.json","465","96d6eb6030a6dfa97b39039f6179f6558ce0f2b9a11b93e608fe2063c3eb114e"
