variant,net_simple_return,maximum_drawdown,positive_months,negative_months,worst_month,worst_year,recent12_return,recent12_positive_months,median_month,average_month,positive_years,negative_years,turnover,trade_sessions,average_utilization,trim_counts
control,3.6282963573587454,0.17233352173209557,48,25,-0.16536813445765458,-0.06881295092862345,1.1551976793162875,9,0.015713764799347142,0.04371441394408127,6,1,127.66666666666666,173,0.882830626450116,{}
weekly_t5_f25,3.549462921463693,0.16959666741366722,49,24,-0.162426921048403,-0.04680893309719587,1.1026199072385174,9,0.019046624486433066,0.042764613511610754,6,1,166.83333333333331,475,0.8502996906419179,{'stage_1': 272}
weekly_t5_f50,3.47062948556864,0.16795151647920337,51,22,-0.15948570763915143,-0.024804915265768335,1.0500421351607474,9,0.01969185856308807,0.041814813079140235,6,1,205.99999999999997,475,0.81776875483372,{'stage_1': 272}
weekly_t5_f75,3.3917960496735877,0.1662742134154901,50,23,-0.15654449422989986,-0.002800897434340782,0.9974643630829775,9,0.02452071065392826,0.040865012646669724,6,1,245.16666666666666,475,0.785237819025522,{'stage_1': 272}
weekly_t10_f25,3.572861800169296,0.17351675728072613,49,24,-0.16536813445765458,-0.08053183366406907,1.1557966790444276,9,0.018401390409778062,0.04304652771288309,6,1,142.16666666666666,296,0.8728248259860788,{'stage_1': 96}
weekly_t10_f50,3.5174272429798474,0.17468786672828324,49,24,-0.16536813445765458,-0.09225071639951478,1.1563956787725678,9,0.01816617887650731,0.04237864148168491,6,1,156.66666666666669,296,0.8628190255220418,{'stage_1': 96}
weekly_t10_f75,3.4619926857903986,0.17584703553154918,49,24,-0.16536813445765458,-0.10396959913496047,1.156994678500708,9,0.017156608001041164,0.04171075525048674,6,1,171.16666666666666,296,0.8528132250580046,{'stage_1': 96}
weekly_t15_f25,3.6219350608606593,0.16807840439172395,49,24,-0.16536813445765458,-0.06881295092862345,1.160742186253688,9,0.017342623698399035,0.04363777181759831,6,1,133.0,222,0.8795436968290796,{'stage_1': 35}
weekly_t15_f50,3.6155737643625727,0.16505876994379184,49,24,-0.16536813445765458,-0.06881295092862345,1.1662866931910885,9,0.017342623698399035,0.04356112969111534,6,1,138.33333333333331,222,0.8762567672080432,{'stage_1': 35}
weekly_t15_f75,3.609212467864487,0.16214571991098178,49,24,-0.16536813445765458,-0.06881295092862345,1.1718312001284885,9,0.017342623698399035,0.04348448756463237,6,1,143.66666666666666,222,0.872969837587007,{'stage_1': 35}
persistent_t5_f50,2.328440917153766,0.18657809648533527,50,23,-0.161515391237836,-0.08236003907709888,0.7494672428187843,9,0.017032365276826625,0.028053505025948982,6,1,128.0,251,0.6146558391337973,{'stage_1': 81}
persistent_t10_f25,3.071988348496907,0.1788981071276252,50,23,-0.16344176284774528,-0.07155327357371281,0.9853661990059277,9,0.019343098561731806,0.03701190781321574,6,1,127.83333333333333,218,0.7818058778035576,{'stage_1': 45}
persistent_t10_f50,2.515680339635068,0.18868368587354709,49,24,-0.161515391237836,-0.07429359621880217,0.8155347186955677,9,0.020347659634402132,0.030309401682350218,6,1,127.99999999999999,218,0.6807811291569992,{'stage_1': 45}
persistent_t15_f50,2.6259329923841292,0.18671246476920034,48,25,-0.15868925426064523,-0.0979866984836595,0.8124127663487135,9,0.02018532062743958,0.03163774689619434,6,1,128.0,207,0.7131670533642691,{'stage_1': 35}
weekly_ladder_5_10_f25,3.494028364274244,0.16979607382053452,49,24,-0.162426921048403,-0.058527815832641564,1.1032189069666578,9,0.019046624486433066,0.042096727280412576,6,1,181.33333333333331,507,0.8402938901778808,"{'stage_1': 272, 'stage_2': 96}"
weekly_ladder_10_20_f25,3.5845713760095514,0.1702574952682544,49,24,-0.16536813445765458,-0.08053183366406907,1.1557966790444276,9,0.018401390409778062,0.043187606939874106,6,1,144.5,301,0.8716163959783448,"{'stage_1': 96, 'stage_2': 14}"
persistent_ladder_10_20_f25,2.6631143535673196,0.1834901171957183,47,26,-0.16010232274924063,-0.08353264115306033,0.8290151263378858,8,0.020052043073698796,0.032085715103220724,6,1,128.0,241,0.7021945088940448,"{'stage_1': 45, 'stage_2': 31}"
