candidate,daily_rows,minimum_date,maximum_date,net_recomputed,net_saved,drawdown_recomputed,drawdown_saved,positive_months_recomputed,positive_months_saved,negative_months_recomputed,negative_months_saved,trade_session_fraction,role_coverage,holdout_rows_loaded,passed
ma200_uncapped,251,2025-05-01,2026-04-30,1.0012848486374664,1.0012848486374664,0.10603343232491932,0.1060334323249193,9,9,3,3,0.6852589641434262,1.0,0,True
ma200_corr08,251,2025-05-01,2026-04-30,0.9311867876565788,0.9311867876565788,0.12247278296022279,0.1224727829602227,9,9,3,3,0.6573705179282868,1.0,0,True
ma50_200,251,2025-05-01,2026-04-30,0.9659245118646022,0.9659245118646022,0.10603604465814999,0.1060360446581499,9,9,3,3,0.6693227091633466,1.0,0,True
cluster_residual,251,2025-05-01,2026-04-30,0.6651479531064932,0.6651479531064932,0.07762261040788092,0.0776226104078809,7,7,5,5,1.0,1.0,0,True
characteristic_residual,251,2025-05-01,2026-04-30,0.2583080277094315,0.2583080277094315,0.10387505248709643,0.1038750524870964,8,8,4,4,1.0,1.0,0,True
triple_ma,251,2025-05-01,2026-04-30,0.7773916165239618,0.7773916165239618,0.23670020142784612,0.2367002014278461,9,9,3,3,0.5936254980079682,1.0,0,True
true_daily_alpha,251,2025-05-01,2026-04-30,0.43692057995359335,0.4369205799535934,0.12872879610669433,0.1287287961066943,8,8,4,4,1.0,1.0,0,True
