symbol,entry_date,exit_date,position_return,holding_sessions
TMUS,2022-06-06,2022-06-10,-0.082552697952942,5
AVGO,2022-06-06,2022-06-10,-0.0731999197487349,5
PEP,2022-06-13,2022-06-17,-0.014203287066753044,5
MDLZ,2022-06-13,2022-06-17,-0.016305244577246737,5
REGN,2022-06-21,2022-06-24,0.024140659070422798,4
AMGN,2022-05-23,2022-07-22,0.0014445353570276564,42
AZN,2022-07-25,2022-07-29,0.0028424052799424612,5
ATVI,2022-08-01,2022-08-05,0.008574610424182014,5
AZN,2022-08-08,2022-08-19,0.03524431439029392,10
AMGN,2022-08-22,2022-09-02,-0.023390996728588177,10
AZN,2022-09-06,2022-09-09,0.01580930510542084,4
AMGN,2022-09-12,2022-09-16,-0.04760654291496841,5
TMUS,2022-06-21,2022-09-30,0.07299852483572798,72
ADP,2022-09-19,2022-10-07,-0.00836966852967129,15
TMUS,2022-10-10,2022-10-14,-0.018401975240651493,5
GILD,2022-10-17,2022-10-21,0.029009835502362868,5
ADP,2022-10-24,2022-10-28,0.029893188686506655,5
GILD,2022-10-31,2022-11-04,0.014261441507862634,5
VRTX,2022-06-27,2022-11-11,0.08000254198069512,98
GILD,2022-11-14,2022-11-25,0.0628811152543179,9
SBUX,2022-11-07,2022-11-25,0.08837490705993618,14
PDD,2022-10-03,2022-12-02,0.43208270350767214,44
GILD,2022-12-05,2022-12-09,-0.0026984521333069276,5
PDD,2022-12-12,2023-01-13,0.08598949343995972,23
MRNA,2023-01-17,2023-01-27,-0.017010197896603785,9
ENPH,2022-11-28,2023-02-03,-0.3208348267623593,47
GILD,2023-01-30,2023-02-10,0.04302976398802601,10
ASML,2023-02-13,2023-02-17,-0.02575295705055684,5
MELI,2023-02-21,2023-03-10,0.018716696828633056,14
GILD,2023-03-13,2023-03-24,0.011037773544263232,10
PDD,2023-02-06,2023-04-06,-0.2145929055852193,43
MELI,2023-04-10,2023-04-14,0.06994336740190917,5
NFLX,2022-11-28,2023-04-21,0.16669890640304344,100
PDD,2023-04-17,2023-04-21,-0.015404102846104318,5
ASML,2023-04-24,2023-04-28,-9.706208930842283e-05,5
BKNG,2023-05-01,2023-05-12,-0.03126301187997553,10
ASML,2023-05-15,2023-05-19,0.06500977210128185,5
LRCX,2023-05-22,2023-05-26,0.08734791604839394,5
MELI,2023-05-30,2023-06-09,-0.0746775196736627,9
AMD,2023-06-12,2023-07-21,-0.14104052816805498,28
TSLA,2023-07-24,2023-09-01,-0.0057877487423480525,30
PANW,2023-09-05,2023-09-08,0.029649158050115983,4
AVGO,2023-09-11,2023-09-22,-0.036782910046430015,10
ADBE,2023-09-25,2023-11-03,0.10183065983192537,30
TSLA,2023-11-06,2023-11-10,-0.05911653097017526,5
META,2023-04-24,2023-11-10,0.4624537637985167,141
ADBE,2023-11-13,2023-11-17,0.0380510120551177,5
META,2023-11-20,2023-11-24,7.770541192793226e-05,4
NVDA,2023-03-27,2023-12-29,0.6837333962607135,193
ADBE,2023-11-27,2024-01-12,-0.038221176030267465,33
LULU,2024-01-16,2024-01-19,0.012237686234805764,4
INTU,2024-01-22,2024-01-26,0.022087845639790226,5
INTC,2024-01-29,2024-02-09,0.007881376654254877,10
MELI,2024-02-12,2024-02-16,0.004274662055503267,5
PDD,2023-11-13,2024-03-01,0.15224838454437706,75
AMD,2024-02-20,2024-03-08,0.20122592252206245,14
ZS,2024-03-04,2024-03-15,-0.12043202094308805,10
PANW,2024-03-11,2024-03-22,-0.004410536389749687,10
NVDA,2024-03-18,2024-03-28,0.0012682258101674585,9
META,2024-04-01,2024-04-05,0.054718794286984625,5
AMD,2024-03-25,2024-05-03,-0.12492584102532081,29
CRWD,2024-01-02,2024-05-10,0.30846586218073857,91
MU,2024-05-06,2024-05-17,0.07764850120552254,10
NFLX,2024-05-20,2024-05-24,0.034576724344750405,5
CEG,2024-05-28,2024-05-31,-0.07938799259292066,4
DASH,2024-05-13,2024-06-07,-0.02223311387303854,19
CRWD,2024-06-03,2024-06-14,0.1887522769198062,10
MU,2024-06-17,2024-06-21,-0.013875171427291833,4
CEG,2024-06-10,2024-07-05,0.03579045838827795,18
MRNA,2024-06-24,2024-07-12,-0.12392461822366704,14
CEG,2024-07-15,2024-07-19,-0.10151783477355239,5
MU,2024-07-22,2024-07-26,-0.0331186747105096,5
SMCI,2024-07-29,2024-08-30,-0.4237370553012221,25
ARM,2024-07-08,2024-09-13,-0.18860711032655333,49
AVGO,2024-09-16,2024-09-20,0.04179013497795843,5
PANW,2024-09-23,2024-09-27,-0.01633993937621574,5
CEG,2024-09-03,2024-09-27,0.2873721339203476,19
NVDA,2024-04-08,2024-10-04,0.4660916263577367,126
TXN,2024-09-30,2024-10-04,-0.03325849135852237,5
AAPL,2024-10-07,2024-10-11,0.026021164905579108,5
NVDA,2024-10-14,2024-10-18,0.014879661082957973,5
AVGO,2024-10-21,2024-10-25,-0.030711694528364464,5
MELI,2024-09-30,2024-11-01,0.0034620998731301226,25
TSLA,2024-10-07,2024-11-15,0.37159459246390747,30
CEG,2024-10-28,2024-11-22,-0.048044108166419956,20
MELI,2024-11-18,2024-11-22,0.09143615093916907,5
TSLA,2024-11-25,2024-11-29,-0.007045407665225814,4
ARM,2024-12-02,2024-12-06,0.03207468325071956,5
NVDA,2024-11-04,2024-12-27,0.005179058530130622,38
TSLA,2024-12-09,2024-12-27,0.0815070329179874,14
APP,2024-11-25,2025-06-13,0.39186021642738905,137
MSTR,2024-12-30,2025-06-20,0.3511483677061108,118
MELI,2025-06-23,2025-06-27,0.06110410861186562,5
NFLX,2025-06-16,2025-07-03,0.05036640728489756,13
AVGO,2025-06-30,2025-07-18,0.042272354307592415,14
KLAC,2025-07-21,2025-07-25,-0.015319092547332257,5
MELI,2025-07-28,2025-08-08,-0.021104907619009013,10
ZS,2025-07-07,2025-08-15,-0.12605612611908737,30
NFLX,2025-08-11,2025-08-22,0.007932161793995982,10
DASH,2025-08-18,2025-08-29,-0.03569267429025185,10
WBD,2025-08-25,2025-08-29,-0.040238897603800984,5
NVDA,2025-09-02,2025-09-19,0.029787462093691944,14
AMD,2025-09-02,2025-10-10,0.3830901453457766,29
AVGO,2025-09-22,2025-10-17,0.03439092463943168,20
TSLA,2025-10-20,2025-10-24,0.007377008169418517,5
AVGO,2025-10-27,2025-10-31,0.01354233207926732,5
PLTR,2024-12-30,2025-11-07,1.1471124409744662,216
APP,2025-10-13,2025-11-21,-0.07175521145208522,30
AMD,2025-11-10,2025-12-26,-0.11216959662429721,33
MU,2025-11-03,2026-01-16,0.5147004146795342,52
STX,2026-01-20,2026-01-23,0.05308976971157583,4
WBD,2025-11-24,2026-02-20,0.24024521940753668,60
STX,2026-02-23,2026-04-02,0.12150393755878446,29
LRCX,2026-04-06,2026-04-10,0.20145995032103675,5
AMAT,2026-04-13,2026-04-24,0.029140281232288248,10
MU,2026-01-26,2026-05-18,0.9603372888269099,78
WDC,2025-12-29,2026-06-15,1.893775435237357,115
STX,2026-05-18,2026-06-15,0.30560645552713295,19
MU,2026-06-15,2026-06-22,0.1355660603072879,4
INTC,2026-06-15,2026-06-29,-0.04292034687949131,9
WDC,2026-06-22,2026-07-27,-0.31742727117626623,24
INTC,2026-07-27,2026-08-10,0.034380361019613837,10
