variant_id,expression,lookback,z_window,entry_z,min_corr,short_stop,cost2_net_simple_return,cost2_maximum_drawdown,cost2_positive_months,cost2_negative_months,cost2_inactive_months,cost2_recent12_positive_months,cost2_recent12_net,cost2_active_pair_days,cost2_short_stop_hits,cost2_top5_positive_day_share,cost2_2019_2021,cost2_2022_2023,cost2_2024_2026apr,cost2_worst_fold,cost10_net_simple_return,cost10_maximum_drawdown,cost10_positive_months,cost10_negative_months,cost10_inactive_months,cost10_recent12_positive_months,cost10_recent12_net,cost10_active_pair_days,cost10_short_stop_hits,cost10_top5_positive_day_share,cost10_2019_2021,cost10_2022_2023,cost10_2024_2026apr,cost10_worst_fold
pair_QQQ_SPY__r1__zw63__z1__corr0.5__stop2,pair_QQQ_SPY,1,63,1.0,0.5,0.02,-0.14876268829419076,0.16232122932631932,31,52,5,1,-0.035584525473205314,497,30,0.14219250808615438,-0.01936098427819114,-0.025461748076487968,-0.10393995593951166,-0.10393995593951166,-0.9439626882941908,0.9439626882941883,3,80,5,0,-0.1427845254732053,497,30,0.30813522452088826,-0.3009609842781912,-0.263861748076488,-0.37913995593951166,-0.37913995593951166
pair_SMH_XLK__r1__zw63__z1__corr0.5__stop2,pair_SMH_XLK,1,63,1.0,0.5,0.02,-0.08039753702248448,0.1818684950362124,37,46,5,6,0.035854843392816395,496,62,0.10164503082439028,-0.09026581063008275,-0.04109046993427823,0.05095874354187647,-0.09026581063008275,-0.8739975370224845,0.876970567184436,13,70,5,3,-0.08414515660718361,496,62,0.1520389083728706,-0.4134658106300827,-0.2538904699342783,-0.20664125645812353,-0.4134658106300827
pair_IWM_SPY__r1__zw63__z1__corr0.5__stop2,pair_IWM_SPY,1,63,1.0,0.5,0.02,-0.25558470354278623,0.27294800803246333,38,45,5,4,-0.03835236575639003,526,31,0.1327856285587589,-0.17487863730935846,-0.05927207558797093,-0.0214339906454568,-0.17487863730935846,-1.0971847035427862,1.1012253123076565,5,78,5,0,-0.16475236575639007,526,31,0.2215755855776433,-0.5124786373093585,-0.3024720755879709,-0.28223399064545684,-0.5124786373093585
pair_XLY_XLP__r1__zw63__z1__corr0.5__stop2,pair_XLY_XLP,1,63,1.0,0.5,0.02,-0.14557185193018152,0.17077796958048977,15,22,51,1,0.011077681281768682,207,19,0.16495706083450992,-0.09707095183438115,-0.059578581377569044,0.011077681281768682,-0.09707095183438115,-0.4767718519301815,0.4893249850636067,8,29,51,1,0.009477681281768681,207,19,0.2160335943533157,-0.32107095183438117,-0.16517858137756902,0.009477681281768681,-0.32107095183438117
pair_XLE_USO__r1__zw63__z1__corr0.5__stop2,pair_XLE_USO,1,63,1.0,0.5,0.02,-0.11039161562439136,0.29477152314104627,40,42,6,6,0.056238820559353836,498,77,0.1372744405605788,-0.15341678349785703,-0.031160448965493963,0.07418561683895962,-0.15341678349785703,-0.9071916156243915,0.9566227742288269,23,59,6,5,-0.05736117944064617,498,77,0.16962014469319683,-0.4270167834978571,-0.27436044896549394,-0.20581438316104037,-0.4270167834978571
pair_TLT_SHY__r1__zw63__z1__corr0.5__stop2,pair_TLT_SHY,1,63,1.0,0.5,0.02,-0.2004759854542298,0.22504885837442956,21,50,17,3,-0.01746125214818968,419,5,0.19316011854384596,-0.06925362507012053,-0.0629590439092966,-0.06826331647481264,-0.06925362507012053,-0.8708759854542298,0.8708793893744046,5,66,17,1,-0.11666125214818969,419,5,0.312337964749058,-0.25325362507012056,-0.3061590439092966,-0.3114633164748127,-0.3114633164748127
equal_active_pairs__r1__zw63__z1__corr0.5__stop2,equal_active_pairs,1,63,1.0,0.5,0.02,-0.514170006160957,0.5197604437819041,31,53,4,5,-0.00818868628701778,2643,224,0.0611313075112902,-0.36855398001666934,-0.07733769609869395,-0.06827833004559367,-0.36855398001666934,-2.699770006160957,2.7015914855537355,2,82,4,0,-0.3217886862870178,2643,224,0.09982635823888845,-1.1669539800166695,-0.733337696098694,-0.7994783300455937,-1.1669539800166695
largest_dislocation_pair__r1__zw63__z1__corr0.5__stop2,largest_dislocation_pair,1,63,1.0,0.5,0.02,-0.7324388555020441,0.7387754730748008,32,52,4,5,-0.05506979656378198,1366,111,0.0701381421092316,-0.46246292539212974,-0.12664541416590927,-0.14333051594400498,-0.46246292539212974,-2.9180388555020444,2.918038855502007,3,81,4,0,-0.36866979656378196,1366,111,0.1039993641049139,-1.26086292539213,-0.7826454141659094,-0.8745305159440051,-1.26086292539213
pair_QQQ_SPY__r1__zw63__z1__corr0.5__stop4,pair_QQQ_SPY,1,63,1.0,0.5,0.04,-0.23027369631942954,0.23572756218012178,31,52,5,1,-0.03492561908436971,497,9,0.11613181771669875,-0.09230457530499467,-0.03471110767948474,-0.10325801333495013,-0.10325801333495013,-1.0254736963194295,1.0254736963194262,3,80,5,0,-0.14212561908436971,497,9,0.26332325810868623,-0.37390457530499466,-0.27311110767948477,-0.37845801333495016,-0.37845801333495016
pair_SMH_XLK__r1__zw63__z1__corr0.5__stop4,pair_SMH_XLK,1,63,1.0,0.5,0.04,-0.07018834946017244,0.17177561931064222,37,46,5,6,0.034135773548494966,496,7,0.08966404529027927,-0.1177104300527278,-0.010448669029765312,0.05797074962232068,-0.1177104300527278,-0.8637883494601726,0.8667613796221246,10,73,5,2,-0.08586422645150503,496,7,0.1348323619592608,-0.4409104300527278,-0.2232486690297653,-0.19962925037767934,-0.4409104300527278
