variant,extra_bps,symbol,net_pnl
f1_s0,0.0,NVDA,0.3034577189065545
f1_s0,0.0,MRNA,0.2843251428668488
f1_s0,0.0,TSLA,0.23872928269456617
f1_s0,0.0,PDD,0.135783624244133
f1_s0,0.0,GOOG,0.1320756329332181
f1_s0,0.0,MU,0.12689367227687998
f1_s0,0.0,WDC,0.10305478581844296
f1_s0,0.0,BIDU,0.09790993808888468
f1_s0,0.0,AMD,0.09159700450966768
f1_s0,0.0,INTC,0.0902644089041374
f1_s0,0.0,GILD,0.08795358079425282
f1_s0,0.0,ZM,0.08221166545477084
f1_s0,0.0,AMZN,0.08036487043045284
f1_s0,0.0,GOOGL,0.07731521616357677
f1_s0,0.0,PANW,0.07667944224715571
f1_s0,0.0,MRVL,0.07017434684223242
f1_s0,0.0,JD,0.0597382362718348
f1_s0,0.0,ATVI,0.05913204805077849
f1_s0,0.0,AMGN,0.05811902374427312
f1_s0,0.0,PEP,0.05418951603430118
f1_s0,0.0,TMUS,0.05340624601287562
f1_s0,0.0,CEG,0.05001334676662467
f1_s0,0.0,INTU,0.048213270837452714
f1_s0,0.0,MELI,0.04369852749905651
f1_s0,0.0,ABNB,0.041134493855049026
f1_s0,0.0,META,0.03613934113400449
f1_s0,0.0,CHTR,0.035657301206541876
f1_s0,0.0,SPLK,0.03532367986152266
f1_s0,0.0,ADBE,0.03403961747712464
f1_s0,0.0,ADI,0.033808196319699
f1_s0,0.0,SBUX,0.03370844119837961
f1_s0,0.0,MCHP,0.030685665570162612
f1_s0,0.0,WBD,0.029573575041177344
f1_s0,0.0,PLTR,0.02787114747714888
f1_s0,0.0,ASML,0.02750092284208705
f1_s0,0.0,MSFT,0.02117366591863379
f1_s0,0.0,EBAY,0.01876640779376465
f1_s0,0.0,MDLZ,0.01756370792794929
f1_s0,0.0,SNPS,0.016157349247824786
f1_s0,0.0,VRTX,0.01553657226071935
f1_s0,0.0,EA,0.013083469588077932
f1_s0,0.0,WDAY,0.012470732515511118
f1_s0,0.0,ZS,0.011661440153131277
f1_s0,0.0,STX,0.010060796954111325
f1_s0,0.0,OKTA,0.009035730050478709
f1_s0,0.0,ORLY,0.0070050657615307425
f1_s0,0.0,ON,0.005319017811847663
f1_s0,0.0,HON,0.004743204325132942
f1_s0,0.0,ADP,0.004181794582948798
f1_s0,0.0,TEAM,0.0007612819391299838
f1_s0,0.0,PCAR,0.0
f1_s0,0.0,VRSN,0.0
f1_s0,0.0,ULTA,0.0
f1_s0,0.0,AEP,0.0
f1_s0,0.0,ALGN,0.0
f1_s0,0.0,ALXN,0.0
f1_s0,0.0,AXON,0.0
