campaign,family,variant,scheduled_rebalance,quote_trade_roles,quote_2bps_last12,quote_10bps_last12,quote_dd_last12,quote_positive_months,quote_negative_months,quote_worst_month,quote_first6,quote_last6,full_history_start,full_history_net_2bps,full_history_net_10bps,full_history_dd,pre_recent_net_2bps,pre_recent_dd,recent_bar_net_2bps,recent_share_of_full_net,profitable_full_years,losing_full_years,worst_full_year,positive_rolling12_fraction,recent12_historical_percentile,full_top5_positive_share,full_leave_top5_return,campaign_grid_variants,campaign_grid_positive_at_10bps_fraction,campaign_grid_median_net_10bps,best_symbol,best_symbol_pnl,role_coverage
CAM-0612,Triple MA,sp500__ma10_50_200__monthly__top3__momentum,monthly,32,1.6959350154238375,1.6874016820905045,0.1257697659076063,11,1,-0.0193518647732551,0.4219533261018879,1.2739816893219498,2021-05-03,2.1408196732757503,2.092553006609084,0.2819904684630343,0.44162732872519883,0.2819904684630343,1.6991923445505517,0.7937111031638421,5,0,0.1075904903793981,0.8725099601593626,1.0,0.6652748536101822,0.12808416523983412,72,0.7916666666666666,0.5767249735878675,SNDK,0.6274634563390092,1.0
CAM-0611,Dual MA,sp500__ma50_200__weekly__top3__momentum,weekly,68,1.6151100688704685,1.5969767355371347,0.1187793556227905,11,1,-0.0682066016773338,0.45080473985686276,1.1643053290136054,2021-05-03,2.5004454778702954,2.418578811203629,0.26359948247022336,0.8927025579388832,0.26359948247022336,1.6077429199314124,0.6429825941658905,5,0,0.2285954753833166,0.9621513944223108,0.9970119521912351,0.5679930521796448,0.39890940255729834,72,0.9305555555555556,1.1766622368175383,SNDK,0.6274634563390092,1.0
CAM-0610,Single MA,qqq__ma150__weekly__top3__momentum,weekly,52,1.167548461701624,1.1536817950349572,0.1289192533684452,9,3,-0.118966159265623,0.44581298775002043,0.7217354739516033,2019-06-21,3.489745108524958,3.3737451085249583,0.38529594898793784,2.326854933658903,0.38529594898793784,1.1628901748660547,0.33323069126890587,6,1,-0.1390965769951727,0.8486082824168364,0.9843856076035302,0.5623528922440673,0.9942086540430051,72,0.9861111111111112,1.4360686554932978,TSLA,0.8313276225382804,1.0
CAM-0623,Distress quality,qqq__chs_safe__top5__liquid__raw,monthly,74,0.7624743443316937,0.7561140837465891,0.0965200903520299,9,3,-0.031435657675012,0.2865233237229342,0.4759510206087595,2019-06-21,1.9622874671974029,1.922455450262525,0.22704301388865245,1.1844755078849267,0.22704301388865245,0.7778119593124762,0.39638023088603336,6,1,-0.2913019366253646,0.8105906313645621,1.0,0.4944350203806066,0.7918514817567908,18,1.0,1.195311023731198,NVDA,0.3530468906984242,1.0
CAM-0600,Price momentum,qqq__mom252_skip21__top3__liquid_trend__panic1,monthly,45,0.7298310176178295,0.723224344908144,0.1353360115214435,9,3,-0.1018177549059994,0.3342773418767532,0.3955536757410763,2019-06-21,2.3535292568426063,2.304904443524686,0.19633197260822904,1.494302201474146,0.19633197260822904,0.85922705536846,0.36508025250604365,6,1,-0.2422443782121968,0.7956551255940258,0.9748811948404617,0.6095659393148167,0.5042659043030027,96,1.0,1.8378552121512137,MRNA,0.6859564929464222,1.0
CAM-0602,Value quality,qqq__value_quality__top10__trend1,monthly,147,0.6430887102940156,0.6375862209880954,0.063414066852876,9,3,-0.0342687386381934,0.3226473291923247,0.3204413811016909,2019-06-21,1.3872106555681776,1.3510338795065169,0.23878732338859193,0.7416943724816982,0.23878732338859193,0.6455162830864792,0.46533399991949087,6,1,-0.2240217825626583,0.811948404616429,1.0,0.5444610397796336,0.4635934273025464,36,1.0,0.9033680922160373,GOOG,0.2252855885207765,1.0
CAM-0617,ETF alpha combo,etf__alpha_M20_E5__top5__monthly__trend0,monthly,102,0.6428665575104067,0.6276720121601121,0.1567266608989109,9,3,-0.1028538864237568,0.516860070693052,0.1260064868173545,2019-01-02,1.959860560613951,1.862838209479169,0.3241075343847185,1.3709847787662008,0.3241075343847185,0.5888757818477501,0.30046820354570397,8,0,0.1007038591578601,0.9133459835547122,0.9519291587602783,0.7279548773432248,0.3064558683520693,80,0.25,0.0,SOXL,0.973668284349956,1.0
CAM-0608,Cluster residual,qqq__slow_residual_r10__top10__monthly,monthly,221,0.4473749177640226,0.431037564084321,0.2096160399240058,8,4,-0.0796717516487894,0.3566441277514954,0.09073079001252722,2019-06-21,2.106745166754404,2.0027225223876783,0.28280480493295157,1.6478816977133557,0.28280480493295157,0.45886346904104813,0.2178068217657103,6,1,-0.0469099304753075,0.846571622539036,0.790224032586558,0.3183756167202418,1.2759886649586818,24,0.9166666666666666,0.7642252741740385,PDD,0.2462351151069256,1.0
CAM-0619,Sector momentum MA,sector11__mom63_skip0__monthly__top1,monthly,10,0.3948595818432061,0.3868595818432061,0.1000197855629909,8,4,-0.0643808061801555,0.2773338623702033,0.11752571947300286,2019-01-02,1.299563398714651,1.229963398714651,0.1755432227380992,0.9308307030423169,0.1755432227380992,0.36873269567233413,0.2837358269993089,6,2,-0.0496709777099438,0.8266919671094244,0.8412397216951296,0.9411308406633043,-0.062486210800690056,16,1.0,0.6276896011005382,XLE,0.5877309296252822,1.0
CAM-0605,Residual momentum,sp500__resmom__top10__liquid_trend,monthly,169,0.3730349446062466,0.3636856744365641,0.0873419491994962,9,3,-0.0677559153709122,0.15605733184993512,0.21697761275631153,2021-05-03,0.5265625684920615,0.5106135788521308,0.17581702275078068,0.1279016486985779,0.17581702275078068,0.39866091979348367,0.7571007581020144,3,0,0.0583497073710731,0.4312749003984064,0.9930278884462151,0.38579100494524854,0.25004814926507724,12,1.0,0.6587210637618921,GEV,0.0774174741887814,1.0
