,Triple MA,Dual MA,Single MA,Distress quality,Price momentum,Value quality,ETF alpha combo,Cluster residual,Sector momentum MA,Residual momentum
Triple MA,1.0,0.9480019782890043,0.8114900373923769,0.7944951347407293,0.6924595744546407,0.6277461773529273,0.3273461076253517,0.3945825376132906,0.1252594497411792,0.6757086366745623
Dual MA,0.9480019782890043,1.0,0.830085750526966,0.7819405989489461,0.6973273318346486,0.6235294895139136,0.3988802737217034,0.4358429576798452,0.1591779619678923,0.6830611043092224
Single MA,0.8114900373923769,0.830085750526966,1.0,0.8238681350291569,0.7546200472444422,0.6749527499967772,0.5139229660183829,0.5415455669842626,0.16844197634188937,0.7322291518033839
Distress quality,0.7944951347407293,0.7819405989489461,0.8238681350291569,1.0,0.7745619978421177,0.7673118757372427,0.37048502691258606,0.5575818930149969,0.21822586850892683,0.7998980976016032
Price momentum,0.6924595744546407,0.6973273318346486,0.7546200472444422,0.7745619978421177,1.0,0.5797353629002715,0.32225826553520515,0.4278490638362004,0.2768454183679661,0.681039339733904
Value quality,0.6277461773529273,0.6235294895139136,0.6749527499967772,0.7673118757372427,0.5797353629002715,1.0,0.4699361286600039,0.5583413127757676,0.2798714283309548,0.692907420026649
ETF alpha combo,0.3273461076253517,0.3988802737217034,0.5139229660183829,0.37048502691258606,0.32225826553520515,0.4699361286600039,1.0,0.3555322044554012,0.26171678134279047,0.3919008770081427
Cluster residual,0.3945825376132906,0.4358429576798452,0.5415455669842626,0.5575818930149969,0.4278490638362004,0.5583413127757676,0.3555322044554012,1.0,0.04156726193186284,0.5681460025149002
Sector momentum MA,0.1252594497411792,0.1591779619678923,0.16844197634188937,0.21822586850892683,0.2768454183679661,0.2798714283309548,0.26171678134279047,0.04156726193186284,1.0,0.2141470262216209
Residual momentum,0.6757086366745623,0.6830611043092224,0.7322291518033839,0.7998980976016032,0.681039339733904,0.692907420026649,0.3919008770081427,0.5681460025149002,0.2141470262216209,1.0
