campaign,family,rank,symbol,full_history_net_pnl
CAM-0608,Cluster residual,1,PDD,0.2462351151069256
CAM-0608,Cluster residual,2,JD,0.1620895936390076
CAM-0608,Cluster residual,3,TSLA,0.153542605565065
CAM-0608,Cluster residual,4,MRVL,0.1462780495784424
CAM-0608,Cluster residual,5,MU,0.1226111379062819
CAM-0608,Cluster residual,6,NVDA,0.1043634938455307
CAM-0608,Cluster residual,7,AVGO,0.0983642247249314
CAM-0608,Cluster residual,8,CRWD,0.0911630892018195
CAM-0608,Cluster residual,9,SMCI,0.0860974507520107
CAM-0608,Cluster residual,10,EBAY,0.0721502130950455
CAM-0619,Sector momentum MA,1,XLE,0.5877309296252822
CAM-0619,Sector momentum MA,2,XLK,0.5577688333605335
CAM-0619,Sector momentum MA,3,XLI,0.0800111175971343
CAM-0619,Sector momentum MA,4,XLF,0.0694270467006305
CAM-0619,Sector momentum MA,5,XLY,0.0671116822317605
CAM-0619,Sector momentum MA,6,XLB,0.0392396314307062
CAM-0619,Sector momentum MA,7,XLC,0.0215057257381493
CAM-0619,Sector momentum MA,8,XLP,0.0147915752600715
CAM-0619,Sector momentum MA,9,XLRE,0.0096613333409319
CAM-0619,Sector momentum MA,10,BIL,0.0
CAM-0605,Residual momentum,1,GEV,0.0774174741887814
CAM-0605,Residual momentum,2,BK,0.0647300466613633
CAM-0605,Residual momentum,3,STX,0.0538619261230879
CAM-0605,Residual momentum,4,WELL,0.0468715251292525
CAM-0605,Residual momentum,5,PWR,0.0336334471244992
CAM-0605,Residual momentum,6,PLTR,0.0335485190363969
CAM-0605,Residual momentum,7,WDC,0.0301635379378996
CAM-0605,Residual momentum,8,RTX,0.0298391743566788
CAM-0605,Residual momentum,9,HWM,0.0276512444740306
CAM-0605,Residual momentum,10,FICO,0.0236471901524054
