top_n,average_week_profit,maximum_drawdown
1,0.00979357636189511,0.363218562617535
2,0.010055819445891264,0.28224242778530373
3,0.010106675090135782,0.17233352173209557
4,0.008990201476541082,0.1635933205487914
5,0.0077258821566112915,0.17146901440093812
6,0.006421247540899414,0.2220560898034313
7,0.0065478711167869805,0.1909563459956792
8,0.0064868201476475425,0.20231263198442323
9,0.006349748278488987,0.17696093310411035
10,0.00616526412856333,0.1795191787180895
11,0.006104484631865042,0.18527300382102435
12,0.005801557262393929,0.19453919928775296
13,0.005732931572136301,0.18483850188850748
14,0.005582500174504683,0.18547995386309396
15,0.005477778132728117,0.19432533914189934
16,0.005290273554495349,0.2033766991019312
17,0.0052116973106089955,0.21379278365924975
18,0.005099803599425054,0.21387647368158624
19,0.005025611749005247,0.2171837743909578
20,0.004959014589502418,0.21449674960097093
