top_n,average_week_profit,maximum_drawdown,weeks
1,0.026057050260385357,0.2040469797810392,53
2,0.026863098434263738,0.1306004729977871,53
3,0.021796182628609197,0.12962366662690822,53
4,0.019922879791863284,0.13510714064579568,53
5,0.018296216614409475,0.12330045399692653,53
6,0.017840856432581556,0.11053219768651085,53
7,0.01826749255777437,0.11117955399396112,53
8,0.018268434563417972,0.11321844366451286,53
9,0.01764313381814551,0.10909162138499034,53
10,0.016252880408205904,0.11407849896849469,53
11,0.016747383841358352,0.1085853190200152,53
12,0.015844986923719502,0.09792775430723444,53
13,0.01527393076987336,0.09339216371277635,53
14,0.01438342470378256,0.10629934359899157,53
15,0.013797444074034378,0.09995207059687988,53
16,0.013075857015134924,0.09674129286187942,53
17,0.012659672960850457,0.09879465867853544,53
18,0.012098223928218651,0.10385006119033435,53
19,0.011837964054387487,0.09860627592301589,53
20,0.011274763520283306,0.10001264463106374,53
