date,net_pnl
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,-0.011984727170733464
2021-12,0.0741086298351658
2022-01,-0.01783707723330951
2022-02,-0.058801061428331323
2022-03,0.03986424624506511
2022-04,0.0037081202649933264
2022-05,-0.002079210384237352
2022-06,-0.023559624344396242
2022-07,0.02389823735654071
2022-08,-0.02653175309104814
2022-09,-0.06512790139498954
2022-10,0.07854608180866007
2022-11,0.04307898399473547
2022-12,-0.02485120407665934
2023-01,-0.02291453249480499
2023-02,-0.009256513483157123
2023-03,0.037188557458311934
2023-04,0.029243045479718326
2023-05,-0.04406234308190524
2023-06,0.02315919678873741
2023-07,0.00959961282091923
2023-08,-0.008715689886896676
2023-09,-0.044601518374450116
2023-10,0.013805915854749306
2023-11,0.03576331436802244
2023-12,0.019786211236181368
2024-01,0.03273715081296311
2024-02,0.031647064098228275
2024-03,0.01783740764831596
2024-04,-0.0330100633199639
2024-05,0.015306517968478352
2024-06,0.0015762702292035976
2024-07,0.04424712069239712
2024-08,0.042460699176562186
2024-09,0.009847476842352187
2024-10,-0.02292645477056289
2024-11,0.031112603319059844
2024-12,-0.05203508501210194
2025-01,0.02759358451204831
2025-02,0.060631537098914744
2025-03,-0.01063964269695077
2025-04,-0.015571955254780594
2025-05,0.006797561820304929
2025-06,-0.016586077772607455
2025-07,0.00516551679258963
2025-08,0.005529674432879487
2025-09,-0.0045588698837336844
2025-10,-0.03949219105785679
2025-11,0.029988518496763115
2025-12,-0.01627407810140172
2026-01,0.03412436164407415
2026-02,0.07195429106500967
2026-03,-0.05222354320089958
2026-04,0.002101389906920126
