variant,threshold,net_simple_return,maximum_drawdown,positive_months,negative_months,worst_month,worst_year,recent12_return,recent12_positive_months,turnover,trade_sessions,average_utilization,blocked_ranked_candidates,maximum_rank_scan_depth,membership_change_signals,maximum_target_weight,top5_positive_share_approx
control,,3.6282963573587454,0.17233352173209557,48,25,-0.16536813445765458,-0.06881295092862345,1.1551976793162875,9,127.66666666666666,173,0.882830626450116,0,3,-1,0.3333333333333333,0.5191892178527641
entry_veto_10pct,0.1,3.4930007886250802,0.1676881448848065,48,25,-0.137330698716167,-0.09172731956025683,0.9388890279061337,8,137.0,179,0.882830626450116,122,7,179,0.3333333333333333,0.5475769704904266
entry_veto_20pct,0.2,3.638612335830436,0.16693225866559502,48,25,-0.15045474578875703,-0.08690173172123436,1.0591979601993327,9,133.66666666666666,181,0.882830626450116,47,5,181,0.3333333333333333,0.5169538501453308
entry_veto_30pct,0.3,3.489770055755136,0.17263616088795197,48,25,-0.15987761582379226,-0.07627988349886795,1.0518572009821163,9,127.66666666666666,173,0.882830626450116,26,5,173,0.3333333333333333,0.5353299128356246
entry_veto_40pct,0.4,3.5961691926573476,0.16973919631836237,49,24,-0.15987761582379226,-0.07627988349886795,1.0518572009821163,9,127.66666666666666,172,0.882830626450116,15,5,172,0.3333333333333333,0.5369103570600855
entry_veto_50pct,0.5,3.6940191523576567,0.16973919631836237,49,24,-0.16536813445765458,-0.07627988349886795,1.1551976793162875,9,128.33333333333331,173,0.882830626450116,9,4,173,0.3333333333333333,0.5246259562489017
