variant,pair,mechanism,threshold_bp,hold_min,time_bucket,cost_bp_side,trades,trades_per_session,net_return,mean_net_trade_bp,green_active_days,green_all_days,positive_month_fraction,half_returns,max_drawdown,recovery_sessions,recent12_return,worst_day,dev_gate
SMH_SOXL_SOXS_impulse_continuation_t5_h1_open,SMH_SOXL_SOXS,impulse_continuation,5,1,open,2,10411,9.65769944341373,-1.8619086236245894,-1.7884051710926803,0.41929499072356213,0.41929499072356213,0.21818181818181817,"[-0.8141509420074344, -1.047757681617155]",1.8591170375320192,,0.0,-0.05415396040674733,False
SMH_SOXL_SOXS_impulse_continuation_t5_h1_morning,SMH_SOXL_SOXS,impulse_continuation,5,1,morning,2,20501,19.017625231910944,-5.413719161108993,-2.64070980006292,0.3079777365491651,0.3079777365491651,0.09090909090909091,"[-2.12337826551906, -3.2903408955899334]",5.47184749606836,,0.0,-0.06178748379670574,False
SMH_SOXL_SOXS_impulse_continuation_t5_h1_midday,SMH_SOXL_SOXS,impulse_continuation,5,1,midday,2,40822,37.868274582560296,-12.64626999476458,-3.0979055398472832,0.15955473098330242,0.15955473098330242,0.01818181818181818,"[-3.5977824484787324, -9.04848754628585]",12.666902371697116,,0.0,-0.09473739603155582,False
SMH_SOXL_SOXS_impulse_continuation_t5_h1_afternoon,SMH_SOXL_SOXS,impulse_continuation,5,1,afternoon,2,12247,11.360853432282005,-3.4711305844273377,-2.834270094249479,0.2468415937803693,0.23562152133580705,0.05454545454545454,"[-1.0465199812513575, -2.42461060317598]",3.474948764039867,,0.0,-0.03972336462347411,False
SMH_SOXL_SOXS_impulse_continuation_t5_h1_close,SMH_SOXL_SOXS,impulse_continuation,5,1,close,2,9493,8.806122448979592,-3.353580376157916,-3.5326876394795286,0.25145631067961166,0.24025974025974026,0.01818181818181818,"[-1.3260666090637243, -2.0275137670941916]",3.3537368575291873,,0.0,-0.07201340327440447,False
SMH_SOXL_SOXS_impulse_reversal_t5_h1_open,SMH_SOXL_SOXS,impulse_reversal,5,1,open,2,10411,9.65769944341373,-6.356047746411774,-6.105127025657262,0.3042671614100185,0.3042671614100185,0.01818181818181818,"[-3.0919866143493664, -3.264061132062408]",6.355605250593581,,0.0,-0.07379688703208817,False
SMH_SOXL_SOXS_impulse_reversal_t5_h1_morning,SMH_SOXL_SOXS,impulse_reversal,5,1,morning,2,20501,19.017625231910944,-11.045175305055723,-5.387627581608569,0.19944341372912802,0.19944341372912802,0.0,"[-5.345036933415203, -5.70013837164052]",11.012643858024754,,0.0,-0.09801613208705989,False
SMH_SOXL_SOXS_impulse_reversal_t5_h1_midday,SMH_SOXL_SOXS,impulse_reversal,5,1,midday,2,40822,37.868274582560296,-19.906487673702298,-4.876411658836485,0.07050092764378478,0.07050092764378478,0.0,"[-9.842203409513319, -10.06428426418898]",20.127222251826385,,0.0,-0.19283269394343983,False
SMH_SOXL_SOXS_impulse_reversal_t5_h1_afternoon,SMH_SOXL_SOXS,impulse_reversal,5,1,afternoon,2,12247,11.360853432282005,-6.415027615209654,-5.238040022217404,0.1836734693877551,0.17532467532467533,0.0,"[-2.9547730244471007, -3.460254590762553]",6.425271705330122,,0.0,-0.08416182790325542,False
SMH_SOXL_SOXS_impulse_reversal_t5_h1_close,SMH_SOXL_SOXS,impulse_reversal,5,1,close,2,9493,8.806122448979592,-4.524638975233941,-4.766289871730688,0.2446601941747573,0.23376623376623376,0.0,"[-1.9123127830927844, -2.6123261921411576]",4.545316422693321,,0.0,-0.07016446178499375,False
SMH_SOXL_SOXS_impulse_continuation_t5_h2_open,SMH_SOXL_SOXS,impulse_continuation,5,2,open,2,7624,7.072356215213358,-1.3269226509101237,-1.7404546837750836,0.46938775510204084,0.46938775510204084,0.36363636363636365,"[-0.3827737301551593, -0.9441489207549645]",1.3141988440717227,,0.0,-0.05238273978224164,False
SMH_SOXL_SOXS_impulse_continuation_t5_h2_morning,SMH_SOXL_SOXS,impulse_continuation,5,2,morning,2,15354,14.2430426716141,-5.140943332113528,-3.3482762355826026,0.349721706864564,0.349721706864564,0.10909090909090909,"[-1.9962126242810598, -3.1447307078324673]",5.204443569098569,,0.0,-0.07839995980065496,False
SMH_SOXL_SOXS_impulse_continuation_t5_h2_midday,SMH_SOXL_SOXS,impulse_continuation,5,2,midday,2,32078,29.7569573283859,-11.776548289048462,-3.6712227349112987,0.23562152133580705,0.23562152133580705,0.0,"[-4.022784655610533, -7.753763633437929]",11.762396130433595,,0.0,-0.11920206698018275,False
SMH_SOXL_SOXS_impulse_continuation_t5_h2_afternoon,SMH_SOXL_SOXS,impulse_continuation,5,2,afternoon,2,9692,8.990723562152134,-3.193120548455621,-3.294594045042944,0.32847424684159376,0.313543599257885,0.14545454545454545,"[-0.9186612190834227, -2.274459329372198]",3.2011795754723167,,0.0,-0.10125375148806949,False
SMH_SOXL_SOXS_impulse_continuation_t5_h2_close,SMH_SOXL_SOXS,impulse_continuation,5,2,close,2,7443,6.904452690166976,-2.892709243163378,-3.88648292780247,0.32233009708737864,0.3079777365491651,0.05454545454545454,"[-1.1232252278882418, -1.769484015275136]",2.8761368073944227,,0.0,-0.043724258036189595,False
SMH_SOXL_SOXS_impulse_reversal_t5_h2_open,SMH_SOXL_SOXS,impulse_reversal,5,2,open,2,7624,7.072356215213358,-4.62749839225286,-6.069646369691579,0.3747680890538033,0.3747680890538033,0.09090909090909091,"[-2.4050217034036536, -2.2224766888492056]",4.669872076031664,,0.0,-0.08192892464686469,False
SMH_SOXL_SOXS_impulse_reversal_t5_h2_morning,SMH_SOXL_SOXS,impulse_reversal,5,2,morning,2,15354,14.2430426716141,-7.344300764436747,-4.783314292325614,0.3209647495361781,0.3209647495361781,0.09090909090909091,"[-3.7883733835832856, -3.555927380853462]",7.161435890230451,,0.0,-0.08945472724898246,False
SMH_SOXL_SOXS_impulse_reversal_t5_h2_midday,SMH_SOXL_SOXS,impulse_reversal,5,2,midday,2,32078,29.7569573283859,-14.54070508544902,-4.532921343428212,0.17810760667903525,0.17810760667903525,0.0,"[-7.162718502957261, -7.377986582491757]",14.657074502965482,,0.0,-0.20010300897509395,False
SMH_SOXL_SOXS_impulse_reversal_t5_h2_afternoon,SMH_SOXL_SOXS,impulse_reversal,5,2,afternoon,2,9692,8.990723562152134,-4.573345029634726,-4.718680385508383,0.28668610301263364,0.27365491651205937,0.0,"[-2.2233809700130642, -2.3499640596216604]",4.580667742776181,,0.0,-0.14148903596422574,False
SMH_SOXL_SOXS_impulse_reversal_t5_h2_close,SMH_SOXL_SOXS,impulse_reversal,5,2,close,2,7443,6.904452690166976,-3.4679847622841224,-4.659391055063983,0.3116504854368932,0.29777365491651203,0.05454545454545454,"[-1.5467769912948928, -1.9212077709892295]",3.4894795808167505,,0.0,-0.05470068404306662,False
SMH_SOXL_SOXS_impulse_continuation_t5_h3_open,SMH_SOXL_SOXS,impulse_continuation,5,3,open,2,6061,5.622448979591836,-1.5840063484081843,-2.613440601234423,0.4554730983302412,0.4554730983302412,0.32727272727272727,"[0.2489210287557091, -1.8329273771638936]",1.3861812300620264,,0.0,-0.09214446689223797,False
SMH_SOXL_SOXS_impulse_continuation_t5_h3_morning,SMH_SOXL_SOXS,impulse_continuation,5,3,morning,2,12277,11.388682745825603,-4.9868827008576755,-4.06197173646467,0.3849721706864564,0.3849721706864564,0.12727272727272726,"[-2.440140948705346, -2.5467417521523297]",5.024283175138106,,0.0,-0.11985545679160137,False
SMH_SOXL_SOXS_impulse_continuation_t5_h3_midday,SMH_SOXL_SOXS,impulse_continuation,5,3,midday,2,26650,24.72170686456401,-9.6705172793361,-3.628711924703977,0.2755102040816326,0.2755102040816326,0.01818181818181818,"[-3.1217535366614992, -6.5487637426746]",9.711286156171516,,0.0,-0.16786484554980524,False
SMH_SOXL_SOXS_impulse_continuation_t5_h3_afternoon,SMH_SOXL_SOXS,impulse_continuation,5,3,afternoon,2,8132,7.543599257884972,-2.978934609355576,-3.6632250483959377,0.35374149659863946,0.33766233766233766,0.12727272727272726,"[-0.8033353725998293, -2.1755992367557466]",2.979828735991545,,0.0,-0.11027079367326698,False
SMH_SOXL_SOXS_impulse_continuation_t5_h3_close,SMH_SOXL_SOXS,impulse_continuation,5,3,close,2,6195,5.746753246753247,-2.215531514191566,-3.576322056806402,0.36019417475728155,0.34415584415584416,0.10909090909090909,"[-1.0399250565997318, -1.175606457591834]",2.214428779012691,,0.0,-0.05657037139092853,False
SMH_SOXL_SOXS_impulse_reversal_t5_h3_open,SMH_SOXL_SOXS,impulse_reversal,5,3,open,2,6061,5.622448979591836,-3.12790734262786,-5.160711669077477,0.4100185528756957,0.4100185528756957,0.2,"[-2.4760875081555036, -0.6518198344723559]",3.2174201265116458,,0.0,-0.06273155007100988,False
SMH_SOXL_SOXS_impulse_reversal_t5_h3_morning,SMH_SOXL_SOXS,impulse_reversal,5,3,morning,2,12277,11.388682745825603,-4.878184912911019,-3.9734339927596483,0.3803339517625232,0.3803339517625232,0.14545454545454545,"[-2.1587682695050256, -2.719416643405993]",4.803706708492965,,0.0,-0.09880111562862393,False
SMH_SOXL_SOXS_impulse_reversal_t5_h3_midday,SMH_SOXL_SOXS,impulse_reversal,5,3,midday,2,26650,24.72170686456401,-12.114650550258832,-4.545835103286616,0.23654916512059368,0.23654916512059368,0.0,"[-6.1158517330175375, -5.998798817241292]",12.131789296885529,,0.0,-0.16031558139328556,False
SMH_SOXL_SOXS_impulse_reversal_t5_h3_afternoon,SMH_SOXL_SOXS,impulse_reversal,5,3,afternoon,2,8132,7.543599257884972,-3.644981421573852,-4.482269332973257,0.36345966958211856,0.3469387755102041,0.05454545454545454,"[-1.9395120628886735, -1.7054693586851783]",3.626913824941402,,0.0,-0.08553636379944501,False
SMH_SOXL_SOXS_impulse_reversal_t5_h3_close,SMH_SOXL_SOXS,impulse_reversal,5,3,close,2,6195,5.746753246753247,-3.180380732910314,-5.13378649380196,0.3679611650485437,0.3515769944341373,0.03636363636363636,"[-1.2934795273084951, -1.886901205601819]",3.191414939842577,,0.0,-0.08146956389761761,False
SMH_SOXL_SOXS_impulse_continuation_t5_h5_open,SMH_SOXL_SOXS,impulse_continuation,5,5,open,2,4349,4.034322820037106,-0.7919792942740217,-1.8210606904438287,0.4897959183673469,0.4897959183673469,0.4,"[0.294290816216011, -1.0862701104900327]",0.8596985094852105,,0.0,-0.07549396433714002,False
SMH_SOXL_SOXS_impulse_continuation_t5_h5_morning,SMH_SOXL_SOXS,impulse_continuation,5,5,morning,2,8835,8.195732838589981,-3.1335164849036334,-3.546707962539483,0.40816326530612246,0.40816326530612246,0.23636363636363636,"[-1.104403320486801, -2.0291131644168323]",3.1959124750798993,,0.0,-0.06754320891458916,False
SMH_SOXL_SOXS_impulse_continuation_t5_h5_midday,SMH_SOXL_SOXS,impulse_continuation,5,5,midday,2,20080,18.62708719851577,-7.216466744729013,-3.5938579406020987,0.38404452690166974,0.38404452690166974,0.10909090909090909,"[-2.3970953869195997, -4.819371357809414]",7.1891993082023244,,0.0,-0.1247713315881592,False
