variant,pair,mechanism,threshold_bp,hold_min,time_bucket,cost_bp_side,trades,trades_per_session,net_return,mean_net_trade_bp,green_active_days,green_all_days,positive_month_fraction,half_returns,max_drawdown,recovery_sessions,recent12_return,worst_day,dev_gate
SMH_SOXL_SOXS_impulse_continuation_t5_h5_afternoon,SMH_SOXL_SOXS,impulse_continuation,5,5,afternoon,2,6164,5.717996289424861,-2.5755205765837044,-4.178326697896989,0.38791423001949316,0.3692022263450835,0.2545454545454545,"[-0.8494340134695407, -1.7260865631141638]",2.452916283895676,,0.0,-0.09678131820342334,False
SMH_SOXL_SOXS_impulse_continuation_t5_h5_close,SMH_SOXL_SOXS,impulse_continuation,5,5,close,2,4645,4.308905380333952,-1.2349312454487826,-2.658624855648618,0.42718446601941745,0.40816326530612246,0.2909090909090909,"[-0.9299112942050485, -0.30501995124373416]",1.2338857973111534,,0.0,-0.08480033520829874,False
SMH_SOXL_SOXS_impulse_reversal_t5_h5_open,SMH_SOXL_SOXS,impulse_reversal,5,5,open,2,4349,4.034322820037106,-2.508916830753023,-5.768951093936588,0.42857142857142855,0.42857142857142855,0.32727272727272727,"[-1.849164646849145, -0.6597521839038779]",2.487641114138221,,0.0,-0.08414461476937041,False
SMH_SOXL_SOXS_impulse_reversal_t5_h5_morning,SMH_SOXL_SOXS,impulse_reversal,5,5,morning,2,8835,8.195732838589981,-3.871694575660367,-4.382223628364875,0.437847866419295,0.437847866419295,0.23636363636363636,"[-2.1207726452744673, -1.7509219303858998]",3.824143550990807,,0.0,-0.12307868103269065,False
SMH_SOXL_SOXS_impulse_reversal_t5_h5_midday,SMH_SOXL_SOXS,impulse_reversal,5,5,midday,2,20080,18.62708719851577,-9.143056480925228,-4.553314980540453,0.3163265306122449,0.3163265306122449,0.0,"[-4.693629316682505, -4.449427164242723]",9.160459240876602,,0.0,-0.12902696867259209,False
SMH_SOXL_SOXS_impulse_reversal_t5_h5_afternoon,SMH_SOXL_SOXS,impulse_reversal,5,5,afternoon,2,6164,5.717996289424861,-2.3551955666992326,-3.8208883301415195,0.37816764132553604,0.35992578849721707,0.18181818181818182,"[-1.169386799983872, -1.1858087667153607]",2.361776499602383,,0.0,-0.06738729624268386,False
SMH_SOXL_SOXS_impulse_reversal_t5_h5_close,SMH_SOXL_SOXS,impulse_reversal,5,5,close,2,4645,4.308905380333952,-2.877620020877181,-6.195091541178,0.3718446601941748,0.35528756957328383,0.10909090909090909,"[-0.8346102442409733, -2.0430097766362074]",2.8724188442537466,,0.0,-0.07794232634905238,False
SMH_SOXL_SOXS_impulse_continuation_t5_h10_open,SMH_SOXL_SOXS,impulse_continuation,5,10,open,2,2881,2.6725417439703154,-0.7061274236903103,-2.450980297432522,0.49165120593692024,0.49165120593692024,0.38181818181818183,"[-0.43454132843968385, -0.27158609525062655]",1.0641460969908654,,0.0,-0.08670693356349371,False
SMH_SOXL_SOXS_impulse_continuation_t5_h10_morning,SMH_SOXL_SOXS,impulse_continuation,5,10,morning,2,5049,4.683673469387755,-2.7055007071024075,-5.358488229555173,0.44434137291280146,0.44434137291280146,0.34545454545454546,"[-0.7819064549385468, -1.9235942521638612]",2.627721878807806,,0.0,-0.09082607467535753,False
SMH_SOXL_SOXS_impulse_continuation_t5_h10_midday,SMH_SOXL_SOXS,impulse_continuation,5,10,midday,2,12557,11.648423005565864,-4.832294522052706,-3.8482874269751584,0.3979591836734694,0.3979591836734694,0.18181818181818182,"[-1.4118598784172949, -3.420434643635412]",4.730343267368744,,0.0,-0.09139046677909601,False
SMH_SOXL_SOXS_impulse_continuation_t5_h10_afternoon,SMH_SOXL_SOXS,impulse_continuation,5,10,afternoon,2,3955,3.668831168831169,-1.4486444003492136,-3.6628176999980093,0.44878048780487806,0.4267161410018553,0.2909090909090909,"[-0.7483108293052543, -0.7003335710439591]",1.4627839479752158,,0.0,-0.11809003446366421,False
SMH_SOXL_SOXS_impulse_continuation_t5_h10_close,SMH_SOXL_SOXS,impulse_continuation,5,10,close,2,2902,2.692022263450835,-1.3829074492013753,-4.7653599214382325,0.44639376218323584,0.424860853432282,0.34545454545454546,"[-0.32862829434465335, -1.0542791548567219]",1.385495641974925,,0.0,-0.06707071715065034,False
SMH_SOXL_SOXS_impulse_reversal_t5_h10_open,SMH_SOXL_SOXS,impulse_reversal,5,10,open,2,2881,2.6725417439703154,-1.463229973580132,-5.078896124887647,0.46660482374768086,0.46660482374768086,0.32727272727272727,"[-0.5033767404127791, -0.9598532331673526]",1.4874054617430936,,0.0,-0.13897258977003538,False
SMH_SOXL_SOXS_impulse_reversal_t5_h10_morning,SMH_SOXL_SOXS,impulse_reversal,5,10,morning,2,5049,4.683673469387755,-1.3112809289819307,-2.59711017821733,0.45454545454545453,0.45454545454545453,0.36363636363636365,"[-1.1609859807823646, -0.15029494819956618]",1.5341575960601064,,0.0,-0.07319632798069442,False
SMH_SOXL_SOXS_impulse_reversal_t5_h10_midday,SMH_SOXL_SOXS,impulse_reversal,5,10,midday,2,12557,11.648423005565864,-5.507589112104526,-4.38607080680459,0.39517625231910947,0.39517625231910947,0.09090909090909091,"[-3.2302552674288147, -2.27733384467571]",5.442982262107968,,0.0,-0.14668678771127566,False
SMH_SOXL_SOXS_impulse_reversal_t5_h10_afternoon,SMH_SOXL_SOXS,impulse_reversal,5,10,afternoon,2,3955,3.668831168831169,-2.0232412939393396,-5.115654346243588,0.43317073170731707,0.41187384044526903,0.2545454545454545,"[-0.7797231132366249, -1.243518180702715]",2.0312469291192468,,0.0,-0.10220405178446834,False
SMH_SOXL_SOXS_impulse_reversal_t5_h10_close,SMH_SOXL_SOXS,impulse_reversal,5,10,close,2,2902,2.692022263450835,-1.2853261423283893,-4.429104556610576,0.4502923976608187,0.42857142857142855,0.3090909090909091,"[-0.7639906524369956, -0.5213354898913938]",1.2574014348971791,,0.0,-0.1133349611045043,False
SMH_SOXL_SOXS_impulse_continuation_t10_h1_open,SMH_SOXL_SOXS,impulse_continuation,10,1,open,2,6805,6.312615955473098,-0.690948761639667,-1.0153545358408036,0.4629107981220657,0.45732838589981445,0.38181818181818183,"[-0.3776868749272104, -0.31326188671245647]",0.735098858486079,,0.0,-0.049808055233832735,False
SMH_SOXL_SOXS_impulse_continuation_t10_h1_morning,SMH_SOXL_SOXS,impulse_continuation,10,1,morning,2,10529,9.767161410018552,-2.412130845718262,-2.2909401137033543,0.38409961685823757,0.3719851576994434,0.2,"[-0.6050775458448971, -1.8070532998733646]",2.4226807011568186,,0.0,-0.07406321984413321,False
SMH_SOXL_SOXS_impulse_continuation_t10_h1_midday,SMH_SOXL_SOXS,impulse_continuation,10,1,midday,2,14278,13.244897959183673,-3.3855493560169783,-2.3711649783001665,0.3274974253347065,0.2949907235621521,0.14545454545454545,"[-0.28955674824991257, -3.095992607767065]",2.6618488251794967,,0.0,-0.12163690020551388,False
SMH_SOXL_SOXS_impulse_continuation_t10_h1_afternoon,SMH_SOXL_SOXS,impulse_continuation,10,1,afternoon,2,4284,3.9740259740259742,-0.4831304894186967,-1.1277555775413088,0.38593974175035867,0.24953617810760667,0.2909090909090909,"[-0.00507763122652332, -0.4780528581921733]",0.5781216647502607,,0.0,-0.06692395479642442,False
SMH_SOXL_SOXS_impulse_continuation_t10_h1_close,SMH_SOXL_SOXS,impulse_continuation,10,1,close,2,3446,3.196660482374768,-0.9989374560412928,-2.8988318515417677,0.3702127659574468,0.24211502782931354,0.21818181818181817,"[-0.4333267662026904, -0.5656106898386024]",0.9989441099700974,,0.0,-0.07055670721099094,False
SMH_SOXL_SOXS_impulse_reversal_t10_h1_open,SMH_SOXL_SOXS,impulse_reversal,10,1,open,2,6805,6.312615955473098,-4.779831722779939,-7.023999592622981,0.3248826291079812,0.3209647495361781,0.03636363636363636,"[-1.932644710634444, -2.847187012145495]",4.748153574009288,,0.0,-0.07304441591860981,False
SMH_SOXL_SOXS_impulse_reversal_t10_h1_morning,SMH_SOXL_SOXS,impulse_reversal,10,1,morning,2,10529,9.767161410018552,-5.931770075986597,-5.6337449672206255,0.29118773946360155,0.2820037105751391,0.05454545454545454,"[-2.8247600957857797, -3.107009980200817]",5.894852052163979,,0.0,-0.08844765871429386,False
SMH_SOXL_SOXS_impulse_reversal_t10_h1_midday,SMH_SOXL_SOXS,impulse_reversal,10,1,midday,2,14278,13.244897959183673,-8.109888823815897,-5.679989370931432,0.2646755921730175,0.23840445269016697,0.03636363636363636,"[-4.310594997398858, -3.7992938264170406]",8.146893247503325,,0.0,-0.21436220109148155,False
SMH_SOXL_SOXS_impulse_reversal_t10_h1_afternoon,SMH_SOXL_SOXS,impulse_reversal,10,1,afternoon,2,4284,3.9740259740259742,-2.8486261853115993,-6.649454214079364,0.3486370157819225,0.22541743970315398,0.2,"[-1.4182933835906124, -1.430332801720987]",2.8477280495506463,,0.0,-0.0836899978476159,False
SMH_SOXL_SOXS_impulse_reversal_t10_h1_close,SMH_SOXL_SOXS,impulse_reversal,10,1,close,2,3446,3.196660482374768,-1.9635067075467671,-5.697930085742215,0.34609929078014184,0.22634508348794063,0.12727272727272726,"[-0.8684894154107327, -1.0950172921360344]",1.967411951180006,,0.0,-0.08828920442074022,False
SMH_SOXL_SOXS_impulse_continuation_t10_h2_open,SMH_SOXL_SOXS,impulse_continuation,10,2,open,2,5386,4.996289424860853,-0.5504008328807304,-1.0219101984417571,0.48450704225352115,0.47866419294990725,0.4,"[-0.095226799470419, -0.4551740334103113]",0.6243431812972001,,0.0,-0.05910240200105889,False
SMH_SOXL_SOXS_impulse_continuation_t10_h2_morning,SMH_SOXL_SOXS,impulse_continuation,10,2,morning,2,8566,7.946196660482375,-2.922746092324463,-3.4120313942615725,0.3809980806142035,0.3682745825602968,0.18181818181818182,"[-1.252952519285161, -1.669793573039302]",2.9611429692226108,,0.0,-0.08331163741329992,False
SMH_SOXL_SOXS_impulse_continuation_t10_h2_midday,SMH_SOXL_SOXS,impulse_continuation,10,2,midday,2,12217,11.333024118738404,-3.8633331763766265,-3.1622601099915095,0.32852729145211124,0.29591836734693877,0.16363636363636364,"[-0.9212291731059347, -2.9421040032706927]",3.7599878069713966,,0.0,-0.13497238611148096,False
SMH_SOXL_SOXS_impulse_continuation_t10_h2_afternoon,SMH_SOXL_SOXS,impulse_continuation,10,2,afternoon,2,3628,3.3654916512059367,-0.8260444028551456,-2.276858883283202,0.39598278335724535,0.2560296846011132,0.2909090909090909,"[-0.06074563411112187, -0.7652987687440238]",0.8517969155631491,,0.0,-0.06193129929243563,False
SMH_SOXL_SOXS_impulse_continuation_t10_h2_close,SMH_SOXL_SOXS,impulse_continuation,10,2,close,2,2905,2.6948051948051948,-0.8501473408674577,-2.9264968704559644,0.41963015647226176,0.27365491651205937,0.32727272727272727,"[-0.3088069411944966, -0.5413403996729611]",0.8540662631113838,,0.0,-0.058175172681798504,False
SMH_SOXL_SOXS_impulse_reversal_t10_h2_open,SMH_SOXL_SOXS,impulse_reversal,10,2,open,2,5386,4.996289424860853,-3.6919136388864118,-6.854648419766823,0.37746478873239436,0.37291280148423006,0.18181818181818182,"[-1.7413775381780583, -1.9505361007083533]",3.6958239535366157,,0.0,-0.06410116814642099,False
SMH_SOXL_SOXS_impulse_reversal_t10_h2_morning,SMH_SOXL_SOXS,impulse_reversal,10,2,morning,2,8566,7.946196660482375,-4.1335983530238005,-4.825587617352091,0.3877159309021113,0.3747680890538033,0.14545454545454545,"[-1.6313622457194357, -2.502236107304365]",4.082529866589945,,0.0,-0.09371082432383539,False
SMH_SOXL_SOXS_impulse_reversal_t10_h2_midday,SMH_SOXL_SOXS,impulse_reversal,10,2,midday,2,12217,11.333024118738404,-6.050119797851718,-4.952213962389881,0.35118434603501547,0.3163265306122449,0.09090909090909091,"[-3.0242074931740257, -3.025912304677692]",6.041288486647181,,0.0,-0.15273057740113716,False
SMH_SOXL_SOXS_impulse_reversal_t10_h2_afternoon,SMH_SOXL_SOXS,impulse_reversal,10,2,afternoon,2,3628,3.3654916512059367,-1.9177556583544433,-5.28598582787884,0.3988522238163558,0.25788497217068646,0.23636363636363636,"[-1.026095687397533, -0.8916599709569102]",1.9650178148322908,,0.0,-0.10332678758560755,False
SMH_SOXL_SOXS_impulse_reversal_t10_h2_close,SMH_SOXL_SOXS,impulse_reversal,10,2,close,2,2905,2.6948051948051948,-1.8357166856348528,-6.3191624290356385,0.3940256045519203,0.2569573283858998,0.18181818181818182,"[-0.8357520665120532, -0.9999646191227995]",1.796265211243398,,0.0,-0.07978630417801422,False
SMH_SOXL_SOXS_impulse_continuation_t10_h3_open,SMH_SOXL_SOXS,impulse_continuation,10,3,open,2,4526,4.198515769944342,-0.38392379891268263,-0.8482629229179902,0.4807511737089202,0.4749536178107607,0.45454545454545453,"[0.2675701924687461, -0.6514939913814288]",0.5764940558508442,,0.0,-0.08281844184822196,False
SMH_SOXL_SOXS_impulse_continuation_t10_h3_morning,SMH_SOXL_SOXS,impulse_continuation,10,3,morning,2,7336,6.805194805194805,-2.347253371417453,-3.1996365477337148,0.42857142857142855,0.41465677179962895,0.18181818181818182,"[-1.022543763720731, -1.324709607696722]",2.327194266563537,,0.0,-0.1261534804808561,False
SMH_SOXL_SOXS_impulse_continuation_t10_h3_midday,SMH_SOXL_SOXS,impulse_continuation,10,3,midday,2,10801,10.019480519480519,-3.067006460728983,-2.8395578749458226,0.3649484536082474,0.32838589981447125,0.2909090909090909,"[-0.41555530625603976, -2.6514511544729435]",2.4699911341455705,,0.0,-0.1853882801930158,False
SMH_SOXL_SOXS_impulse_continuation_t10_h3_afternoon,SMH_SOXL_SOXS,impulse_continuation,10,3,afternoon,2,3171,2.9415584415584415,-1.170998468731197,-3.6928365459829613,0.39655172413793105,0.2560296846011132,0.2,"[-0.34952532370114675, -0.8214731450300504]",1.178204180321017,,0.0,-0.09468025937465598,False
SMH_SOXL_SOXS_impulse_continuation_t10_h3_close,SMH_SOXL_SOXS,impulse_continuation,10,3,close,2,2558,2.37291280148423,-0.8208379636052758,-3.208905252561672,0.42816500711237554,0.2792207792207792,0.32727272727272727,"[-0.21613252584500983, -0.6047054377602659]",0.8217584449622457,,0.0,-0.09482471485635269,False
SMH_SOXL_SOXS_impulse_reversal_t10_h3_open,SMH_SOXL_SOXS,impulse_reversal,10,3,open,2,4526,4.198515769944342,-3.13459263997565,-6.925746000829981,0.40187793427230045,0.3970315398886827,0.16363636363636364,"[-1.75786968215002, -1.3767229578256301]",3.2068267161646085,,0.0,-0.0828492207660461,False
SMH_SOXL_SOXS_impulse_reversal_t10_h3_morning,SMH_SOXL_SOXS,impulse_reversal,10,3,morning,2,7336,6.805194805194805,-3.508402838446721,-4.782446617293785,0.4084372003835091,0.39517625231910947,0.12727272727272726,"[-1.356275498617391, -2.1521273398293297]",3.470973512364052,,0.0,-0.06677448492051807,False
SMH_SOXL_SOXS_impulse_reversal_t10_h3_midday,SMH_SOXL_SOXS,impulse_reversal,10,3,midday,2,10801,10.019480519480519,-5.789947998500193,-5.360566612813808,0.37216494845360826,0.33487940630797774,0.10909090909090909,"[-3.137648421025794, -2.652299577474399]",5.780790931497038,,0.0,-0.2077058798737769,False
SMH_SOXL_SOXS_impulse_reversal_t10_h3_afternoon,SMH_SOXL_SOXS,impulse_reversal,10,3,afternoon,2,3171,2.9415584415584415,-1.4587434159430606,-4.60026305879237,0.4224137931034483,0.2727272727272727,0.34545454545454546,"[-0.7853504039621462, -0.6733930119809144]",1.4987679654072823,,0.0,-0.08727405123650739,False
SMH_SOXL_SOXS_impulse_reversal_t10_h3_close,SMH_SOXL_SOXS,impulse_reversal,10,3,close,2,2558,2.37291280148423,-1.4638467258174064,-5.722622071217381,0.42105263157894735,0.274582560296846,0.21818181818181817,"[-0.710633628550941, -0.7532130972664651]",1.4629431462150637,,0.0,-0.09874216663734366,False
SMH_SOXL_SOXS_impulse_continuation_t10_h5_open,SMH_SOXL_SOXS,impulse_continuation,10,5,open,2,3458,3.207792207792208,-0.568471436620805,-1.6439312799907582,0.49671361502347416,0.4907235621521336,0.43636363636363634,"[-0.15621270554590747, -0.4122587310748975]",0.7701960403325891,,0.0,-0.08172771469582191,False
SMH_SOXL_SOXS_impulse_continuation_t10_h5_morning,SMH_SOXL_SOXS,impulse_continuation,10,5,morning,2,5693,5.2810760667903525,-2.384017867204924,-4.187630190066616,0.414985590778098,0.4007421150278293,0.23636363636363636,"[-1.0268699192228514, -1.3571479479820727]",2.2494276632162964,,0.0,-0.12235613125822697,False
SMH_SOXL_SOXS_impulse_continuation_t10_h5_midday,SMH_SOXL_SOXS,impulse_continuation,10,5,midday,2,8844,8.204081632653061,-1.9185085389988765,-2.169276954996468,0.41503604531410915,0.3738404452690167,0.34545454545454546,"[-0.15754562205441935, -1.7609629169444574]",1.5838355608038668,,0.0,-0.1627665374247724,False
