clock,penetration_bps,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,orders,filled_orders,fill_rate,target_fill_rate_of_filled,active_sessions,calendar_sessions,active_session_fraction,trades_per_active_session,green_sessions,red_sessions,positive_months,negative_months,inactive_months,monthly_average,monthly_median,worst_month,best_month
0930,0,0,0.12838947100046727,0.05565075030595512,2503,1273,0.508589692369157,0.3472113118617439,251,251,1.0,5.0717131474103585,147,104,10,2,0,0.010699122583372274,0.010138019399629328,-0.02773157034381022,0.04082603363031659
0930,0,1,0.10281304242903866,0.05939648702300186,2503,1273,0.508589692369157,0.3472113118617439,251,251,1.0,5.0717131474103585,143,108,9,3,0,0.008567753535753222,0.008144805113915042,-0.029751570343810225,0.03843603363031658
0930,0,2,0.07723661385761008,0.06605495584491562,2503,1273,0.508589692369157,0.3472113118617439,251,251,1.0,5.0717131474103585,141,110,9,3,0,0.006436384488134174,0.006151590828200753,-0.03177157034381023,0.03604603363031658
0930,1,0,0.026171110323347346,0.08384363241240063,2503,1162,0.4642429085097883,0.3227194492254733,250,251,0.9960159362549801,4.648,138,112,6,6,0,0.0021809258602789447,0.004011961548009342,-0.03181238981585386,0.02518446161481394
0930,1,1,0.0028196817519186984,0.09479506399807973,2503,1162,0.4642429085097883,0.3227194492254733,250,251,0.9960159362549801,4.648,134,116,6,6,0,0.00023497347932656051,0.002178747262295055,-0.033732389815853865,0.023284461614813932
0930,1,2,-0.020531746819509852,0.10594352117256012,2503,1162,0.4642429085097883,0.3227194492254733,250,251,0.9960159362549801,4.648,133,117,6,6,0,-0.0017109789016258228,0.00034553297658076543,-0.03565238981585386,0.021384461614813933
0930,2,0,0.014887039004108482,0.0865828153394967,2503,1143,0.45665201757890533,0.31583552055993,250,251,0.9960159362549801,4.572,133,117,7,5,0,0.0012405865836757053,0.004098071428638296,-0.03521278578834079,0.025088723936053728
0930,2,1,-0.008084389567320154,0.09748803030806494,2503,1143,0.45665201757890533,0.31583552055993,250,251,0.9960159362549801,4.572,129,121,7,5,0,-0.0006736991306100119,0.0024123571429240085,-0.0370927857883408,0.023188723936053722
0930,2,2,-0.03105581813874872,0.108586274206114,2503,1143,0.45665201757890533,0.31583552055993,250,251,0.9960159362549801,4.572,128,122,6,6,0,-0.0025879848448957274,0.0007266428572097205,-0.038972785788340805,0.021288723936053723
0930,5,0,-0.030784381295921943,0.11313103707916279,2503,1071,0.42788653615661204,0.3025210084033613,250,251,0.9960159362549801,4.284,132,118,6,6,0,-0.0025653651079934944,-0.00031512092104871094,-0.039671300211205004,0.025277825224533076
0930,5,1,-0.05231080986735056,0.12381516194605437,2503,1071,0.42788653615661204,0.3025210084033613,250,251,0.9960159362549801,4.284,128,122,5,7,0,-0.004359234155612546,-0.0022201209210487138,-0.041431300211205016,0.023272825224533073
0930,5,2,-0.07383723843877914,0.13467798619085036,2503,1071,0.42788653615661204,0.3025210084033613,250,251,0.9960159362549801,4.284,126,124,5,7,0,-0.006153103203231594,-0.004125120921048714,-0.043191300211205014,0.02126782522453307
0940,0,0,0.037082978159293435,0.09235248307317655,2503,1992,0.7958449860167799,0.42018072289156627,251,251,1.0,7.936254980079681,147,104,5,7,0,0.003090248179941119,-0.0022438004227989866,-0.02900061443964196,0.05679410559529523
0940,0,1,-0.0028648789835637387,0.11273356844259008,2503,1992,0.7958449860167799,0.42018072289156627,251,251,1.0,7.936254980079681,143,108,5,7,0,-0.00023873991529697937,-0.00563130042279899,-0.032520614439641965,0.053204105595295224
0940,0,2,-0.04281273612642089,0.13820697780585062,2503,1992,0.7958449860167799,0.42018072289156627,251,251,1.0,7.936254980079681,136,115,5,7,0,-0.0035677280105350755,-0.009018800422798994,-0.03604061443964197,0.04961410559529522
0940,1,0,-0.0017146009637021356,0.11475866484360644,2503,1872,0.7479025169796244,0.41185897435897434,251,251,1.0,7.45816733067729,137,114,5,7,0,-0.00014288341364184406,-0.0059130800014198905,-0.03191390268844143,0.05416635677210565
0940,1,1,-0.03926245810655933,0.13563369868392142,2503,1872,0.7479025169796244,0.41185897435897434,251,251,1.0,7.45816733067729,131,120,5,7,0,-0.0032718715088799447,-0.009053080001419894,-0.035213902688441434,0.05073635677210565
0940,1,2,-0.07681031524941648,0.1636041163967165,2503,1872,0.7479025169796244,0.41185897435897434,251,251,1.0,7.45816733067729,124,127,4,8,0,-0.006400859604118038,-0.012193080001419894,-0.038513902688441445,0.047306356772105644
0940,2,0,-0.022916594039669867,0.12276664967792479,2503,1816,0.7255293647622852,0.4063876651982379,251,251,1.0,7.235059760956175,133,118,5,7,0,-0.001909716169972489,-0.006953713860847954,-0.03462607294303737,0.05382724032772048
0940,2,1,-0.059339451182527064,0.1470920076209917,2503,1816,0.7255293647622852,0.4063876651982379,251,251,1.0,7.235059760956175,130,121,5,7,0,-0.0049449542652105875,-0.010083713860847957,-0.037806072943037373,0.050442240327720475
0940,2,2,-0.09576230832538424,0.17451596607602599,2503,1816,0.7255293647622852,0.4063876651982379,251,251,1.0,7.235059760956175,124,127,4,8,0,-0.007980192360448684,-0.013213713860847957,-0.040986072943037376,0.047057240327720476
0940,5,0,-0.08645750301055907,0.16906392018469246,2503,1659,0.6628046344386735,0.3924050632911392,251,251,1.0,6.609561752988048,128,123,4,8,0,-0.00720479191754659,-0.008834622839925473,-0.04590933295405712,0.05018520231425343
0940,5,1,-0.11974036015341628,0.19470100916757152,2503,1659,0.6628046344386735,0.3924050632911392,251,251,1.0,6.609561752988048,123,128,4,8,0,-0.009978363346118025,-0.011604622839925475,-0.04886933295405713,0.04700020231425343
0940,5,2,-0.15302321729627344,0.220572645350464,2503,1659,0.6628046344386735,0.3924050632911392,251,251,1.0,6.609561752988048,118,133,4,8,0,-0.012751934774689451,-0.014374622839925473,-0.05182933295405714,0.043815202314253426
