decision_date,entry_date,exit_date,symbol,weight,signal,entry_price,exit_price,gross_return_contribution,net_return_contribution,regime
2019-02-06,2019-02-07,2019-02-22,SOXL,0.5,0.15162200282087435,7.867,8.643,0.0493199440701666,0.0488199440701666,bull
2019-02-06,2019-02-07,2019-02-22,TQQQ,0.5,0.08793746669035363,5.959,6.258,0.025088102030542125,0.024588102030542125,bull
2019-02-21,2019-02-22,2019-03-08,SOXL,0.5,0.022534528713351154,8.643,7.443,-0.06942034015966686,-0.06992034015966686,bull
2019-02-21,2019-02-22,2019-03-08,TQQQ,0.5,0.009256252029879786,6.258,5.968,-0.023170341962288288,-0.023670341962288288,bull
2019-03-11,2019-03-12,2019-03-26,TQQQ,1.0,0.002919035182055607,6.579,7.086,0.07706338349293218,0.07606338349293218,bull
2019-03-29,2019-04-01,2019-04-15,TQQQ,1.0,0.0163581575548859,7.288,7.809,0.07148737650933046,0.07048737650933046,bull
2019-04-12,2019-04-15,2019-04-30,SOXL,0.5,0.03693444136657442,11.23,12.21,0.04363312555654497,0.04313312555654497,bull
2019-04-12,2019-04-15,2019-04-30,TQQQ,0.5,0.017591868647380826,7.809,8.25,0.02823665001920861,0.02773665001920861,bull
2019-04-29,2019-04-30,2019-05-14,TQQQ,1.0,0.04861714002232409,8.25,6.953,-0.15721212121212114,-0.15821212121212114,bull
2019-05-13,2019-05-14,2019-05-29,SOXS,0.5,0.29350104821802936,14232000.0,18888000.0,0.16357504215851604,0.16307504215851604,bear
2019-05-13,2019-05-14,2019-05-29,SQQQ,0.5,0.19582850521436845,25375.0,26659.37,0.025307783251231508,0.024807783251231508,bear
2019-05-28,2019-05-29,2019-06-12,SOXS,0.5,0.1007194244604317,18888000.0,14304000.0,-0.12134688691232531,-0.12184688691232531,bear
2019-05-28,2019-05-29,2019-06-12,SQQQ,0.5,0.042786069651741254,26659.37,23706.25,-0.05538615503667188,-0.05588615503667188,bear
2019-06-13,2019-06-14,2019-06-28,TQQQ,0.5,0.09875056450398922,7.184,7.748,0.03925389755011133,0.03875389755011133,bull
2019-06-13,2019-06-14,2019-06-28,SOXL,0.5,0.060923601803338556,7.933,10.13,0.13847220471448385,0.13797220471448385,bull
2019-06-27,2019-06-28,2019-07-15,SOXL,1.0,0.07666229221347343,10.13,10.93,0.07897334649555754,0.07797334649555754,bull
2019-07-12,2019-07-15,2019-07-29,SOXL,0.5,0.08590441621294609,10.93,12.6,0.07639524245196705,0.07589524245196705,bull
2019-07-12,2019-07-15,2019-07-29,TQQQ,0.5,0.037319762510602095,8.62,8.745,0.007250580046403665,0.006750580046403665,bull
2019-07-26,2019-07-29,2019-08-12,SOXL,0.5,0.13697403760071625,12.6,9.463,-0.12448412698412703,-0.12498412698412703,bull
2019-07-26,2019-07-29,2019-08-12,TQQQ,0.5,0.06583110245801893,8.745,7.41,-0.07632933104631212,-0.07682933104631212,bull
